WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,DewPoint,StationPressure,LandVisibility,AirTemperature,WindSpeed,WindDirection,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-29-2019,01:00:00,59,20.6,977.81,8.00,29.5,0.0,000,24.27,0.00,1008.42
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-29-2019,01:00:00,90,17.9,844.83,8.00,19.5,11.1,270,20.46,0.20,1005.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-29-2019,01:00:00,79,22.9,962.49,15.00,26.9,3.7,260,27.96,0.00,1005.88
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-29-2019,01:00:00,88,23.5,960.61,12.00,25.7,0.0,000,28.95,0.00,1006.08
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-29-2019,01:00:00,93,23.8,969.05,5.00,25.0,0.0,000,29.52,0.00,1006.76
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-29-2019,01:00:00,80,22.9,961.28,8.00,26.7,3.7,160,27.86,0.00,1006.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-29-2019,01:00:00,89,23.9,980.47,8.00,25.8,0.0,000,29.66,0.00,1007.22
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-29-2019,01:00:00,96,24.2,986.00,15.00,24.9,0.0,000,30.13,6.80,1007.87
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-29-2019,01:00:00,95,23.9,985.23,6.00,24.8,0.0,000,29.69,3.80,1009.51
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-29-2019,01:00:00,83,23.5,973.13,10.00,26.7,0.0,000,28.92,0.00,1007.59
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-29-2019,01:00:00,89,24.6,979.86,10.00,26.5,0.0,000,30.97,0.00,1007.38
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-29-2019,01:00:00,85,23.5,973.96,10.00,26.3,0.0,000,28.98,0.00,1007.51
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-29-2019,01:00:00,88,24.6,987.96,10.00,26.8,3.7,180,31.00,0.00,1006.44
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-29-2019,01:00:00,89,24.4,983.47,10.00,26.3,0.0,000,30.59,0.00,1006.28
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-29-2019,01:00:00,94,23.2,976.71,6.00,24.2,0.0,000,28.36,0.00,1006.79
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-29-2019,01:00:00,94,24.2,971.61,7.00,25.2,0.0,000,30.15,1.20,1007.23
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-29-2019,01:00:00,89,23.9,975.81,12.00,25.8,0.0,000,29.66,0.00,1005.53
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-29-2019,01:00:00,81,24.4,999.07,8.00,28.0,0.0,000,30.56,0.01,1006.34
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-29-2019,01:00:00,86,26.5,985.63,10.00,29.2,0.0,000,34.70,0.00,1005.34
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-29-2019,01:00:00,84,23.6,977.59,12.00,26.5,0.0,000,29.08,1.70,1006.23
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-29-2019,01:00:00,82,24.7,985.87,12.00,28.0,3.7,290,31.11,0.00,1005.94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-29-2019,01:00:00,87,24.7,985.53,10.00,27.0,0.0,000,31.11,0.00,1007.24
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-29-2019,01:00:00,78,24.3,986.26,10.00,28.5,0.0,000,30.42,0.00,1005.61
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-29-2019,01:00:00,91,27.0,990.05,10.00,28.7,0.0,000,35.71,0.01,1006.68
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-29-2019,01:00:00,93,26.1,989.50,10.00,27.4,0.0,000,33.86,0.00,1006.88
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-29-2019,01:00:00,79,23.6,979.29,10.00,27.5,0.0,000,29.06,0.00,1004.96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-29-2019,01:00:00,79,23.2,1001.15,10.00,27.2,5.6,270,28.51,0.00,1006.94
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-29-2019,01:00:00,81,24.4,999.44,10.00,28.0,0.0,000,30.56,0.00,1005.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-29-2019,01:00:00,92,25.6,991.01,8.00,27.0,0.0,000,32.77,0.00,1007.45
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-29-2019,01:00:00,92,23.5,985.26,10.00,25.0,0.0,000,29.00,0.00,1007.74
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-29-2019,01:00:00,69,21.7,993.72,8.00,27.8,13.0,270,25.92,1.00,1008.08
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-29-2019,01:00:00,67,22.3,990.91,8.00,28.9,0.0,000,26.85,0.00,1007.19
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-29-2019,01:00:00,80,24.6,1001.90,10.00,28.5,0.0,000,30.98,0.00,1007.10
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-29-2019,01:00:00,90,25.0,992.35,10.00,26.7,0.0,000,31.63,0.00,1005.54
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-29-2019,01:00:00,74,22.5,997.85,11.00,27.7,0.0,000,27.31,0.00,1007.15
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-29-2019,01:00:00,72,23.5,984.29,10.00,29.2,0.0,000,29.02,0.00,1005.79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.20,07-29-2019,01:00:00,79,23.9,988.63,10.00,28.0,5.6,180,29.74,1.50,1006.05
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-29-2019,01:00:00,84,24.7,989.73,10.00,27.7,0.0,000,31.08,0.40,1005.51
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-29-2019,01:00:00,71,23.7,986.08,10.00,29.5,11.1,160,29.33,0.00,1004.76
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-29-2019,01:00:00,91,21.5,958.87,6.00,23.0,0.0,000,25.60,0.00,1010.73
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-29-2019,01:00:00,86,24.9,1002.94,7.00,27.5,0.0,000,31.52,0.00,1006.89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-29-2019,01:00:00,93,19.8,913.67,4.00,20.9,7.4,290,23.08,0.00,1009.14
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-29-2019,01:00:00,81,24.9,990.36,6.00,28.5,0.0,000,31.54,0.00,1006.26
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-29-2019,01:00:00,98,26.7,1003.04,8.00,27.0,0.0,000,35.06,1.70,1007.08
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-29-2019,01:00:00,88,24.8,997.71,7.00,27.0,0.0,000,31.38,0.00,1008.40
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.20,07-29-2019,01:00:00,85,23.4,1006.14,8.00,26.0,0.0,000,28.70,0.20,1008.08
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-29-2019,01:00:00,67,22.7,985.68,10.00,29.6,11.1,230,27.61,0.00,1006.34
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-29-2019,01:00:00,75,23.5,988.82,10.00,28.4,14.8,180,28.86,0.00,1006.39
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-29-2019,01:00:00,76,23.2,989.89,10.00,27.9,13.0,160,28.47,0.00,1005.99
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-29-2019,01:00:00,84,23.1,993.64,10.00,26.0,7.4,200,28.18,0.00,1007.73
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-29-2019,01:00:00,87,23.5,993.73,8.00,25.8,0.0,000,28.87,2.00,1008.64
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-29-2019,01:00:00,88,23.8,993.35,7.00,26.0,9.3,220,29.50,0.00,1008.08
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.01,07-29-2019,01:00:00,92,26.0,1004.21,8.00,27.4,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",33.58,8.90,1007.22
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-29-2019,01:00:00,84,24.8,999.10,7.00,27.8,0.0,000,31.28,0.00,1007.03
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-29-2019,01:00:00,79,24.3,1006.73,8.00,28.3,0.0,000,30.31,0.00,1007.84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-29-2019,01:00:00,81,23.9,992.82,8.00,27.5,0.0,000,29.60,0.00,1007.49
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,31.60,07-29-2019,01:00:00,99,20.3,873.24,.05,20.5,5.6,190,23.86,31.60,1007.93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-29-2019,01:00:00,78,24.0,1001.69,10.00,28.2,0.0,000,29.85,0.00,1007.55
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-29-2019,01:00:00,63,21.7,1007.22,8.00,29.6,7.4,220,26.01,0.00,1008.02
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-29-2019,01:00:00,68,22.9,1007.20,10.00,29.5,7.4,230,27.96,0.00,1007.64
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.20,07-29-2019,01:00:00,92,24.3,998.29,5.00,25.8,0.0,000,30.46,0.20,1009.66
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-29-2019,01:00:00,71,23.2,1007.09,10.00,29.0,0.0,000,28.37,0.00,1008.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.01,07-29-2019,01:00:00,80,24.4,1005.95,7.00,28.1,3.7,180,30.48,0.01,1007.77
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-29-2019,01:00:00,75,22.5,1006.86,6.00,27.4,0.0,000,27.29,0.00,1007.62
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-29-2019,01:00:00,80,25.1,1007.51,10.00,28.8,13.0,260,31.86,7.20,1008.21
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,15.20,07-29-2019,01:00:00,92,24.6,1007.38,7.00,26.0,0.0,000,30.84,38.20,1008.08
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-29-2019,01:00:00,69,23.2,986.30,10.00,29.5,9.3,220,28.50,0.00,1007.28
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,11.40,07-29-2019,01:00:00,96,23.8,991.00,6.00,24.5,0.0,000,29.41,11.40,1007.87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.30,07-29-2019,01:00:00,93,23.6,991.69,5.00,24.8,5.6,180,29.16,23.30,1008.26
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-29-2019,01:00:00,71,23.0,985.62,10.00,28.7,0.0,000,28.08,0.10,1007.36
