WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,StationPressure,MeanSeaLevelPressure,Rainfall,WindSpeed,LandVisibility,WindDirection,RelativeHumidity,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.0,09-18-2019,13:00:00,30.2,978.70,1009.27,0.00,0.0,12.00,000,70,29.86,6.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.1,09-18-2019,13:00:00,23.0,848.12,1007.39,0.00,3.7,8.00,130,79,22.05,5.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.7,09-18-2019,13:00:00,33.0,966.20,1008.87,0.00,0.0,10.00,000,55,27.56,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.9,09-18-2019,13:00:00,32.5,964.00,1008.59,0.00,0.0,15.00,000,61,29.66,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.7,09-18-2019,13:00:00,32.0,972.13,1009.07,0.00,5.6,12.00,160,69,32.99,7.90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.0,09-18-2019,13:00:00,34.0,964.55,1008.49,0.00,0.0,12.00,000,56,29.87,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,09-18-2019,13:00:00,33.7,983.09,1009.21,0.00,0.0,12.00,000,60,31.59,4.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.6,09-18-2019,13:00:00,32.2,987.27,1008.65,0.00,3.7,12.00,150,68,32.82,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.9,09-18-2019,13:00:00,33.5,984.53,1008.09,0.00,0.0,10.00,000,61,31.46,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.8,09-18-2019,13:00:00,33.5,975.11,1008.86,0.00,3.7,12.00,200,50,26.04,2.20
