WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,AirTemperature,VaporPressure,DewPoint,LandVisibility,MaximumTemperature,MeanSeaLevelPressure,Rainfall,WindSpeed,StationPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,210,07-13-2019,19:00:00,13.30,26.3,29.78,24.0,10.00,32.9,1006.67,0.20,1.9,975.79,87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-13-2019,19:00:00,0.00,22.0,19.94,17.5,8.00,24.6,1002.62,0.00,22.2,843.62,75
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,300,07-13-2019,19:00:00,0.00,32.9,24.63,20.8,15.00,34.9,1001.90,0.00,1.9,959.51,49
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-13-2019,19:00:00,0.00,30.2,26.85,22.3,15.00,33.9,1002.17,0.00,0.0,957.53,63
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-13-2019,19:00:00,0.00,30.0,27.55,22.7,10.00,36.0,1006.78,0.00,0.0,969.68,65
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,200,07-13-2019,19:00:00,0.00,33.3,29.01,23.5,15.00,36.5,1002.20,0.00,5.6,958.43,57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-13-2019,19:00:00,0.00,32.4,30.61,24.4,12.00,36.8,1002.97,0.00,0.0,976.90,63
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,200,07-13-2019,19:00:00,0.00,31.6,26.78,22.2,12.00,36.2,1004.80,0.00,3.7,983.46,58
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-13-2019,19:00:00,0.10,28.5,30.15,24.2,8.00,30.0,1007.41,0.00,0.0,983.47,78
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,200,07-13-2019,19:00:00,0.00,32.3,25.12,21.2,10.00,37.4,1003.96,0.00,7.4,970.25,52
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,270,07-13-2019,19:00:00,0.00,34.0,24.80,21.0,10.00,37.3,1004.04,0.00,5.6,977.27,47
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,230,07-13-2019,19:00:00,0.00,31.0,25.65,21.5,10.00,37.4,1004.44,0.00,14.8,971.49,57
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,220,07-13-2019,19:00:00,0.00,33.1,27.75,22.8,15.00,36.7,1003.01,0.00,3.7,984.98,55
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-13-2019,19:00:00,0.00,32.8,29.42,23.8,10.00,36.6,1002.69,0.00,0.0,980.44,59
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-13-2019,19:00:00,0.00,31.5,30.49,24.4,12.00,35.5,1002.83,0.00,0.0,973.57,66
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-13-2019,19:00:00,0.00,32.0,25.91,21.7,6.00,36.8,1004.14,0.00,0.0,969.41,54
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-13-2019,19:00:00,0.00,31.0,28.09,23.0,15.00,37.4,1002.93,0.00,0.0,973.79,63
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-13-2019,19:00:00,0.00,33.5,30.28,24.2,10.00,38.5,1003.81,0.00,0.0,996.69,59
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,180,07-13-2019,19:00:00,1.50,32.8,35.97,27.1,12.00,35.7,1002.25,0.00,7.4,982.84,72
48353,LOEI,เลย,เลย,17.45000,101.73333,250,07-13-2019,19:00:00,0.00,32.8,24.44,20.7,15.00,37.8,1003.21,0.00,7.4,975.23,49
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,100,07-13-2019,19:00:00,0.00,32.5,30.24,24.2,9.00,35.5,1003.20,0.00,3.7,983.48,62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,07-13-2019,19:00:00,0.00,30.0,36.14,27.2,10.00,33.5,1004.44,0.00,0.0,982.99,85
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,07-13-2019,19:00:00,0.00,31.0,33.81,26.1,12.00,33.3,1004.04,0.00,0.0,984.88,75
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,07-13-2019,19:00:00,0.00,30.5,34.22,26.3,12.00,33.0,1004.96,0.00,0.0,988.45,78
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-13-2019,19:00:00,0.00,29.5,35.05,26.7,10.00,32.5,1004.97,0.00,0.0,987.75,85
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,07-13-2019,19:00:00,0.00,32.3,27.02,22.4,11.00,36.4,1002.18,0.00,0.0,976.99,56
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,250,07-13-2019,19:00:00,0.00,32.3,27.30,22.5,10.00,37.4,1004.67,0.00,11.1,999.00,56
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,250,07-13-2019,19:00:00,0.00,32.0,28.66,23.3,10.00,37.0,1004.52,0.00,5.6,998.44,60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,250,07-13-2019,19:00:00,0.00,32.3,27.02,22.4,10.00,36.4,1004.76,0.00,5.6,988.64,56
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,07-13-2019,19:00:00,5.90,25.5,28.59,23.3,8.00,32.3,1006.58,2.30,0.0,984.17,88
48376,TAK,ตาก,ตาก,16.87833,99.14333,280,07-13-2019,19:00:00,0.00,30.0,27.28,22.5,9.00,34.5,1006.73,0.00,16.7,992.50,64
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,260,07-13-2019,19:00:00,0.00,30.5,28.50,23.2,12.00,35.0,1005.79,0.00,7.4,989.62,65
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,07-13-2019,19:00:00,0.00,32.4,28.05,23.0,10.00,35.0,1004.83,0.00,0.0,999.71,58
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-13-2019,19:00:00,0.00,32.5,29.66,23.9,12.00,35.6,1003.30,0.00,0.0,990.39,61
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,070,07-13-2019,19:00:00,0.00,32.2,28.50,23.2,10.00,35.5,1004.90,0.00,3.7,995.75,59
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,000,07-13-2019,19:00:00,0.70,33.0,29.25,23.7,10.00,35.7,1003.58,0.00,0.0,982.40,58
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,07-13-2019,19:00:00,0.00,34.1,29.79,24.0,10.00,36.0,1003.88,0.00,0.0,986.84,56
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,160,07-13-2019,19:00:00,0.00,31.5,33.40,25.9,10.00,35.2,1004.00,0.00,3.7,988.45,72
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,07-13-2019,19:00:00,0.00,33.5,33.25,25.8,10.00,36.5,1002.39,0.00,0.0,983.99,64
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-13-2019,19:00:00,0.00,26.5,25.20,21.2,8.00,30.6,1008.86,0.00,0.0,957.69,73
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,07-13-2019,19:00:00,0.00,31.5,34.90,26.6,6.00,34.5,1004.63,0.00,0.0,1000.74,76
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,240,07-13-2019,19:00:00,0.90,21.5,24.91,21.0,.10,26.5,1007.66,0.50,24.1,912.50,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,07-13-2019,19:00:00,0.00,32.4,34.76,26.6,8.00,36.6,1003.87,0.00,0.0,988.21,71
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,100,07-13-2019,19:00:00,16.70,32.2,38.03,28.1,10.00,35.2,1005.34,0.00,1.9,1001.38,79
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-13-2019,19:00:00,0.00,32.2,31.35,24.8,9.00,35.2,1006.06,0.00,0.0,995.58,65
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,210,07-13-2019,19:00:00,0.00,32.8,26.61,22.1,9.00,37.2,1005.83,0.00,7.4,1003.94,54
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,250,07-13-2019,19:00:00,0.00,31.6,26.78,22.2,10.00,36.3,1005.09,0.00,9.3,984.58,58
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,07-13-2019,19:00:00,0.00,32.5,31.69,25.0,10.00,35.5,1003.63,0.00,0.0,986.34,65
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,120,07-13-2019,19:00:00,0.20,33.5,32.05,25.2,10.00,35.8,1003.09,0.00,5.6,987.34,62
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,160,07-13-2019,19:00:00,0.01,32.4,30.90,24.6,10.00,36.2,1004.21,0.00,3.7,990.47,64
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-13-2019,19:00:00,0.00,31.7,30.32,24.3,10.00,36.0,1004.92,0.00,0.0,990.35,65
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,07-13-2019,19:00:00,0.00,32.6,31.02,24.7,10.00,36.7,1004.97,0.00,0.0,990.59,63
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-13-2019,19:00:00,0.00,34.6,25.13,21.2,10.00,36.9,1005.00,0.00,0.0,1002.06,46
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-13-2019,19:00:00,58.00,31.2,33.35,25.9,10.00,36.0,1005.02,0.00,0.0,997.19,73
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,220,07-13-2019,19:00:00,2.90,32.9,30.20,24.2,7.00,35.5,1005.08,0.00,7.4,1003.99,60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-13-2019,19:00:00,0.00,28.8,25.88,21.7,8.00,38.0,1004.81,0.00,0.0,990.25,65
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,090,07-13-2019,19:00:00,5.80,21.4,24.76,20.9,5.00,26.4,1006.43,0.00,5.6,872.32,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,07-13-2019,19:00:00,77.40,30.2,35.97,27.1,10.00,35.2,1005.47,0.00,0.0,999.66,84
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,240,07-13-2019,19:00:00,0.00,33.6,34.08,26.2,9.00,37.2,1005.76,0.00,5.6,1004.98,66
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,07-13-2019,19:00:00,9.30,30.5,31.03,24.7,10.00,32.3,1006.14,0.00,11.1,1005.70,71
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-13-2019,19:00:00,7.30,27.7,30.26,24.2,10.00,32.7,1008.37,0.00,0.0,997.08,81
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,270,07-13-2019,19:00:00,0.00,33.0,28.12,23.0,12.00,37.7,1006.37,0.00,11.1,1005.38,56
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,07-13-2019,19:00:00,0.00,33.2,32.00,25.2,8.00,36.0,1005.79,0.00,0.0,1004.00,63
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-13-2019,19:00:00,0.00,32.3,26.20,21.9,8.00,36.6,1006.30,0.00,0.0,1005.55,54
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,210,07-13-2019,19:00:00,16.90,30.0,28.37,23.2,10.00,34.8,1006.28,0.00,9.3,1005.58,67
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,240,07-13-2019,19:00:00,0.00,32.4,33.55,26.0,7.00,36.6,1005.58,0.00,3.7,1004.89,69
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,290,07-13-2019,19:00:00,0.01,33.0,29.25,23.7,11.00,37.5,1004.56,0.00,7.4,983.87,58
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,07-13-2019,19:00:00,3.30,28.7,34.53,26.5,8.00,37.4,1004.61,3.30,0.0,988.03,88
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,170,07-13-2019,19:00:00,2.10,28.5,32.10,25.2,8.00,37.5,1004.90,2.10,3.7,988.59,83
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,07-13-2019,19:00:00,1.10,32.0,30.65,24.5,10.00,37.0,1005.01,0.00,0.0,983.56,64
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,190,07-13-2019,19:00:00,0.00,28.9,27.11,22.4,10.00,32.0,1005.90,0.00,7.4,962.98,68
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,170,07-13-2019,19:00:00,1.20,32.3,29.83,24.0,10.00,37.4,1004.55,0.00,3.7,984.40,62
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,240,07-13-2019,19:00:00,0.00,31.0,30.33,24.3,9.00,37.3,1005.76,0.00,5.6,985.24,68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,360,07-13-2019,19:00:00,0.00,29.2,31.25,24.8,10.00,33.1,1006.85,0.00,5.6,1006.42,77
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-13-2019,19:00:00,0.00,30.2,31.56,24.9,9.00,34.7,1005.53,0.00,0.0,1004.13,74
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-13-2019,19:00:00,0.00,31.0,35.01,26.7,8.00,35.0,1005.64,0.00,0.0,1000.78,78
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,250,07-13-2019,19:00:00,0.00,31.6,25.43,21.4,12.00,35.8,1006.97,0.00,9.3,1003.73,55
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,190,07-13-2019,19:00:00,0.00,31.8,31.10,24.7,10.00,36.1,1006.75,0.00,3.7,1005.66,66
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,220,07-13-2019,19:00:00,57.70,30.7,28.34,23.1,10.00,34.7,1006.46,0.00,9.3,1006.16,64
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,210,07-13-2019,19:00:00,10.40,29.8,28.53,23.3,10.00,36.7,1006.23,0.00,5.6,1005.55,68
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,07-13-2019,19:00:00,4.80,31.0,29.48,23.8,10.00,35.6,1008.95,0.00,0.0,1008.46,66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,210,07-13-2019,19:00:00,12.40,31.1,29.12,23.6,10.00,35.4,1006.16,0.00,16.7,1004.77,64
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,200,07-13-2019,19:00:00,0.00,30.5,30.18,24.2,10.00,32.7,1006.50,0.00,25.9,1004.84,69
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,07-13-2019,19:00:00,0.50,30.8,26.89,22.3,10.00,34.5,1008.31,0.00,0.0,1000.39,61
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,180,07-13-2019,19:00:00,12.80,31.5,29.07,23.6,10.00,34.8,1006.00,0.00,5.6,1005.72,63
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,07-13-2019,19:00:00,0.00,29.8,27.71,22.8,10.00,32.5,1006.67,0.00,0.0,1003.57,66
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,07-13-2019,19:00:00,0.00,29.8,27.44,22.6,10.00,32.4,1006.71,0.00,0.0,999.83,65
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,330,07-13-2019,19:00:00,0.00,32.5,32.58,25.5,8.00,36.0,1005.80,0.00,3.7,1000.31,67
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,000,07-13-2019,19:00:00,0.00,30.8,30.21,24.2,10.00,33.8,1009.56,0.00,0.0,1000.35,68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-13-2019,19:00:00,9.40,27.0,32.77,25.6,10.00,35.5,1007.78,2.10,0.0,1006.51,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,320,07-13-2019,19:00:00,0.00,31.1,26.65,22.1,11.00,36.5,1006.86,0.00,18.5,1006.43,59
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,280,07-13-2019,19:00:00,0.00,30.0,22.33,19.3,10.00,35.2,1007.13,0.00,7.4,994.99,53
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,280,07-13-2019,19:00:00,0.00,32.1,23.43,20.0,10.00,33.8,1006.95,0.00,7.4,1006.25,49
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,240,07-13-2019,19:00:00,0.00,30.3,26.50,22.0,10.00,34.7,1007.50,0.00,11.1,1005.09,61
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,220,07-13-2019,19:00:00,0.00,30.0,30.87,24.6,10.00,32.3,1007.60,0.00,7.4,1007.08,73
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,07-13-2019,19:00:00,0.00,29.7,26.46,22.0,13.00,34.7,1007.01,0.00,0.0,1001.90,63
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,07-13-2019,19:00:00,67.90,29.9,30.39,24.3,8.00,33.8,1007.67,0.00,0.0,1007.26,72
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,080,07-13-2019,19:00:00,78.50,27.5,30.97,24.6,8.00,33.2,1008.05,0.00,3.7,1005.28,84
