WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MinimumTemperature,StationPressure,DewPoint,RelativeHumidity,WindSpeed,AirTemperature,WindDirection,LandVisibility,Rainfall,VaporPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.50,08-19-2019,07:00:00,23.1,977.78,24.1,96,0.0,24.8,000,3.00,0.00,29.95,1008.87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-19-2019,07:00:00,17.4,844.78,17.1,96,29.6,17.8,270,8.00,0.00,19.53,1006.45
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,2.00,08-19-2019,07:00:00,24.0,963.54,22.8,88,3.7,24.9,170,10.00,0.00,27.79,1007.28
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-19-2019,07:00:00,22.3,961.64,22.0,92,0.0,23.4,000,15.00,0.00,26.50,1007.51
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,35.60,08-19-2019,07:00:00,22.5,970.68,23.4,100,0.0,23.4,000,8.00,0.00,28.76,1008.66
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-19-2019,07:00:00,24.0,962.47,23.0,91,7.4,24.5,150,12.00,0.00,28.11,1007.74
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,70.60,08-19-2019,07:00:00,23.6,981.69,23.4,97,0.0,24.0,000,6.00,0.00,28.78,1008.64
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.60,08-19-2019,07:00:00,24.3,986.54,23.8,96,0.0,24.5,000,12.00,0.00,29.41,1008.46
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.20,08-19-2019,07:00:00,23.5,985.23,23.4,93,0.0,24.6,000,6.00,0.00,28.81,1009.52
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-19-2019,07:00:00,24.4,973.81,23.1,92,0.0,24.6,000,10.00,0.00,28.29,1008.53
