WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MinimumTemperature,StationPressure,DewPoint,RelativeHumidity,WindSpeed,AirTemperature,WindDirection,LandVisibility,Rainfall,VaporPressure,MeanSeaLevelPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.40,08-19-2019,07:00:00,24.2,982.34,24.2,97,0.0,24.8,000,10.00,0.00,30.22,1010.08
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-19-2019,07:00:00,24.5,974.47,23.7,94,0.0,24.7,000,10.00,0.00,29.25,1008.23
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.40,08-19-2019,07:00:00,25.0,989.35,24.4,94,1.9,25.4,150,8.00,0.00,30.52,1007.94
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.50,08-19-2019,07:00:00,24.5,985.21,24.3,96,0.0,25.0,000,10.00,0.00,30.32,1008.16
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-19-2019,07:00:00,24.3,977.82,23.8,96,0.0,24.5,000,8.00,0.00,29.41,1007.91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,9.60,08-19-2019,07:00:00,23.2,972.98,23.0,97,0.0,23.5,000,6.00,0.00,28.17,1008.86
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-19-2019,07:00:00,24.5,977.22,23.8,93,0.0,25.0,000,13.00,0.00,29.52,1007.07
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-19-2019,07:00:00,26.0,1000.65,24.5,90,0.0,26.2,000,9.00,0.00,30.67,1007.98
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-19-2019,07:00:00,25.6,987.10,25.1,93,3.7,26.3,280,11.00,0.00,31.96,1007.03
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-19-2019,07:00:00,25.3,978.19,24.0,91,0.0,25.6,000,12.00,0.00,29.82,1006.94
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.60,08-19-2019,07:00:00,25.9,986.79,24.6,90,0.0,26.3,000,12.00,0.00,30.86,1007.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,8.30,08-19-2019,07:00:00,25.0,985.80,23.4,85,0.0,26.0,000,12.00,0.00,28.70,1007.60
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.60,08-19-2019,07:00:00,25.1,987.39,24.6,92,0.0,26.0,000,15.00,0.00,30.84,1006.93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,8.00,08-19-2019,07:00:00,25.7,990.93,25.1,93,0.0,26.3,000,11.00,0.00,31.96,1007.72
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1.40,08-19-2019,07:00:00,24.5,990.49,25.1,92,0.0,26.5,000,10.00,0.00,31.79,1007.94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-19-2019,07:00:00,25.6,981.15,25.1,96,0.0,25.8,000,9.00,0.00,31.82,1007.01
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-19-2019,07:00:00,24.5,1001.86,26.2,98,0.0,26.6,000,10.00,0.00,33.95,1007.66
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-19-2019,07:00:00,25.9,1002.19,25.9,98,0.0,26.3,000,10.00,0.00,33.35,1008.40
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1.50,08-19-2019,07:00:00,24.8,992.29,24.5,94,0.0,25.5,000,10.00,0.40,30.71,1008.83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.70,08-19-2019,07:00:00,23.7,985.56,24.1,97,0.0,24.5,000,10.00,0.30,29.93,1008.09
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.60,08-19-2019,07:00:00,24.7,994.51,23.5,86,0.0,26.0,000,7.00,0.00,28.97,1008.97
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-19-2019,07:00:00,25.8,991.91,23.8,88,0.0,26.0,000,8.00,0.00,29.50,1008.37
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.90,08-19-2019,07:00:00,25.3,1003.35,25.8,96,0.0,26.5,000,10.00,0.10,33.19,1008.59
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.20,08-19-2019,07:00:00,24.5,993.78,24.2,93,0.0,25.5,000,10.00,0.00,30.17,1007.04
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.10,08-19-2019,07:00:00,25.7,998.98,25.9,98,0.0,26.2,000,10.00,0.00,33.43,1008.34
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.01,08-19-2019,07:00:00,26.5,986.08,23.8,83,0.0,26.9,000,9.00,0.00,29.56,1007.78
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-19-2019,07:00:00,26.5,990.41,24.1,84,11.1,27.0,220,10.00,0.00,30.02,1007.93
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-19-2019,07:00:00,26.8,991.13,24.1,84,3.7,27.0,250,10.00,0.00,30.02,1006.96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-19-2019,07:00:00,26.6,987.82,23.4,81,0.0,27.1,000,10.00,0.00,28.86,1006.69
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.80,08-19-2019,07:00:00,22.0,957.54,22.1,93,0.0,23.3,000,7.00,1.00,26.58,1009.28
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,08-19-2019,07:00:00,25.8,1004.14,24.8,93,3.7,26.0,090,8.00,0.00,31.38,1008.11
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.70,08-19-2019,07:00:00,20.4,913.70,20.7,98,20.4,21.0,220,.60,0.40,24.38,1009.15
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.70,08-19-2019,07:00:00,25.5,991.56,25.0,93,0.0,26.2,000,8.00,0.00,31.76,1007.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,4.80,08-19-2019,07:00:00,24.9,1003.68,24.2,93,0.0,25.5,000,10.00,0.00,30.17,1007.74
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-19-2019,07:00:00,25.1,998.92,23.4,88,0.0,25.6,000,9.00,0.00,28.77,1009.67
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-19-2019,07:00:00,24.6,1006.86,23.7,88,0.0,25.9,000,9.00,0.00,29.31,1008.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-19-2019,07:00:00,25.5,987.55,23.2,79,13.0,27.2,240,10.00,0.00,28.51,1008.42
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-19-2019,07:00:00,25.6,989.92,23.6,82,7.4,27.0,280,10.00,0.00,29.21,1007.59
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-19-2019,07:00:00,26.7,991.32,23.6,79,5.6,27.5,220,10.00,0.00,29.06,1007.46
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-19-2019,07:00:00,26.6,994.39,24.4,84,7.4,27.4,220,10.00,0.00,30.50,1008.42
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-19-2019,07:00:00,25.8,994.20,24.9,91,0.0,26.5,000,9.00,0.00,31.52,1009.08
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.50,08-19-2019,07:00:00,25.5,994.45,25.2,95,0.0,26.1,000,7.00,0.00,32.12,1009.20
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.01,08-19-2019,07:00:00,25.0,1005.34,23.9,88,0.0,26.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,0.00,29.68,1008.37
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,08-19-2019,07:00:00,25.5,1000.55,24.2,89,0.0,26.2,000,10.00,0.00,30.13,1008.54
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-19-2019,07:00:00,25.5,1007.60,24.7,92,3.7,26.1,180,7.00,0.00,31.03,1008.71
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-19-2019,07:00:00,25.4,993.70,24.6,92,0.0,26.0,000,8.00,0.00,30.84,1008.45
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,08-19-2019,07:00:00,18.9,874.91,19.1,99,9.3,19.3,190,.10,0.00,22.15,1010.44
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-19-2019,07:00:00,24.4,1002.65,24.6,92,3.7,26.0,180,10.00,0.00,30.86,1008.56
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-19-2019,07:00:00,26.7,1008.48,23.9,81,11.1,27.5,240,9.00,0.00,29.60,1009.28
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-19-2019,07:00:00,28.3,1008.25,23.9,75,11.1,28.8,230,10.00,0.00,29.63,1008.69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.60,08-19-2019,07:00:00,24.2,998.81,23.8,96,0.0,24.5,000,4.00,0.00,29.41,1010.24
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-19-2019,07:00:00,26.4,1008.22,23.3,80,3.7,27.0,170,10.00,0.00,28.67,1009.24
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-19-2019,07:00:00,25.8,1007.27,24.1,89,0.0,26.1,000,8.00,0.00,29.95,1009.10
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-19-2019,07:00:00,25.3,1008.22,22.6,80,0.0,26.3,000,8.00,0.00,27.41,1008.99
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-19-2019,07:00:00,26.6,1008.28,23.5,75,7.4,28.3,250,10.00,0.00,28.95,1008.98
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.90,08-19-2019,07:00:00,26.2,1008.20,25.5,90,0.0,27.2,000,8.00,0.00,32.61,1008.91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-19-2019,07:00:00,25.8,987.18,24.2,86,0.0,26.8,000,10.00,0.00,30.18,1008.38
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.00,08-19-2019,07:00:00,24.5,991.66,24.7,94,0.0,25.7,000,6.00,0.00,31.08,1008.47
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,4.30,08-19-2019,07:00:00,24.3,992.21,25.0,96,9.3,25.7,230,9.00,0.00,31.63,1008.74
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-19-2019,07:00:00,25.7,986.24,23.8,88,0.0,26.0,000,10.00,0.00,29.50,1008.19
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,08-19-2019,07:00:00,24.4,965.73,22.9,86,5.6,25.4,230,12.00,0.00,27.89,1009.29
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,08-19-2019,07:00:00,25.4,987.83,23.9,87,0.0,26.2,000,8.00,0.00,29.60,1008.47
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-19-2019,07:00:00,25.4,988.95,25.0,94,9.3,26.0,220,7.00,0.00,31.65,1009.90
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-19-2019,07:00:00,27.0,1008.91,23.5,78,7.4,27.7,230,10.00,0.00,28.90,1009.35
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-19-2019,07:00:00,25.4,1007.17,24.8,93,0.0,26.0,000,8.00,0.00,31.38,1008.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-19-2019,07:00:00,25.4,1003.86,25.0,96,0.0,25.7,000,8.00,0.00,31.63,1008.82
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-19-2019,07:00:00,24.0,1005.92,23.0,83,0.0,26.1,000,12.00,0.00,28.10,1009.23
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-19-2019,07:00:00,24.8,1007.84,24.0,92,3.7,25.5,240,10.00,0.00,29.91,1008.95
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-19-2019,07:00:00,27.3,1008.77,24.4,81,7.4,28.0,310,10.00,0.00,30.56,1009.07
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-19-2019,07:00:00,28.0,1008.21,24.2,78,3.7,28.4,290,10.00,0.00,30.23,1008.90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-19-2019,07:00:00,27.8,1008.07,24.0,78,0.0,28.2,000,10.00,0.00,29.85,1008.56
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-19-2019,07:00:00,27.5,1007.80,23.3,75,11.1,28.3,240,10.00,0.00,28.68,1009.21
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-19-2019,07:00:00,28.5,1007.46,25.5,83,16.7,28.8,250,10.00,0.00,32.71,1009.13
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-19-2019,07:00:00,25.2,1002.90,24.6,93,0.0,25.8,000,10.00,0.00,31.00,1010.97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-19-2019,07:00:00,27.0,1008.87,26.0,90,0.0,27.8,000,10.00,0.00,33.53,1009.15
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-19-2019,07:00:00,28.0,1005.84,24.7,78,0.0,29.0,000,12.00,0.00,31.13,1008.96
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-19-2019,07:00:00,27.0,1002.08,24.5,81,7.4,28.1,260,10.00,0.00,30.75,1009.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-19-2019,07:00:00,25.4,1003.57,25.9,90,5.6,27.7,180,8.00,0.00,33.33,1009.16
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-19-2019,07:00:00,28.0,998.79,24.2,78,7.4,28.5,260,10.00,0.00,30.15,1008.07
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-19-2019,07:00:00,24.5,1008.59,23.4,91,3.7,25.0,270,12.00,0.00,28.74,1009.87
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1.10,08-19-2019,07:00:00,25.5,1008.76,23.7,87,5.6,26.0,270,11.00,0.00,29.23,1009.19
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-19-2019,07:00:00,23.0,997.28,22.9,96,3.7,23.5,280,10.00,0.00,27.92,1009.71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-19-2019,07:00:00,26.2,1008.33,23.0,80,0.0,26.7,000,10.00,0.00,28.13,1009.04
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-19-2019,07:00:00,25.0,1008.39,24.2,78,7.4,28.5,220,10.00,0.00,30.15,1010.82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-19-2019,07:00:00,28.5,1008.63,24.8,80,9.3,28.7,310,10.00,0.00,31.38,1009.14
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-19-2019,07:00:00,26.6,1003.92,24.4,86,0.0,27.0,000,11.00,0.00,30.56,1009.08
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,2.20,08-19-2019,07:00:00,26.6,1009.05,26.2,90,0.0,28.0,000,7.00,0.00,33.94,1009.46
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-19-2019,07:00:00,25.7,1006.93,26.3,96,0.0,27.0,000,8.00,0.00,34.19,1009.71
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-19-2019,07:00:00,25.2,1008.79,23.1,84,3.7,26.0,360,10.00,0.00,28.18,1009.58
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-19-2019,07:00:00,24.0,1009.53,24.3,93,5.6,25.5,090,7.00,0.00,30.44,1009.99
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.50,08-19-2019,07:00:00,24.0,1009.46,23.5,95,3.7,24.4,270,9.00,0.00,28.97,1010.15
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-19-2019,07:00:00,23.6,1008.86,23.0,96,0.0,23.6,000,6.00,0.00,28.09,1010.41
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-19-2019,07:00:00,23.5,1009.99,22.1,91,0.0,23.6,000,10.00,0.00,26.58,1010.92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-19-2019,07:00:00,25.2,1009.84,25.4,93,0.0,26.5,000,10.00,0.00,32.35,1010.53
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-19-2019,07:00:00,22.5,1009.89,22.3,98,0.0,22.6,000,10.00,0.00,26.91,1010.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-19-2019,07:00:00,23.9,1009.77,22.9,91,3.7,24.5,320,10.00,0.00,27.86,1010.41
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-19-2019,07:00:00,24.0,1010.33,23.9,96,0.0,24.6,000,10.00,0.00,29.59,1010.74
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-19-2019,07:00:00,23.4,1008.00,23.3,97,0.0,23.7,000,6.00,0.00,28.52,1012.28
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-19-2019,07:00:00,22.3,1007.45,23.5,95,0.0,24.4,000,6.00,0.00,28.97,1009.08
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-19-2019,07:00:00,23.0,1007.41,22.6,96,0.0,23.2,000,8.00,0.00,27.41,1010.94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-19-2019,07:00:00,24.2,1008.77,23.6,97,3.7,24.2,180,8.00,0.00,29.13,1010.14
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-19-2019,07:00:00,23.3,1009.17,21.8,90,0.0,23.5,000,12.00,0.00,26.17,1010.07
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-19-2019,07:00:00,22.3,1007.13,22.2,95,0.0,23.1,000,10.00,0.00,26.74,1010.75
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-19-2019,07:00:00,24.7,1010.11,23.4,90,0.0,25.2,000,10.00,0.00,28.83,1010.55
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-19-2019,07:00:00,22.2,1008.97,23.0,96,0.0,23.6,000,10.00,0.00,28.09,1009.97
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-19-2019,07:00:00,24.0,1009.77,23.1,93,0.0,24.3,000,10.00,0.00,28.28,1010.59
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-19-2019,07:00:00,23.6,1008.71,23.1,96,0.0,23.7,000,10.00,0.00,28.26,1010.54
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,2.80,08-19-2019,07:00:00,23.5,1010.19,23.7,90,0.0,25.5,000,8.00,0.00,29.38,1010.95
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,13.20,08-19-2019,07:00:00,21.6,1007.14,22.8,98,3.7,23.1,250,10.00,0.00,27.74,1011.21
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-19-2019,07:00:00,24.2,1011.73,24.1,94,0.0,25.1,000,10.00,0.00,29.97,1012.42
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,11.00,08-19-2019,07:00:00,22.5,1009.70,22.8,96,0.0,23.4,000,10.00,0.00,27.75,1010.83
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.10,08-19-2019,07:00:00,22.8,1008.23,23.3,98,0.0,23.6,000,.60,0.00,28.60,1011.20
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-19-2019,07:00:00,23.0,1010.38,23.0,96,0.0,23.6,000,10.00,0.00,28.09,1011.08
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-19-2019,07:00:00,23.2,1007.17,22.2,91,7.4,23.7,230,10.00,0.00,26.75,1011.36
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-19-2019,07:00:00,.0,1009.73,21.7,87,0.0,24.0,000,9.00,0.00,26.01,1010.32
