WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,WindDirection,Rainfall,Rainfall24Hr,WindSpeed,MaximumTemperature,RelativeHumidity,StationPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,DewPoint
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-16-2019,19:00:00,33.99,000,0.00,0.01,0.0,33.0,85,1003.66,1005.57,29.0,8.00,26.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-16-2019,19:00:00,28.50,150,0.00,0.00,5.6,34.0,65,986.32,1006.94,30.5,10.00,23.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-16-2019,19:00:00,34.59,000,0.00,0.00,0.0,32.6,83,986.68,1004.13,29.7,10.00,26.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-16-2019,19:00:00,29.36,000,0.00,0.00,0.0,33.4,70,987.92,1003.88,29.8,10.00,23.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-16-2019,19:00:00,29.75,000,0.00,0.00,0.0,32.2,70,990.64,1004.49,30.0,10.00,24.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-16-2019,19:00:00,31.09,000,0.00,0.00,0.0,33.0,79,990.44,1005.15,28.7,9.00,24.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-16-2019,19:00:00,35.86,000,0.00,0.00,0.0,31.9,87,990.80,1005.32,29.6,10.00,27.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-16-2019,19:00:00,34.97,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.60,0.0,34.4,84,1001.37,1004.35,29.6,10.00,26.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-16-2019,19:00:00,33.05,000,0.00,0.00,0.0,33.9,76,996.36,1004.20,30.5,10.00,25.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-16-2019,19:00:00,32.84,160,0.00,13.70,5.6,34.0,89,1004.45,1005.55,27.6,8.00,25.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-16-2019,19:00:00,35.64,000,0.00,16.00,0.0,32.8,81,990.81,1005.30,30.6,8.00,27.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-16-2019,19:00:00,22.77,000,0.40,3.60,0.0,25.3,98,872.43,1007.29,19.9,8.00,19.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-16-2019,19:00:00,33.58,220,0.00,0.00,3.7,34.8,81,999.00,1004.82,29.5,10.00,26.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-16-2019,19:00:00,33.30,000,13.40,39.30,0.0,35.3,95,1004.31,1005.11,26.7,8.00,25.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-16-2019,19:00:00,31.49,210,0.00,12.50,7.4,32.6,79,1004.70,1005.15,28.9,10.00,24.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-16-2019,19:00:00,33.66,000,0.00,1.20,0.0,33.7,89,994.03,1005.27,28.0,6.00,26.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-16-2019,19:00:00,32.26,000,0.00,0.00,0.0,35.9,77,1004.28,1005.29,29.7,10.00,25.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-16-2019,19:00:00,32.15,000,0.00,85.90,0.0,34.0,93,1003.23,1005.05,26.4,7.00,25.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-16-2019,19:00:00,33.08,000,0.00,0.00,0.0,35.8,81,1004.48,1005.24,29.4,6.00,25.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-16-2019,19:00:00,31.99,170,0.00,24.40,5.6,33.3,83,1004.76,1005.46,28.3,10.00,25.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-16-2019,19:00:00,34.07,000,0.00,11.00,0.0,34.9,86,1004.58,1005.28,28.9,7.00,26.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-16-2019,19:00:00,29.09,100,0.00,0.00,5.6,34.4,66,983.97,1004.81,30.8,10.00,23.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-16-2019,19:00:00,29.36,000,0.00,0.20,0.0,32.6,70,988.60,1005.13,29.8,9.00,23.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-16-2019,19:00:00,30.84,000,0.00,0.00,0.0,33.0,82,989.42,1005.77,28.0,8.00,24.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-16-2019,19:00:00,28.59,000,0.00,0.00,0.0,35.0,66,983.29,1004.85,30.4,10.00,23.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-16-2019,19:00:00,29.25,000,8.90,21.50,0.0,32.0,94,962.14,1005.64,24.7,10.00,23.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-16-2019,19:00:00,30.32,000,0.00,0.00,0.0,34.0,74,984.53,1004.89,29.3,10.00,24.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-16-2019,19:00:00,32.51,140,0.00,0.20,3.7,31.6,95,985.92,1006.78,26.3,9.00,25.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-16-2019,19:00:00,30.22,150,0.00,0.00,11.1,31.4,71,1004.85,1005.28,30.1,10.00,24.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-16-2019,19:00:00,32.38,000,0.00,1.20,0.0,34.5,92,1003.78,1005.20,26.8,6.00,25.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-16-2019,19:00:00,32.07,000,0.00,0.01,0.0,33.5,93,1000.93,1005.86,26.5,7.00,25.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-16-2019,19:00:00,29.52,210,0.00,0.00,9.3,34.0,75,1001.85,1005.12,28.6,10.00,23.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-16-2019,19:00:00,34.46,000,0.00,0.00,0.0,35.2,84,1004.02,1005.11,29.5,10.00,26.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-16-2019,19:00:00,33.24,000,0.00,21.20,0.0,33.2,85,1004.84,1005.14,28.5,10.00,25.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-16-2019,19:00:00,31.95,000,0.00,15.30,0.0,33.0,85,1004.25,1004.93,28.0,10.00,25.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-16-2019,19:00:00,35.06,000,0.00,87.70,0.0,33.8,98,1004.22,1004.71,27.0,10.00,26.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-16-2019,19:00:00,32.59,150,0.01,30.00,9.3,34.0,83,1004.54,1005.94,28.6,10.00,25.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-16-2019,19:00:00,33.95,180,0.00,11.40,16.7,30.5,83,1003.41,1005.08,29.4,10.00,26.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-16-2019,19:00:00,32.03,000,0.00,0.00,0.0,33.4,85,998.69,1006.67,27.9,10.00,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-16-2019,19:00:00,33.28,000,0.00,11.50,0.0,31.7,84,1004.75,1005.04,28.8,10.00,25.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-16-2019,19:00:00,29.76,000,0.00,0.00,0.0,31.5,77,1002.04,1005.15,28.3,10.00,24.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-16-2019,19:00:00,28.78,000,0.00,0.00,0.0,31.0,74,998.63,1005.53,28.5,10.00,23.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-16-2019,19:00:00,30.42,050,0.00,0.00,3.7,34.9,78,1000.75,1006.32,28.5,9.00,24.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-16-2019,19:00:00,29.65,160,0.00,0.00,9.3,34.1,78,997.31,1006.59,28.1,10.00,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-16-2019,19:00:00,32.30,140,0.00,0.00,3.7,34.6,79,1004.38,1005.63,29.3,12.00,25.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-16-2019,19:00:00,33.55,170,0.00,0.00,7.4,35.8,76,1004.74,1005.17,30.6,11.00,26.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-16-2019,19:00:00,27.16,230,0.00,0.00,3.7,34.0,71,993.11,1005.30,28.2,10.00,22.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-16-2019,19:00:00,28.78,000,0.00,0.00,0.0,34.9,70,1004.05,1004.76,29.5,10.00,23.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-16-2019,19:00:00,30.73,180,0.00,0.01,11.1,33.1,78,1003.06,1005.47,28.8,10.00,24.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-16-2019,19:00:00,31.46,240,0.00,0.30,13.0,30.5,80,1005.81,1006.32,28.6,10.00,24.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-16-2019,19:00:00,30.95,210,0.00,18.60,3.7,30.5,81,1000.50,1005.63,28.2,11.00,24.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-16-2019,19:00:00,33.25,000,0.00,11.70,0.0,29.4,89,1005.65,1006.06,27.8,7.00,25.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-16-2019,19:00:00,32.94,000,0.00,65.60,0.0,28.8,94,1003.38,1006.15,26.8,8.00,25.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-16-2019,19:00:00,26.39,000,0.00,22.80,0.0,29.0,76,1005.18,1005.97,26.6,10.00,22.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-16-2019,19:00:00,31.00,080,0.00,113.90,3.7,27.1,93,1006.08,1006.54,25.8,6.00,24.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-16-2019,19:00:00,28.69,250,0.01,2.00,9.3,30.2,87,1006.31,1007.00,25.7,7.00,23.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-16-2019,19:00:00,27.77,000,0.20,2.60,0.0,28.8,80,1005.53,1007.06,26.5,7.00,22.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-16-2019,19:00:00,29.00,180,8.30,88.20,5.6,27.5,92,1008.66,1009.58,25.0,10.00,23.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-16-2019,19:00:00,30.84,000,1.40,2.60,0.0,30.2,92,1006.81,1007.50,26.0,10.00,24.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-16-2019,19:00:00,29.80,260,0.00,5.00,3.7,30.3,86,1007.08,1007.88,26.6,8.00,24.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-16-2019,19:00:00,31.42,000,0.20,2.60,0.0,32.5,82,1006.85,1007.48,28.3,9.00,24.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-16-2019,19:00:00,30.64,000,0.00,1.20,0.0,32.7,82,1008.26,1008.66,27.9,10.00,24.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-16-2019,19:00:00,31.14,000,0.00,3.30,0.0,30.8,86,1005.48,1009.70,27.3,5.00,24.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-16-2019,19:00:00,30.13,000,4.60,12.10,0.0,30.9,96,1006.63,1008.25,24.9,10.00,24.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-16-2019,19:00:00,29.91,000,14.30,18.30,0.0,31.0,92,1006.21,1009.72,25.5,8.00,24.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-16-2019,19:00:00,28.24,000,0.00,0.01,0.0,32.0,73,1006.23,1007.58,28.5,8.00,23.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-16-2019,19:00:00,31.25,000,8.60,55.00,0.0,30.0,96,1007.13,1008.02,25.5,10.00,24.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-16-2019,19:00:00,29.05,000,5.60,17.60,0.0,31.2,96,1004.40,1007.99,24.3,10.00,23.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-16-2019,19:00:00,29.06,260,0.00,1.80,11.1,31.5,79,1007.77,1008.20,27.5,10.00,23.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-16-2019,19:00:00,29.46,000,0.20,15.90,0.0,30.4,78,1006.91,1007.90,28.0,9.00,23.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-16-2019,19:00:00,31.87,280,0.00,2.00,37.0,30.2,84,1007.28,1008.10,28.1,10.00,25.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-16-2019,19:00:00,29.11,000,0.00,1.20,0.0,32.6,77,1006.24,1008.04,28.1,10.00,23.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-16-2019,19:00:00,29.19,200,0.00,1.20,5.6,32.3,73,1006.75,1007.50,29.0,10.00,23.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-16-2019,19:00:00,30.16,140,0.00,1.60,7.4,31.8,87,1004.21,1008.21,26.5,10.00,24.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-16-2019,19:00:00,31.24,000,0.00,7.40,0.0,27.7,90,1007.32,1008.01,26.5,10.00,24.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-16-2019,19:00:00,30.81,000,0.00,1.00,0.0,31.8,83,1006.58,1007.69,27.7,10.00,24.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-16-2019,19:00:00,31.00,000,0.00,4.80,0.0,30.3,93,1005.55,1008.48,25.8,10.00,24.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-16-2019,19:00:00,33.06,230,0.00,2.10,5.6,32.7,93,1006.51,1007.20,27.0,8.00,25.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-16-2019,19:00:00,28.67,250,0.00,0.40,5.6,32.6,80,1004.14,1008.26,27.0,8.00,23.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-16-2019,19:00:00,30.15,000,0.00,1.70,0.0,32.4,78,1007.10,1007.68,28.5,10.00,24.2
