WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,WindDirection,Rainfall,Rainfall24Hr,WindSpeed,MaximumTemperature,RelativeHumidity,StationPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-16-2019,19:00:00,29.88,150,0.00,0.00,9.3,35.0,72,973.07,1003.53,29.5,15.00,24.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-16-2019,19:00:00,19.05,130,0.00,0.00,5.6,24.0,78,844.40,1004.30,20.7,8.00,16.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-16-2019,19:00:00,28.26,310,0.00,0.00,3.7,33.9,64,960.78,1003.52,30.8,12.00,23.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-16-2019,19:00:00,32.91,000,0.00,0.00,0.0,34.5,79,959.02,1003.82,29.6,12.00,25.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-16-2019,19:00:00,32.13,000,0.00,0.01,0.0,34.7,78,967.13,1004.20,29.5,8.00,25.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-16-2019,19:00:00,32.01,000,0.00,0.00,0.0,34.7,75,959.91,1004.23,30.0,15.00,25.2
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-16-2019,19:00:00,34.05,350,0.00,0.00,3.7,36.4,72,977.91,1004.06,31.8,10.00,26.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-16-2019,19:00:00,30.31,090,0.00,0.00,3.7,35.0,71,983.48,1004.93,30.0,15.00,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-16-2019,19:00:00,30.47,000,0.00,0.00,0.0,37.2,73,980.61,1004.38,29.8,8.00,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-16-2019,19:00:00,27.38,230,0.00,1.20,3.7,35.5,60,970.21,1004.05,31.2,10.00,22.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-16-2019,19:00:00,29.71,000,0.00,0.00,0.0,35.0,71,977.48,1004.64,29.7,10.00,23.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-16-2019,19:00:00,33.04,000,0.00,28.20,0.0,34.7,79,971.23,1004.30,29.8,10.00,25.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-16-2019,19:00:00,31.15,000,0.00,0.00,0.0,36.0,73,985.77,1004.01,30.0,10.00,24.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-16-2019,19:00:00,32.10,000,0.00,0.00,0.0,35.8,70,981.33,1003.72,31.3,10.00,25.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-16-2019,19:00:00,31.36,000,0.00,0.00,0.0,35.1,77,974.53,1004.02,29.4,10.00,24.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-16-2019,19:00:00,28.12,000,0.00,1.60,0.0,33.4,74,969.77,1004.99,28.0,7.00,23.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-16-2019,19:00:00,27.96,000,0.00,0.00,0.0,34.6,79,974.73,1004.31,26.9,9.00,22.9
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-16-2019,19:00:00,29.91,000,0.00,0.00,0.0,37.2,62,996.66,1003.82,32.2,10.00,24.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-16-2019,19:00:00,31.31,000,0.00,0.00,0.0,34.8,69,984.91,1004.47,31.2,14.00,24.8
48353,LOEI,เลย,เลย,17.45000,101.73333,09-16-2019,19:00:00,27.80,110,0.00,0.00,5.6,35.2,67,976.34,1004.64,29.7,12.00,22.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-16-2019,19:00:00,29.33,000,0.00,0.00,0.0,34.6,67,984.88,1004.76,30.5,12.00,23.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-16-2019,19:00:00,31.69,000,0.00,0.00,0.0,34.1,79,983.92,1005.45,29.0,12.00,25.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-16-2019,19:00:00,29.66,240,0.00,0.00,3.7,33.5,70,985.26,1004.49,30.1,13.00,23.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-16-2019,19:00:00,30.47,000,0.00,9.20,0.0,34.5,73,988.08,1004.62,29.8,10.00,24.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-16-2019,19:00:00,33.41,000,0.00,0.00,0.0,33.6,83,987.62,1004.87,29.0,10.00,25.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-16-2019,19:00:00,30.01,080,0.00,0.00,3.7,34.0,75,978.59,1004.10,29.0,10.00,24.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-16-2019,19:00:00,34.49,000,0.00,0.00,0.0,35.8,73,998.73,1004.41,32.0,10.00,26.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-16-2019,19:00:00,32.93,000,0.00,0.00,0.0,34.7,73,998.20,1004.29,31.0,12.00,25.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-16-2019,19:00:00,31.72,000,0.00,0.00,0.0,35.8,75,988.56,1004.79,30.0,10.00,25.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-16-2019,19:00:00,26.15,000,0.00,0.00,0.0,35.5,60,980.53,1002.50,30.4,12.00,21.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-16-2019,19:00:00,31.60,000,0.00,0.00,0.0,35.5,70,990.77,1004.93,31.2,7.00,25.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-16-2019,19:00:00,26.13,000,0.00,0.00,0.0,35.5,67,988.36,1004.62,28.5,8.00,21.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-16-2019,19:00:00,33.26,000,0.00,0.00,0.0,34.6,76,999.32,1004.47,30.6,10.00,25.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-16-2019,19:00:00,30.90,000,0.00,1.40,0.0,35.7,69,989.93,1002.90,31.0,12.00,24.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-16-2019,19:00:00,29.68,000,0.00,0.00,0.0,34.7,66,995.26,1004.43,31.1,10.00,23.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-16-2019,19:00:00,30.38,350,0.00,0.00,5.6,34.7,69,983.12,1004.50,30.6,10.00,24.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-16-2019,19:00:00,31.51,000,0.00,0.00,0.0,34.8,72,987.01,1004.25,30.6,10.00,24.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-16-2019,19:00:00,30.14,000,0.00,0.00,0.0,34.2,70,988.37,1003.99,30.2,10.00,24.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-16-2019,19:00:00,31.89,000,0.00,0.00,0.0,34.6,76,985.05,1003.70,29.8,8.00,25.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-16-2019,19:00:00,26.43,000,0.00,0.00,0.0,33.2,72,953.00,1003.76,27.5,{'@attributes': {'Unit': 'km'}},22.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-16-2019,19:00:00,32.81,310,0.00,0.40,5.6,35.1,71,1000.09,1003.98,31.5,8.00,25.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-16-2019,19:00:00,24.07,000,0.00,0.00,0.0,28.0,85,911.38,1005.88,23.1,6.00,20.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-16-2019,19:00:00,32.38,000,0.00,0.00,0.0,34.6,80,988.58,1004.40,29.2,10.00,25.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-16-2019,19:00:00,32.05,220,0.00,0.00,1.9,35.6,71,1000.47,1004.44,31.0,10.00,25.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-16-2019,19:00:00,32.59,000,0.00,0.00,0.0,34.4,80,995.34,1005.92,29.3,7.00,25.5
