WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility,Rainfall,WindDirection,DewPoint
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1010.26,07-12-2019,10:00:00,31.3,56,25.67,993.73,9.3,0.00,10.00,0.00,220,21.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1010.44,07-12-2019,10:00:00,32.5,57,27.69,994.25,0.0,0.00,10.00,0.00,000,22.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1010.18,07-12-2019,10:00:00,32.4,58,28.33,988.64,0.0,0.00,10.00,0.00,000,23.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1011.07,07-12-2019,10:00:00,29.3,64,25.99,967.98,18.5,0.00,10.00,0.00,230,21.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1009.97,07-12-2019,10:00:00,32.0,61,29.22,989.68,13.0,0.00,10.00,0.00,220,23.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1011.57,07-12-2019,10:00:00,32.0,63,30.08,991.00,13.0,0.00,8.00,0.00,240,24.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1011.41,07-12-2019,10:00:00,32.1,57,27.19,1010.98,5.6,0.00,10.00,0.00,150,22.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.96,07-12-2019,10:00:00,31.1,67,30.25,1009.56,0.0,0.00,10.00,0.00,000,24.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1010.94,07-12-2019,10:00:00,31.1,72,32.55,1006.06,0.0,0.00,8.00,0.00,000,25.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.29,07-12-2019,10:00:00,32.4,58,28.05,1008.04,9.3,0.00,12.00,0.00,320,23.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.19,07-12-2019,10:00:00,32.1,60,28.86,1010.10,7.4,0.00,10.00,0.00,280,23.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.45,07-12-2019,10:00:00,32.2,54,25.74,1011.16,7.4,0.00,10.00,0.00,270,21.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1011.19,07-12-2019,10:00:00,32.4,61,29.75,1010.51,0.0,0.00,10.00,0.00,000,24.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1011.24,07-12-2019,10:00:00,32.0,57,27.27,1010.76,0.0,0.00,10.00,0.00,000,22.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.81,07-12-2019,10:00:00,31.4,59,27.21,1010.42,22.2,0.00,10.00,0.00,280,22.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1011.56,07-12-2019,10:00:00,31.5,63,29.07,1009.90,0.0,0.00,10.00,0.00,000,23.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1013.05,07-12-2019,10:00:00,30.9,61,27.35,1005.10,11.1,0.00,12.00,0.00,270,22.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1011.36,07-12-2019,10:00:00,31.5,65,29.92,1011.08,13.0,0.00,12.00,0.00,260,24.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1011.48,07-12-2019,10:00:00,30.5,68,29.89,1008.36,5.6,0.00,10.00,0.00,200,24.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1011.70,07-12-2019,10:00:00,31.0,63,28.09,1004.81,5.6,0.00,12.00,0.00,240,23.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1011.51,07-12-2019,10:00:00,32.0,68,32.10,1005.98,5.6,0.00,7.00,0.00,250,25.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.58,07-12-2019,10:00:00,31.9,64,30.44,1002.38,5.6,0.00,10.00,0.00,300,24.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.12,07-12-2019,10:00:00,31.5,62,28.51,1010.87,0.0,0.00,15.00,0.00,000,23.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1011.51,07-12-2019,10:00:00,31.8,61,28.54,1011.08,0.0,0.00,11.00,0.00,000,23.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.66,07-12-2019,10:00:00,30.7,58,25.63,999.50,7.4,0.00,10.00,0.00,220,21.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.62,07-12-2019,10:00:00,31.2,65,29.32,1010.91,9.3,0.00,10.00,0.00,110,23.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.61,07-12-2019,10:00:00,33.5,55,28.27,1009.22,0.0,0.00,10.00,0.00,000,23.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.68,07-12-2019,10:00:00,31.0,66,29.48,1011.16,9.3,0.00,12.00,0.00,270,23.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.49,07-12-2019,10:00:00,32.3,51,24.85,1006.40,0.0,0.00,16.00,0.00,000,21.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.62,07-12-2019,10:00:00,30.8,70,31.06,1011.21,7.4,1.30,8.00,1.30,180,24.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1011.96,07-12-2019,10:00:00,30.5,72,31.31,1009.21,0.0,0.50,8.00,0.50,000,24.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.46,07-12-2019,10:00:00,32.6,57,28.17,1010.68,0.0,0.00,12.00,0.00,000,23.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.36,07-12-2019,10:00:00,31.0,72,32.34,1010.90,5.6,0.00,10.00,0.00,220,25.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.95,07-12-2019,10:00:00,31.2,62,28.20,1011.27,7.4,0.00,8.00,0.00,290,23.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.97,07-12-2019,10:00:00,31.0,66,29.48,1010.46,0.0,0.00,10.00,0.00,000,23.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.64,07-12-2019,10:00:00,31.5,60,27.96,1011.73,5.6,0.00,10.00,0.00,340,22.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1012.11,07-12-2019,10:00:00,32.0,68,32.40,1011.43,7.4,0.00,10.00,0.00,270,25.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.44,07-12-2019,10:00:00,30.5,74,32.17,1011.65,1.9,0.00,10.00,0.00,260,25.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1012.19,07-12-2019,10:00:00,30.3,73,31.48,1011.56,0.0,1.20,10.00,0.00,000,24.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1012.17,07-12-2019,10:00:00,31.2,64,29.04,1011.77,0.0,4.70,10.00,0.00,000,23.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1014.26,07-12-2019,10:00:00,30.5,67,29.06,1010.07,3.7,1.20,7.00,0.00,290,23.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.42,07-12-2019,10:00:00,31.4,57,26.40,1010.83,0.0,0.00,10.00,0.00,000,22.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1012.59,07-12-2019,10:00:00,31.5,67,31.06,1009.15,0.0,0.00,12.00,0.00,000,24.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.26,07-12-2019,10:00:00,31.0,70,31.47,1010.92,7.4,0.01,10.00,0.00,150,24.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.34,07-12-2019,10:00:00,30.0,78,33.17,1011.46,0.0,0.10,12.00,0.00,000,25.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.47,07-12-2019,10:00:00,31.0,67,30.05,1008.94,9.3,0.00,10.00,0.00,220,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1012.33,07-12-2019,10:00:00,32.0,60,28.66,1011.90,0.0,0.00,10.00,0.00,000,23.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.70,07-12-2019,10:00:00,31.4,73,33.48,1010.72,0.0,8.30,10.00,0.00,000,25.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.61,07-12-2019,10:00:00,31.3,77,35.06,1011.80,5.6,0.00,10.00,0.00,230,26.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.55,07-12-2019,10:00:00,30.5,72,31.31,1010.75,0.0,1.40,10.00,0.00,000,24.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1012.28,07-12-2019,10:00:00,31.3,70,31.80,1011.53,5.6,4.80,12.00,0.00,060,25.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.59,07-12-2019,10:00:00,30.8,70,31.06,1008.63,0.0,0.00,10.00,0.00,000,24.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.37,07-12-2019,10:00:00,31.4,68,31.14,1011.70,7.4,3.50,10.00,0.00,200,24.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.98,07-12-2019,10:00:00,30.9,69,30.98,1010.88,5.6,0.00,12.00,0.00,060,24.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.42,07-12-2019,10:00:00,31.0,72,32.34,1009.53,5.6,0.00,12.00,0.00,220,25.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.96,07-12-2019,10:00:00,30.0,71,30.31,1011.28,5.6,0.00,10.00,0.00,160,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1013.16,07-12-2019,10:00:00,29.3,69,28.12,1009.05,5.6,50.20,10.00,0.00,220,23.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1012.89,07-12-2019,10:00:00,29.5,68,27.96,1012.31,0.0,1.60,12.00,0.00,000,22.9
