WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,WindDirection,Rainfall,LandVisibility,VaporPressure,AirTemperature,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,982.12,09-11-2019,22:00:00,91,4.40,1013.36,0.0,000,0.01,10.00,28.21,24.7,23.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,847.72,09-11-2019,22:00:00,92,4.30,1009.36,7.4,120,0.00,8.00,19.97,18.8,17.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,968.68,09-11-2019,22:00:00,90,12.80,1012.62,5.6,150,0.00,10.00,28.66,25.1,23.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,966.72,09-11-2019,22:00:00,92,6.60,1012.65,0.0,000,0.00,15.00,28.55,24.6,23.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,976.05,09-11-2019,22:00:00,92,9.60,1014.03,0.0,000,0.00,7.00,29.00,25.0,23.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,967.76,09-11-2019,22:00:00,89,2.90,1013.21,5.6,110,0.00,10.00,28.22,25.0,23.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,987.70,09-11-2019,22:00:00,94,1.90,1014.68,0.0,000,0.00,7.00,30.71,25.5,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,991.48,09-11-2019,22:00:00,95,1.30,1013.50,0.0,000,0.10,10.00,29.33,24.6,23.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,990.03,09-11-2019,22:00:00,96,3.90,1014.54,0.0,000,0.30,6.00,27.66,23.5,22.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,978.33,09-11-2019,22:00:00,84,0.80,1013.10,0.0,000,0.00,10.00,27.47,25.6,22.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,985.85,09-11-2019,22:00:00,89,1.20,1013.64,0.0,000,0.00,10.00,28.75,25.3,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,978.97,09-11-2019,22:00:00,90,1.40,1012.83,0.0,000,0.00,10.00,28.83,25.2,23.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,994.45,09-11-2019,22:00:00,92,1.10,1013.13,3.7,280,0.00,12.00,29.99,25.4,24.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,990.26,09-11-2019,22:00:00,86,0.00,1013.26,0.0,000,0.00,10.00,28.60,25.8,23.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,983.27,09-11-2019,22:00:00,92,0.01,1013.48,0.0,000,0.00,8.00,29.26,25.0,23.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,977.58,09-11-2019,22:00:00,95,1.40,1013.52,0.0,000,0.00,7.00,28.97,24.4,23.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,982.93,09-11-2019,22:00:00,97,5.90,1012.93,0.0,000,0.00,10.00,31.04,25.1,24.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.82,09-11-2019,22:00:00,92,9.20,1013.21,0.0,000,0.00,8.00,29.91,25.5,24.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,992.74,09-11-2019,22:00:00,96,22.60,1012.81,3.7,150,0.00,10.00,32.20,26.0,25.3
48353,LOEI,เลย,เลย,17.45000,101.73333,983.87,09-11-2019,22:00:00,88,1.60,1012.74,0.0,000,0.00,12.00,29.50,26.0,23.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,992.79,09-11-2019,22:00:00,92,25.90,1013.20,3.7,220,0.20,12.00,29.26,25.0,23.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,991.36,09-11-2019,22:00:00,93,55.50,1013.33,0.0,000,0.00,12.00,30.25,25.4,24.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,993.28,09-11-2019,22:00:00,95,37.20,1012.94,3.7,180,0.00,12.00,31.74,25.9,25.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,996.23,09-11-2019,22:00:00,95,81.90,1013.18,0.0,000,0.00,12.00,30.05,25.0,24.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,995.93,09-11-2019,22:00:00,95,84.60,1013.55,0.0,000,0.00,10.00,30.42,25.2,24.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,987.36,09-11-2019,22:00:00,97,28.30,1013.48,0.0,000,0.20,9.00,30.03,24.7,24.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.38,09-11-2019,22:00:00,98,1.30,1013.23,0.0,000,0.00,10.00,32.45,25.7,25.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.24,09-11-2019,22:00:00,97,2.50,1013.50,0.0,000,0.00,10.00,31.79,25.5,25.1
