WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,LandVisibility,MeanSeaLevelPressure,WindDirection,DewPoint,RelativeHumidity,Rainfall24Hr,VaporPressure,StationPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-31-2019,16:00:00,0.0,12.00,1001.34,000,24.2,71,4.00,30.22,971.00,30.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-31-2019,16:00:00,7.4,8.00,1000.06,270,19.3,89,8.50,22.38,841.08,21.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.01,07-31-2019,16:00:00,0.0,10.00,1000.37,000,23.3,75,14.80,28.57,957.39,28.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.80,07-31-2019,16:00:00,0.0,8.00,1000.63,000,25.4,85,14.20,32.35,955.77,28.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-31-2019,16:00:00,0.0,12.00,1000.88,000,24.1,78,52.60,30.04,963.79,28.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-31-2019,16:00:00,9.3,15.00,1000.19,180,24.7,69,33.00,31.19,956.19,31.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-31-2019,16:00:00,5.6,10.00,1001.28,180,25.1,76,123.00,31.89,975.03,29.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.01,07-31-2019,16:00:00,5.6,12.00,1000.90,200,21.4,48,0.80,25.43,979.80,33.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.00,07-31-2019,16:00:00,0.0,9.00,1002.78,000,25.6,83,1.10,32.79,978.97,28.7
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-31-2019,16:00:00,0.0,10.00,1001.52,000,23.5,70,13.20,28.97,967.59,29.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-31-2019,16:00:00,0.0,10.00,1001.67,000,24.4,73,4.50,30.47,974.60,29.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-31-2019,16:00:00,9.3,12.00,1000.93,350,23.3,60,7.90,28.58,968.22,32.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.10,07-31-2019,16:00:00,0.0,12.00,1001.71,000,24.7,78,18.20,31.13,983.46,29.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-31-2019,16:00:00,0.0,10.00,1001.62,000,24.1,77,64.20,30.07,979.08,28.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-31-2019,16:00:00,0.0,12.00,1001.76,000,23.7,79,78.20,29.36,972.17,27.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-31-2019,16:00:00,0.0,7.00,1001.26,000,25.0,79,2.40,31.69,966.29,29.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-31-2019,16:00:00,11.1,16.00,1000.00,290,23.8,66,5.30,29.48,970.94,31.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-31-2019,16:00:00,0.0,10.00,1001.21,000,24.4,66,8.30,30.49,994.06,31.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-31-2019,16:00:00,0.0,12.00,1000.08,000,25.3,66,0.50,32.28,980.69,32.5
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-31-2019,16:00:00,14.8,17.00,1000.62,290,21.2,56,7.70,25.20,972.54,30.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,2.10,07-31-2019,16:00:00,5.6,9.00,1001.12,160,25.3,87,29.90,32.28,981.12,27.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.01,07-31-2019,16:00:00,9.3,7.00,1001.00,260,24.7,68,0.90,31.14,979.73,31.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-31-2019,16:00:00,3.7,15.00,1000.40,320,24.6,69,2.80,30.90,981.31,31.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-31-2019,16:00:00,0.0,12.00,1001.90,000,25.2,78,0.90,32.13,985.38,29.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-31-2019,16:00:00,0.0,12.00,1001.63,000,26.0,81,2.60,33.58,984.47,29.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-31-2019,16:00:00,5.6,14.00,999.15,290,23.2,65,13.90,28.50,973.88,30.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-31-2019,16:00:00,0.0,10.00,1001.86,000,23.0,52,0.00,28.10,996.24,34.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-31-2019,16:00:00,7.4,10.00,1000.92,230,23.5,57,0.00,29.01,994.89,33.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-31-2019,16:00:00,0.0,10.00,1002.23,000,22.7,64,4.60,27.66,986.04,30.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-31-2019,16:00:00,5.6,10.00,1002.67,210,22.9,74,3.00,27.85,980.52,28.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-31-2019,16:00:00,18.5,9.00,1002.34,250,21.8,55,0.00,26.07,988.25,31.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-31-2019,16:00:00,11.1,12.00,1001.13,260,21.8,50,0.00,26.04,985.19,33.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,07-31-2019,16:00:00,5.6,10.00,1001.72,180,24.3,63,2.40,30.40,996.61,32.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-31-2019,16:00:00,0.0,12.00,1000.84,000,22.9,61,2.20,27.93,987.90,31.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-31-2019,16:00:00,11.1,10.00,1001.81,270,21.0,47,0.00,24.80,992.75,34.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-31-2019,16:00:00,13.0,10.00,1001.22,300,21.9,56,13.40,26.23,979.99,31.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1.80,07-31-2019,16:00:00,0.0,10.00,1002.11,000,25.6,75,25.10,32.75,984.89,30.5
