WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,WindSpeed,StationPressure,WindDirection,RelativeHumidity,LandVisibility,VaporPressure,MeanSeaLevelPressure,MaximumTemperature,Rainfall,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-16-2019,19:00:00,30.2,0.0,970.66,000,74,12.00,31.84,1000.97,34.4,0.00,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.70,07-16-2019,19:00:00,21.0,3.7,841.65,270,87,8.00,21.64,1000.85,24.4,0.00,18.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-16-2019,19:00:00,32.2,0.0,957.17,000,60,12.00,28.78,999.56,35.6,0.00,23.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-16-2019,19:00:00,32.0,0.0,955.01,000,57,15.00,27.27,999.26,35.0,0.00,22.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-16-2019,19:00:00,29.6,0.0,964.25,000,72,12.00,29.80,1001.20,35.0,0.00,24.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.00,07-16-2019,19:00:00,30.7,3.7,956.26,120,68,11.00,30.01,1000.31,34.5,2.00,24.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-16-2019,19:00:00,33.0,0.0,974.66,000,63,12.00,31.57,1000.63,36.7,0.00,24.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-16-2019,19:00:00,31.5,5.6,980.31,220,55,16.00,25.51,1001.59,36.9,0.00,21.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.00,07-16-2019,19:00:00,27.5,0.0,981.30,000,84,8.00,30.97,1005.26,31.0,1.00,24.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-16-2019,19:00:00,33.0,0.0,966.94,000,55,10.00,27.84,1000.46,36.7,0.00,22.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-16-2019,19:00:00,33.8,0.0,973.78,000,52,10.00,27.18,1000.47,36.5,0.00,22.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-16-2019,19:00:00,33.3,0.0,967.48,000,55,10.00,28.15,1000.04,38.0,0.00,23.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-16-2019,19:00:00,32.6,0.0,982.39,000,58,12.00,28.45,1000.41,35.9,0.00,23.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-16-2019,19:00:00,32.2,0.0,978.98,000,57,10.00,27.38,1001.25,36.2,0.00,22.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-16-2019,19:00:00,30.0,0.0,971.38,000,78,12.00,33.17,1000.72,35.0,0.00,25.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-16-2019,19:00:00,33.5,0.0,965.83,000,54,6.00,27.99,1000.27,36.0,0.00,22.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-16-2019,19:00:00,30.2,5.6,971.39,140,71,12.00,30.42,1000.54,37.6,0.00,24.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-16-2019,19:00:00,33.5,0.0,993.68,000,59,10.00,30.28,1000.79,37.2,0.00,24.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-16-2019,19:00:00,33.3,3.7,980.98,080,67,14.00,34.33,1000.33,36.3,0.00,26.4
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-16-2019,19:00:00,31.6,3.7,972.90,150,59,15.00,27.60,1000.92,37.8,0.00,22.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-16-2019,19:00:00,33.2,1.9,981.18,070,64,12.00,32.59,1000.81,35.6,0.00,25.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-16-2019,19:00:00,32.0,0.0,980.47,000,74,12.00,35.09,1001.71,35.5,0.00,26.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-16-2019,19:00:00,32.7,0.0,981.53,000,63,12.00,31.23,1000.52,35.0,0.00,24.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-16-2019,19:00:00,32.2,0.0,985.46,000,66,12.00,31.65,1001.83,35.0,0.00,25.0
