WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,VaporPressure,Rainfall24Hr,RelativeHumidity,AirTemperature,Rainfall,MeanSeaLevelPressure,StationPressure,WindDirection,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-02-2019,22:00:00,24.6,30.84,12.20,92,26.0,3.90,1005.81,974.94,000,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,08-02-2019,22:00:00,18.3,20.98,4.40,98,18.6,0.50,1003.16,842.41,300,7.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,7.4,08-02-2019,22:00:00,21.9,26.32,2.10,74,27.0,0.00,1003.81,960.53,260,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-02-2019,22:00:00,23.3,28.59,13.50,88,25.5,0.00,1005.13,959.67,000,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-02-2019,22:00:00,24.3,30.30,0.00,90,26.0,0.00,1004.33,966.83,000,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-02-2019,22:00:00,22.6,27.40,0.00,82,26.0,0.00,1004.78,959.86,000,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,08-02-2019,22:00:00,23.7,29.27,0.00,84,26.6,0.00,1004.34,977.73,180,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,13.0,08-02-2019,22:00:00,21.1,24.98,0.00,67,27.7,0.00,1005.91,984.28,210,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-02-2019,22:00:00,24.3,30.32,15.80,96,25.0,3.00,1007.69,983.47,000,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-02-2019,22:00:00,23.3,28.55,3.30,83,26.5,0.00,1005.31,970.91,000,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-02-2019,22:00:00,22.3,26.95,2.00,73,27.5,0.00,1006.10,978.71,000,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-02-2019,22:00:00,22.5,27.32,0.00,72,28.0,0.00,1005.03,971.74,000,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,08-02-2019,22:00:00,24.1,30.02,1.10,84,27.0,0.00,1005.17,986.73,210,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-02-2019,22:00:00,23.7,29.29,0.00,83,26.9,0.00,1004.40,981.68,000,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-02-2019,22:00:00,24.2,30.13,0.00,89,26.2,0.00,1004.54,974.72,000,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-02-2019,22:00:00,23.4,28.84,4.10,82,26.8,0.00,1005.03,969.68,000,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,08-02-2019,22:00:00,21.5,25.57,0.00,69,27.6,0.00,1003.33,973.85,010,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-02-2019,22:00:00,22.5,27.20,0.00,69,28.8,0.00,1006.01,998.76,000,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,9.3,08-02-2019,22:00:00,23.4,28.78,0.00,74,28.5,0.00,1002.60,982.90,260,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,08-02-2019,22:00:00,20.9,24.67,0.00,63,28.7,0.00,1003.53,975.17,250,13.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,7.4,08-02-2019,22:00:00,22.7,27.52,0.00,71,28.4,0.00,1002.78,982.81,240,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,08-02-2019,22:00:00,22.3,26.86,0.00,73,27.6,0.00,1002.64,981.06,240,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.4,08-02-2019,22:00:00,23.1,28.26,0.00,77,27.5,0.00,1002.25,982.90,270,13.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-02-2019,22:00:00,24.6,31.00,20.60,93,25.8,0.50,1002.87,986.14,000,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-02-2019,22:00:00,25.3,32.15,2.10,93,26.4,1.00,1003.16,985.80,000,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-02-2019,22:00:00,24.1,30.02,0.00,84,27.0,0.00,1002.56,976.91,000,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-02-2019,22:00:00,23.8,29.43,0.00,75,28.7,0.00,1005.64,999.89,000,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.4,08-02-2019,22:00:00,24.2,30.15,0.30,78,28.5,0.00,1005.59,999.44,270,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-02-2019,22:00:00,22.6,27.36,0.00,77,27.0,0.00,1006.14,989.72,000,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,11.1,08-02-2019,22:00:00,21.7,26.01,27.50,87,24.0,2.80,1006.57,984.04,220,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.2,08-02-2019,22:00:00,20.7,24.38,0.00,66,27.5,0.00,1005.04,990.71,270,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,14.8,08-02-2019,22:00:00,21.6,25.76,0.00,68,28.0,0.00,1006.27,989.95,120,7.00
