WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,Rainfall,LandVisibility,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,StationPressure,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.63,08-16-2019,16:00:00,1003.32,4.90,8.00,000,7.10,26.7,0.0,972.58,25.0,90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.65,08-16-2019,16:00:00,1000.79,6.40,.10,300,43.80,19.5,27.8,840.86,19.5,100
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.85,08-16-2019,16:00:00,1000.26,0.10,10.00,220,6.70,29.2,5.6,957.43,24.0,74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.23,08-16-2019,16:00:00,1000.75,1.60,15.00,220,7.90,28.2,9.3,955.89,24.8,82
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.84,08-16-2019,16:00:00,1002.20,6.40,8.00,000,29.90,26.0,0.0,964.78,24.6,92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.91,08-16-2019,16:00:00,1002.12,8.40,6.00,120,25.80,25.5,3.7,957.25,24.0,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,33.95,08-16-2019,16:00:00,1002.05,7.40,6.00,090,21.90,27.3,9.3,975.56,26.2,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,32.30,08-16-2019,16:00:00,1002.97,0.70,8.00,000,0.70,26.9,0.0,981.34,25.3,91
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.31,08-16-2019,16:00:00,1003.04,0.20,8.00,000,0.30,30.0,0.0,979.33,24.3,71
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.66,08-16-2019,16:00:00,1002.54,4.50,10.00,000,9.70,27.0,0.0,968.29,25.0,89
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.98,08-16-2019,16:00:00,1002.49,31.00,9.00,000,31.00,25.5,0.0,975.01,24.6,95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.84,08-16-2019,16:00:00,1002.00,0.00,10.00,000,0.00,28.0,0.0,968.81,24.6,82
