WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,Rainfall,LandVisibility,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,StationPressure,DewPoint,RelativeHumidity
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.03,08-16-2019,16:00:00,1002.75,7.50,4.00,260,17.80,26.1,13.0,984.30,24.7,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.05,08-16-2019,16:00:00,1001.16,0.01,10.00,140,6.50,31.0,5.6,978.81,25.2,71
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.13,08-16-2019,16:00:00,1001.13,15.10,12.00,000,19.00,29.5,0.0,971.73,25.2,78
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.23,08-16-2019,16:00:00,1002.15,0.20,7.00,000,0.20,27.4,0.0,966.96,24.2,83
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.70,08-16-2019,16:00:00,1001.12,0.00,15.00,000,5.20,29.0,0.0,971.84,26.0,84
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.24,08-16-2019,16:00:00,1001.66,0.00,10.00,220,0.01,33.4,5.6,994.54,24.8,61
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,35.05,08-16-2019,16:00:00,1001.80,0.00,14.00,110,1.20,29.5,5.6,982.18,26.7,85
48353,LOEI,เลย,เลย,17.45000,101.73333,31.54,08-16-2019,16:00:00,1001.43,1.20,7.00,030,7.90,28.5,5.6,973.11,24.9,81
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.01,08-16-2019,16:00:00,1003.03,5.90,12.00,140,6.30,25.7,7.4,982.87,24.1,91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,34.24,08-16-2019,16:00:00,1002.10,0.40,8.00,000,2.50,31.2,0.0,980.79,26.3,75
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.76,08-16-2019,16:00:00,1001.69,0.00,12.00,180,5.50,31.2,3.7,982.58,25.6,72
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.55,08-16-2019,16:00:00,1003.04,0.00,10.00,110,10.40,29.0,5.6,986.48,25.5,81
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,35.35,08-16-2019,16:00:00,1003.13,0.00,12.00,000,63.60,29.5,0.0,985.95,26.9,86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.67,08-16-2019,16:00:00,1001.85,0.00,13.00,120,0.00,26.2,7.4,976.15,24.5,90
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.20,08-16-2019,16:00:00,1001.30,0.00,10.00,000,0.00,32.9,0.0,995.66,24.2,60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.99,08-16-2019,16:00:00,1001.55,0.00,10.00,270,0.00,32.8,16.7,995.51,24.1,60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.69,08-16-2019,16:00:00,1002.04,0.00,10.00,000,0.00,33.0,0.0,986.01,24.5,61
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.43,08-16-2019,16:00:00,1003.10,5.30,10.00,110,5.30,26.5,3.7,980.84,24.3,88
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.15,08-16-2019,16:00:00,1003.11,0.00,8.00,260,0.00,31.4,18.5,988.99,23.6,63
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.66,08-16-2019,16:00:00,1001.89,0.00,8.00,120,0.00,32.5,11.1,985.88,23.9,61
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.13,08-16-2019,16:00:00,1002.38,0.00,10.00,250,0.00,33.4,11.1,997.29,25.2,62
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.27,08-16-2019,16:00:00,1000.71,0.00,12.00,000,0.00,32.3,0.0,987.82,24.8,65
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.25,08-16-2019,16:00:00,1002.27,0.00,10.00,000,0.00,33.7,0.0,993.19,23.7,56
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.79,08-16-2019,16:00:00,1001.25,0.00,10.00,180,1.70,33.4,13.0,980.14,22.8,54
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.29,08-16-2019,16:00:00,1001.76,0.00,10.00,230,5.80,34.7,5.6,984.79,23.7,53
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.52,08-16-2019,16:00:00,1001.71,0.00,12.00,270,4.20,32.0,5.6,986.22,24.9,66
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.43,08-16-2019,16:00:00,1000.35,0.00,10.00,190,6.30,34.0,13.0,982.01,23.2,53
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.24,08-16-2019,16:00:00,1004.99,0.00,10.00,000,8.20,28.0,0.0,954.26,21.3,67
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.95,08-16-2019,16:00:00,1002.15,0.00,8.00,140,0.00,32.9,14.8,998.29,25.1,64
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.11,08-16-2019,16:00:00,1003.75,0.00,5.00,260,0.20,23.9,14.8,909.69,21.2,85
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.01,08-16-2019,16:00:00,1002.02,0.00,8.00,220,4.20,32.7,7.4,986.41,25.7,67
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.22,08-16-2019,16:00:00,1002.20,0.00,10.00,290,0.20,34.5,3.7,998.29,24.8,57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.45,08-16-2019,16:00:00,1003.03,0.00,10.00,180,0.00,33.3,5.6,992.62,24.3,60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.04,08-16-2019,16:00:00,1002.33,0.00,10.00,000,0.00,33.8,0.0,1000.45,24.1,57
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.60,08-16-2019,16:00:00,1002.03,0.00,10.00,230,0.00,33.1,14.8,981.69,23.3,57
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.15,08-16-2019,16:00:00,1001.82,0.00,11.00,180,14.70,30.7,7.4,984.46,24.7,71
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.51,08-16-2019,16:00:00,1001.84,0.00,10.00,210,0.30,30.8,11.1,985.96,25.4,73
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.68,08-16-2019,16:00:00,1002.37,0.00,10.00,230,0.00,33.7,9.3,988.71,23.3,55
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.12,08-16-2019,16:00:00,1003.66,0.00,10.00,170,0.60,32.7,3.7,989.15,25.2,65
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.23,08-16-2019,16:00:00,1003.29,0.00,10.00,230,0.00,34.0,11.1,989.01,25.3,61
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.92,08-16-2019,16:00:00,1002.31,0.00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",12.20,34.8,0.0,999.38,23.5,52
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.86,08-16-2019,16:00:00,1001.79,0.00,10.00,140,0.00,32.8,5.6,994.03,24.6,62
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.57,08-16-2019,16:00:00,1003.74,0.00,8.00,230,0.00,33.5,11.1,1002.66,24.4,59
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.64,08-16-2019,16:00:00,1005.18,0.00,9.00,110,0.00,31.5,3.7,990.74,25.0,68
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,25.07,08-16-2019,16:00:00,1004.24,0.00,.05,200,55.40,21.6,7.4,870.50,21.1,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.77,08-16-2019,16:00:00,1002.55,0.00,10.00,000,0.00,32.4,0.0,996.80,25.1,65
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.10,08-16-2019,16:00:00,1004.23,0.00,9.00,270,0.00,35.5,14.8,1003.45,24.2,52
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.93,08-16-2019,16:00:00,1004.22,0.00,10.00,210,0.00,31.5,18.5,1003.78,25.1,69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.63,08-16-2019,16:00:00,1005.66,18.00,5.00,000,18.20,26.7,0.0,994.36,25.0,90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.80,08-16-2019,16:00:00,1002.40,0.00,8.00,210,0.30,35.3,9.3,1001.42,23.4,50
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.34,08-16-2019,16:00:00,1002.78,0.00,8.00,200,0.00,34.0,3.7,1001.01,24.8,59
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.02,08-16-2019,16:00:00,1002.46,0.00,9.00,000,0.00,34.5,0.0,1001.71,23.0,51
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.45,08-16-2019,16:00:00,1003.99,0.00,10.00,210,0.00,31.2,13.0,1003.30,24.3,67
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.64,08-16-2019,16:00:00,1003.09,0.00,7.00,240,0.60,34.5,5.6,1002.41,26.0,62
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.28,08-16-2019,16:00:00,1001.94,0.00,12.00,260,0.00,34.7,11.1,981.42,22.5,49
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.34,08-16-2019,16:00:00,1002.64,0.00,14.00,190,0.00,34.5,11.1,986.40,24.3,55
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.52,08-16-2019,16:00:00,1002.94,0.00,10.00,210,0.00,34.5,3.7,986.98,24.9,58
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.46,08-16-2019,16:00:00,1001.92,0.00,10.00,240,0.01,34.5,3.7,980.70,23.8,54
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,28.73,08-16-2019,16:00:00,1002.75,0.00,10.00,250,0.00,30.9,11.1,960.24,23.4,64
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.43,08-16-2019,16:00:00,1002.28,0.00,10.00,210,11.00,33.5,9.3,982.25,22.6,53
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.24,08-16-2019,16:00:00,1004.05,0.00,9.00,170,0.80,31.7,16.7,983.62,25.8,71
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,34.67,08-16-2019,16:00:00,1004.54,0.01,10.00,180,0.01,29.6,20.4,1004.12,26.5,84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.83,08-16-2019,16:00:00,1003.23,0.00,10.00,260,0.00,33.9,5.6,1001.85,26.1,64
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.34,08-16-2019,16:00:00,1004.12,0.01,8.00,210,0.01,31.0,9.3,999.26,25.4,72
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.93,08-16-2019,16:00:00,1003.16,0.00,12.00,270,0.00,35.5,9.3,999.97,23.5,50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.71,08-16-2019,16:00:00,1003.29,0.00,10.00,190,0.00,35.0,7.4,1002.22,25.0,56
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.28,08-16-2019,16:00:00,1004.15,0.00,10.00,220,0.00,32.5,13.0,1003.85,25.3,66
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.03,08-16-2019,16:00:00,1004.38,0.00,10.00,000,0.00,32.8,0.0,1003.71,25.2,64
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.32,08-16-2019,16:00:00,1004.36,0.00,10.00,240,0.00,31.7,5.6,1003.88,24.3,65
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.96,08-16-2019,16:00:00,1003.31,0.00,10.00,210,0.00,34.1,16.7,1001.94,24.6,58
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,34.80,08-16-2019,16:00:00,1004.37,0.00,10.00,190,0.00,29.8,27.8,1002.71,26.6,83
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.85,08-16-2019,16:00:00,1005.32,0.60,10.00,180,0.60,31.6,11.1,997.45,25.1,69
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.00,08-16-2019,16:00:00,1003.73,0.00,10.00,240,0.00,33.2,11.1,1003.45,25.2,63
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,34.41,08-16-2019,16:00:00,1004.35,0.00,12.00,240,0.00,31.0,5.6,1001.27,26.4,77
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.34,08-16-2019,16:00:00,1004.70,0.00,12.00,270,0.00,31.0,7.4,997.87,25.4,72
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.50,08-16-2019,16:00:00,1004.23,0.00,8.00,190,0.00,33.8,11.1,998.77,24.9,60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.73,08-16-2019,16:00:00,1004.38,0.00,12.00,230,0.00,31.2,18.5,995.22,24.5,68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,35.26,08-16-2019,16:00:00,1004.77,3.30,10.00,150,3.30,29.6,11.1,1003.52,26.8,85
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.27,08-16-2019,16:00:00,1004.82,12.00,11.00,000,28.80,26.8,0.0,1004.39,24.8,89
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.24,08-16-2019,16:00:00,1004.65,0.00,8.00,000,0.00,31.8,0.0,992.61,24.2,64
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,34.06,08-16-2019,16:00:00,1004.99,0.90,10.00,060,1.00,30.7,7.4,1004.29,26.2,77
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.11,08-16-2019,16:00:00,1005.37,0.00,10.00,180,0.00,32.5,11.1,1002.98,24.7,64
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,34.22,08-16-2019,16:00:00,1005.66,0.00,10.00,230,0.00,30.5,14.8,1005.14,26.3,78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.88,08-16-2019,16:00:00,1004.68,0.00,11.00,200,0.00,31.2,1.9,999.61,24.0,66
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.68,08-16-2019,16:00:00,1005.77,0.80,9.00,220,1.20,30.8,9.3,1005.36,26.0,76
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.33,08-16-2019,16:00:00,1006.09,0.00,8.00,200,0.00,29.8,9.3,1003.35,25.9,79
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.28,08-16-2019,16:00:00,1005.57,0.00,10.00,270,0.00,32.8,14.8,1004.80,23.1,57
48501,TRAD,ตราด,ตราด,11.76667,102.88333,34.32,08-16-2019,16:00:00,1006.68,0.00,7.00,260,10.20,28.6,5.6,1006.22,26.4,88
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.38,08-16-2019,16:00:00,1006.68,0.30,7.00,000,1.10,28.7,0.0,1006.00,24.8,80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.00,08-16-2019,16:00:00,1007.20,1.00,8.00,000,2.60,30.2,0.0,1005.69,25.7,77
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,33.37,08-16-2019,16:00:00,1007.87,0.60,8.00,210,74.70,28.0,7.4,1006.96,25.9,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.72,08-16-2019,16:00:00,1006.77,0.00,12.00,150,5.50,30.7,7.4,1006.09,25.0,72
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,35.35,08-16-2019,16:00:00,1007.37,0.10,10.00,200,0.90,29.5,5.6,1006.58,26.9,86
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.01,08-16-2019,16:00:00,1006.73,0.00,10.00,200,2.60,30.1,11.1,1006.10,23.0,66
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.31,08-16-2019,16:00:00,1007.16,0.00,10.00,220,0.00,30.0,18.5,1006.75,24.3,71
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.95,08-16-2019,16:00:00,1009.19,0.00,6.00,230,0.50,30.5,9.3,1005.02,22.9,64
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.63,08-16-2019,16:00:00,1008.04,0.00,10.00,000,8.00,25.6,0.0,1006.43,24.4,93
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.95,08-16-2019,16:00:00,1009.12,0.70,10.00,000,1.20,28.0,0.0,1005.65,25.1,85
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.28,08-16-2019,16:00:00,1007.88,0.00,10.00,000,2.50,30.1,0.0,1006.54,23.1,66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.38,08-16-2019,16:00:00,1008.19,1.50,8.00,220,21.10,26.0,9.3,1007.30,24.8,93
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.01,08-16-2019,16:00:00,1008.19,11.80,6.00,180,25.00,25.9,13.0,1004.62,25.2,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.38,08-16-2019,16:00:00,1008.05,13.40,8.00,000,28.60,27.0,0.0,1007.62,24.8,88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.21,08-16-2019,16:00:00,1009.32,0.30,10.00,230,3.40,28.9,11.1,1008.33,24.8,78
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.18,08-16-2019,16:00:00,1008.96,0.80,10.00,230,63.20,26.7,22.2,1008.14,25.3,92
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.38,08-16-2019,16:00:00,1008.93,1.50,7.00,200,74.10,27.0,14.8,1007.12,24.8,88
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.66,08-16-2019,16:00:00,1008.17,0.00,11.00,230,0.01,30.1,14.8,1007.43,22.1,62
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.96,08-16-2019,16:00:00,1008.85,2.20,10.00,240,2.60,26.9,22.2,1004.85,22.9,79
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.37,08-16-2019,16:00:00,1009.24,11.50,10.00,000,14.90,26.4,0.0,1008.55,23.2,82
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.98,08-16-2019,16:00:00,1008.58,10.80,10.00,190,10.80,28.5,14.8,1007.47,24.6,80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.67,08-16-2019,16:00:00,1008.74,3.70,10.00,280,3.70,27.2,16.7,1005.82,24.5,85
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.02,08-16-2019,16:00:00,1006.73,0.00,12.00,220,0.00,32.6,9.3,1006.05,24.7,63
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.19,08-16-2019,16:00:00,1007.38,0.00,10.00,000,0.00,35.0,0.0,1003.36,21.9,47
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.09,08-16-2019,16:00:00,1007.72,0.00,12.00,050,0.00,31.0,14.8,1007.13,23.0,63
