WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,WindDirection,Rainfall,Rainfall24Hr,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,MeanSeaLevelPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,15.00,09-24-2019,16:00:00,20.9,000,0.00,0.00,33.4,48,24.75,979.60,1009.86,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-24-2019,16:00:00,16.0,120,0.00,0.00,21.2,72,18.22,850.59,1011.37,16.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,15.00,09-24-2019,16:00:00,17.2,000,0.00,0.00,31.5,42,19.61,968.68,1011.68,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-24-2019,16:00:00,18.7,000,0.00,0.00,31.0,48,21.51,966.98,1011.94,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,09-24-2019,16:00:00,20.0,000,0.00,0.00,32.1,49,23.43,974.56,1011.59,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,09-24-2019,16:00:00,21.9,000,0.00,0.00,31.5,57,26.32,967.03,1011.45,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,09-24-2019,16:00:00,21.8,010,0.00,0.00,33.4,51,26.12,985.67,1011.89,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,09-24-2019,16:00:00,22.2,070,0.00,0.00,32.3,55,26.75,989.75,1011.18,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,09-24-2019,16:00:00,19.9,000,0.00,0.00,35.2,41,23.28,986.42,1009.90,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-24-2019,16:00:00,19.7,070,0.00,0.00,32.3,48,23.01,977.13,1011.08,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-24-2019,16:00:00,20.4,000,0.00,0.00,33.0,48,24.01,984.23,1011.27,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,09-24-2019,16:00:00,21.2,020,0.00,0.00,30.4,58,25.09,978.11,1011.35,7.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.00,09-24-2019,16:00:00,21.6,360,0.00,0.00,34.1,48,25.76,992.71,1010.83,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-24-2019,16:00:00,20.6,000,0.00,0.00,33.3,48,24.30,988.89,1011.29,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,09-24-2019,16:00:00,20.8,000,0.00,0.00,32.0,52,24.57,982.13,1011.59,0.0
