WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,DewPoint,MaximumTemperature,StationPressure,Rainfall,VaporPressure,LandVisibility,AirTemperature,RelativeHumidity,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.16,10-09-2019,19:00:00,5.6,22.1,32.9,977.41,0.00,26.54,12.00,28.0,70,0.00,110
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1009.19,10-09-2019,19:00:00,0.0,15.5,24.3,847.78,0.00,17.56,8.00,19.2,79,0.00,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1008.33,10-09-2019,19:00:00,5.6,20.8,33.6,965.22,0.00,24.62,10.00,29.7,59,0.00,360
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1008.64,10-09-2019,19:00:00,0.0,23.4,33.5,963.32,0.00,28.80,12.00,27.5,78,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1009.73,10-09-2019,19:00:00,0.0,25.6,34.5,972.16,0.00,32.77,7.00,27.0,92,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1009.11,10-09-2019,19:00:00,0.0,24.1,33.0,964.25,0.00,29.98,10.00,27.7,81,0.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1009.70,10-09-2019,19:00:00,0.0,25.3,34.5,983.16,0.00,32.26,8.00,29.0,81,0.00,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1009.87,10-09-2019,19:00:00,0.0,24.1,33.7,988.02,1.40,29.93,10.00,25.8,90,1.40,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.18,10-09-2019,19:00:00,0.0,24.2,35.4,985.12,1.40,30.15,8.00,27.5,82,1.40,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1009.10,10-09-2019,19:00:00,0.0,22.2,34.5,975.00,0.00,26.76,10.00,30.3,62,0.00,000
