WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,RelativeHumidity,Rainfall,WindSpeed,VaporPressure,LandVisibility,Rainfall24Hr,WindDirection,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.5,10-06-2019,16:00:00,1007.01,72,0.00,0.0,31.31,12.00,1.10,000,976.55,24.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,24.5,10-06-2019,16:00:00,1007.26,80,0.00,11.1,24.61,8.00,0.00,200,848.73,20.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.4,10-06-2019,16:00:00,1008.93,65,0.00,13.0,25.17,10.00,0.01,170,965.62,21.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.9,10-06-2019,16:00:00,1009.09,67,0.00,0.0,25.07,15.00,1.00,000,963.81,21.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.8,10-06-2019,16:00:00,1009.85,89,0.01,0.0,27.87,12.00,0.90,000,972.00,22.9
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.5,10-06-2019,16:00:00,1009.33,80,2.50,5.6,27.77,12.00,2.50,230,964.28,22.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.8,10-06-2019,16:00:00,1010.15,80,3.00,3.7,28.31,12.00,3.00,150,983.41,23.1
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.4,10-06-2019,16:00:00,1008.42,78,2.90,0.0,28.35,12.00,3.00,000,986.71,23.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.4,10-06-2019,16:00:00,1007.34,68,0.00,0.0,31.14,10.00,0.00,000,983.63,24.7
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.5,10-06-2019,16:00:00,1009.46,84,15.80,7.4,27.55,7.00,15.80,190,974.81,22.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.5,10-06-2019,16:00:00,1008.32,74,0.00,0.0,28.78,10.00,0.10,000,980.96,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.6,10-06-2019,16:00:00,1009.28,74,0.00,11.1,25.88,12.00,0.00,060,975.70,21.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.2,10-06-2019,16:00:00,1007.66,61,0.00,3.7,26.04,8.00,0.00,090,989.37,21.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.5,10-06-2019,16:00:00,1008.44,65,0.00,9.3,26.89,10.00,0.00,020,985.82,22.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.9,10-06-2019,16:00:00,1008.95,65,0.00,3.7,24.31,12.00,0.00,060,979.16,20.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.5,10-06-2019,16:00:00,1008.22,78,0.00,0.0,30.15,8.00,0.00,000,972.95,24.2
