WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,WindDirection,AirTemperature,VaporPressure,RelativeHumidity,WindSpeed,Rainfall24Hr,LandVisibility,Rainfall,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1006.91,09-01-2019,10:00:00,976.04,000,26.5,28.82,83,0.0,11.50,10.00,0.00,23.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1004.36,09-01-2019,10:00:00,843.52,000,18.8,21.46,99,0.0,40.40,.10,1.20,18.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.00,09-01-2019,10:00:00,963.55,170,26.8,27.26,77,9.3,10.00,12.00,0.00,22.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.17,09-01-2019,10:00:00,961.79,000,26.6,27.69,80,0.0,43.20,15.00,0.00,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.00,09-01-2019,10:00:00,970.34,000,25.8,30.19,91,0.0,28.80,8.00,0.00,24.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1006.99,09-01-2019,10:00:00,962.26,120,28.0,29.19,77,7.4,27.30,10.00,0.00,23.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.24,09-01-2019,10:00:00,981.61,000,27.5,30.70,84,0.0,7.90,12.00,0.00,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.61,09-01-2019,10:00:00,985.85,240,26.5,30.43,88,1.9,5.10,8.00,0.60,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.55,09-01-2019,10:00:00,983.57,000,28.0,27.85,74,0.0,16.30,8.00,0.00,22.9
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.39,09-01-2019,10:00:00,973.02,210,27.3,27.11,75,5.6,5.60,10.00,0.00,22.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.88,09-01-2019,10:00:00,980.39,000,27.0,30.02,84,0.0,25.90,10.00,0.00,24.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.35,09-01-2019,10:00:00,973.86,000,26.8,29.91,85,0.0,116.10,10.00,0.00,24.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.66,09-01-2019,10:00:00,989.05,240,25.0,30.32,96,1.9,56.20,3.00,35.20,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,1008.12,09-01-2019,10:00:00,985.30,070,26.8,28.57,81,7.4,26.40,10.00,0.00,23.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.86,09-01-2019,10:00:00,977.97,000,26.5,28.29,82,0.0,29.80,8.00,0.00,23.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1010.18,09-01-2019,10:00:00,974.51,000,25.7,30.28,92,0.0,27.70,6.00,0.00,24.2
