WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,MeanSeaLevelPressure,Rainfall,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,StationPressure,LandVisibility,VaporPressure,WindSpeed,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,33.9,10-02-2019,19:00:00,1007.76,0.00,74,000,23.4,0.00,977.07,12.00,28.78,0.0,28.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,24.2,10-02-2019,19:00:00,1008.13,0.00,83,000,17.4,0.00,847.42,8.00,19.81,0.0,20.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,33.7,10-02-2019,19:00:00,1007.63,0.20,80,000,24.8,0.40,964.42,10.00,31.38,0.0,28.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,34.5,10-02-2019,19:00:00,1007.22,0.00,78,000,24.2,0.00,962.11,12.00,30.15,0.0,28.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,34.0,10-02-2019,19:00:00,1008.15,0.00,82,000,25.0,0.00,970.80,8.00,31.62,0.0,28.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.5,10-02-2019,19:00:00,1008.27,0.00,77,000,23.6,0.00,963.48,8.00,29.19,0.0,28.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,35.3,10-02-2019,19:00:00,1008.14,0.00,76,000,26.1,0.00,981.80,8.00,33.89,0.0,30.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,36.0,10-02-2019,19:00:00,1007.67,0.00,75,090,25.2,0.00,986.16,13.00,32.01,9.3,30.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,35.3,10-02-2019,19:00:00,1008.34,0.00,75,000,25.0,0.00,984.50,10.00,31.72,0.0,30.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,35.0,10-02-2019,19:00:00,1007.51,0.00,71,000,24.3,12.20,973.42,10.00,30.31,0.0,30.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,36.1,10-02-2019,19:00:00,1007.58,0.00,70,000,24.9,0.00,980.46,10.00,31.47,0.0,31.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,34.7,10-02-2019,19:00:00,1007.51,0.00,67,000,23.1,0.00,974.34,10.00,28.17,0.0,29.9
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,35.5,10-02-2019,19:00:00,1007.34,0.00,82,000,26.5,0.00,989.04,6.00,34.64,0.0,30.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,35.5,10-02-2019,19:00:00,1007.74,0.00,72,000,25.1,0.00,985.23,10.00,31.93,0.0,30.8
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,35.5,10-02-2019,19:00:00,1007.83,0.00,68,000,23.8,0.00,978.32,10.00,29.42,0.0,30.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,34.4,10-02-2019,19:00:00,1008.13,0.00,82,000,25.0,0.80,972.85,7.00,31.62,0.0,28.4
