WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-08-2019,01:00:00,24.2,93,1009.16,0.0,000,30.25,978.11,7.00,25.4,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-08-2019,01:00:00,18.2,95,1006.00,14.8,270,20.87,845.00,7.70,19.0,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-08-2019,01:00:00,23.7,86,1006.60,0.0,000,29.25,963.10,0.00,26.3,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-08-2019,01:00:00,24.3,92,1006.59,0.0,000,30.46,961.12,0.00,25.8,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-08-2019,01:00:00,24.1,93,1007.27,0.0,000,30.07,969.58,0.00,25.3,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-08-2019,01:00:00,23.6,89,1006.29,0.0,000,29.11,961.23,0.00,25.5,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-08-2019,01:00:00,25.0,92,1007.77,0.0,000,31.60,981.06,0.00,26.4,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-08-2019,01:00:00,23.8,97,1008.91,0.0,000,29.49,986.97,1.70,24.4,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-08-2019,01:00:00,23.7,94,1009.96,0.0,000,29.25,985.66,3.80,24.7,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-08-2019,01:00:00,24.5,87,1008.16,0.0,000,30.72,973.70,0.20,26.8,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-08-2019,01:00:00,24.0,94,1008.13,0.0,000,29.79,980.46,2.00,25.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-08-2019,01:00:00,22.2,79,1008.11,0.0,000,26.72,974.52,0.00,26.2,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-08-2019,01:00:00,24.0,92,1008.10,3.7,240,29.91,989.51,0.20,25.5,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-08-2019,01:00:00,24.9,90,1007.29,0.0,000,31.55,984.50,0.10,26.8,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-08-2019,01:00:00,24.6,93,1007.32,0.0,000,31.00,977.37,0.00,25.8,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-08-2019,01:00:00,23.6,97,1007.87,0.0,000,29.13,972.11,5.20,24.2,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-08-2019,01:00:00,23.9,97,1006.42,0.0,000,29.67,976.55,0.00,24.5,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-08-2019,01:00:00,24.3,90,1008.39,0.0,000,30.30,1001.06,0.00,26.0,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-08-2019,01:00:00,24.9,84,1006.36,3.7,220,31.47,986.55,0.00,27.9,11.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-08-2019,01:00:00,24.1,91,1006.84,0.0,000,30.01,978.11,0.00,25.7,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-08-2019,01:00:00,25.5,93,1006.72,0.0,000,32.66,986.56,1.80,26.8,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-08-2019,01:00:00,24.1,84,1006.94,0.0,000,30.02,985.23,0.00,27.0,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-08-2019,01:00:00,24.4,86,1006.57,3.7,240,30.56,987.11,0.00,27.0,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-08-2019,01:00:00,25.1,90,1007.28,0.0,000,31.94,990.54,1.30,27.0,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-08-2019,01:00:00,25.3,92,1007.49,0.0,000,32.18,990.07,0.10,26.7,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-08-2019,01:00:00,25.1,93,1006.29,0.0,000,31.88,980.50,0.20,26.4,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-08-2019,01:00:00,24.1,84,1007.60,9.3,260,29.93,1001.81,0.00,27.1,10.00
