WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,AirTemperature,Rainfall24Hr,StationPressure,RelativeHumidity,LandVisibility,DewPoint,WindDirection
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,11.1,07-08-2019,13:00:00,35.31,1009.72,0.00,31.0,0.20,1006.98,79,8.00,26.8,200
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,11.1,07-08-2019,13:00:00,27.62,1009.18,0.00,33.6,6.00,1008.41,53,10.00,22.7,270
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,07-08-2019,13:00:00,29.47,1009.82,0.00,31.7,0.00,1009.37,63,8.00,23.8,230
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,11.1,07-08-2019,13:00:00,27.18,1009.79,0.00,33.8,0.00,1009.12,52,8.00,22.5,260
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.4,07-08-2019,13:00:00,29.30,1010.31,0.00,32.6,0.00,1008.80,60,8.00,23.7,310
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,11.1,07-08-2019,13:00:00,30.90,1011.25,0.50,31.7,0.50,1010.35,66,10.00,24.6,260
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,07-08-2019,13:00:00,31.68,1010.15,0.00,31.1,0.00,1009.46,70,10.00,25.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.4,07-08-2019,13:00:00,30.24,1010.15,0.00,33.9,3.20,1009.37,57,10.00,24.2,300
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,07-08-2019,13:00:00,28.26,1009.92,0.00,34.2,0.00,1009.29,53,10.00,23.1,240
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,07-08-2019,13:00:00,34.17,1009.68,0.00,34.6,0.00,1009.28,62,10.00,26.3,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,9.3,07-08-2019,13:00:00,28.93,1011.74,0.00,32.7,0.00,1007.59,58,8.00,23.5,250
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,11.1,07-08-2019,13:00:00,24.92,1010.20,0.00,33.2,0.00,1008.62,49,10.00,21.0,290
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.6,07-08-2019,13:00:00,30.87,1010.82,0.00,33.5,0.00,1007.41,60,10.00,24.6,270
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,13.0,07-08-2019,13:00:00,32.84,1009.48,0.00,34.0,0.00,1008.15,62,10.00,25.6,120
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,11.1,07-08-2019,13:00:00,32.18,1011.14,0.00,31.2,1.30,1010.26,71,10.00,25.3,270
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,9.3,07-08-2019,13:00:00,29.09,1010.71,0.00,32.5,0.00,1007.20,59,10.00,23.6,230
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.3,07-08-2019,13:00:00,28.92,1010.73,0.00,33.4,0.01,1010.30,56,10.00,23.5,280
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,07-08-2019,13:00:00,29.99,1010.90,0.00,32.1,0.00,1009.92,63,10.00,24.1,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,18.5,07-08-2019,13:00:00,33.78,1010.67,0.00,31.4,0.00,1009.86,74,10.00,26.1,280
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.4,07-08-2019,13:00:00,30.12,1010.37,0.00,33.7,0.00,1008.60,58,10.00,24.2,250
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,07-08-2019,13:00:00,28.84,1009.62,0.00,34.2,0.00,1008.89,54,11.00,23.4,230
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,11.1,07-08-2019,13:00:00,28.96,1009.95,0.00,33.7,0.00,1006.04,55,10.00,23.5,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-08-2019,13:00:00,30.77,1010.56,6.10,32.2,12.40,1009.89,64,10.00,24.5,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-08-2019,13:00:00,29.71,1009.46,0.00,34.2,0.00,1008.36,55,10.00,23.9,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,14.8,07-08-2019,13:00:00,28.72,1010.32,0.00,34.0,0.00,1007.46,54,11.00,23.4,240
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,14.8,07-08-2019,13:00:00,30.04,1009.12,0.00,34.5,0.00,1008.45,55,9.00,24.1,240
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.4,07-08-2019,13:00:00,28.10,1009.94,0.00,34.4,0.00,1005.91,52,7.00,23.0,260
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,13.0,07-08-2019,13:00:00,28.33,1009.71,0.00,32.4,0.00,1009.13,58,12.00,23.1,070
