WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,WindSpeed
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.0,09-23-2019,16:00:00,999.46,0.00,8.00,23.8,0.00,29.48,1010.81,000,83,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.4,09-23-2019,16:00:00,1010.12,3.90,12.00,23.5,0.00,28.86,1011.13,040,75,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.3,09-23-2019,16:00:00,1009.26,2.40,8.00,22.2,0.00,26.78,1011.07,040,66,7.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.7,09-23-2019,16:00:00,1010.12,17.00,9.00,22.4,0.00,27.01,1010.89,000,69,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.2,09-23-2019,16:00:00,1009.76,10.00,8.00,23.4,1.40,28.83,1010.47,140,90,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.4,09-23-2019,16:00:00,1009.48,11.70,12.00,23.8,0.00,29.41,1010.18,090,72,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.5,09-23-2019,16:00:00,990.11,31.80,8.00,22.3,0.01,26.95,1011.32,060,73,7.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.3,09-23-2019,16:00:00,994.41,23.10,10.00,23.8,0.00,29.49,1011.06,040,72,9.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.6,09-23-2019,16:00:00,995.27,21.50,9.00,25.5,0.00,32.63,1011.63,010,79,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.7,09-23-2019,16:00:00,989.36,30.70,8.00,23.3,0.00,28.63,1011.26,060,77,11.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.0,09-23-2019,16:00:00,967.90,6.70,4.00,22.5,0.01,27.25,1011.76,050,91,11.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.3,09-23-2019,16:00:00,990.48,46.10,10.00,23.5,0.00,28.95,1011.03,050,75,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.2,09-23-2019,16:00:00,992.23,4.00,9.00,24.3,0.00,30.40,1013.08,050,80,16.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.4,09-23-2019,16:00:00,1009.41,24.20,10.00,24.2,0.00,30.23,1009.84,170,83,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.5,09-23-2019,16:00:00,1008.76,6.10,11.00,24.2,1.10,30.15,1010.18,000,82,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.0,09-23-2019,16:00:00,1006.01,5.50,9.00,24.3,0.00,30.31,1010.92,090,71,3.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.2,09-23-2019,16:00:00,1007.78,25.00,5.00,23.7,0.30,29.36,1011.11,140,92,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.5,09-23-2019,16:00:00,1009.90,23.90,5.00,24.5,3.90,30.73,1011.02,000,100,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.0,09-23-2019,16:00:00,1010.01,12.80,7.00,23.6,0.01,29.19,1010.31,180,77,5.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,26.6,09-23-2019,16:00:00,1009.57,14.30,8.00,25.7,9.10,33.10,1010.26,180,95,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.5,09-23-2019,16:00:00,1010.15,20.60,10.00,25.8,11.00,33.19,1010.64,000,96,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.2,09-23-2019,16:00:00,1009.66,20.20,4.00,24.6,1.20,30.96,1011.09,190,97,18.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.1,09-23-2019,16:00:00,1008.57,22.00,10.00,26.2,1.80,34.11,1010.26,140,95,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.5,09-23-2019,16:00:00,1003.91,9.20,10.00,24.0,5.40,29.91,1011.99,230,92,5.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.2,09-23-2019,16:00:00,1009.73,35.40,8.00,25.1,24.20,31.77,1010.02,240,88,9.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.2,09-23-2019,16:00:00,1007.26,20.30,10.00,24.0,0.00,29.85,1010.40,000,83,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.4,09-23-2019,16:00:00,1003.21,23.70,10.00,23.6,0.00,29.17,1010.19,000,85,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.3,09-23-2019,16:00:00,1004.67,84.30,10.00,24.6,0.00,30.94,1010.21,020,68,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.5,09-23-2019,16:00:00,1002.62,25.60,8.00,25.1,0.00,31.80,1011.96,280,87,7.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.0,09-23-2019,16:00:00,1010.13,55.10,3.00,25.0,12.30,31.65,1011.40,360,94,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.5,09-23-2019,16:00:00,1008.95,4.90,11.00,25.4,0.00,32.42,1009.38,160,79,16.7
