WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,WindDirection,VaporPressure,DewPoint
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.00,09-04-2019,13:00:00,1006.61,1.90,1007.02,7.00,5.6,27.0,90,210,32.21,25.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,75.30,09-04-2019,13:00:00,1004.56,7.40,1007.33,8.00,7.4,26.3,98,250,33.35,25.9
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,5.70,09-04-2019,13:00:00,1006.65,0.00,1007.44,10.00,0.0,28.4,70,000,27.26,22.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,166.10,09-04-2019,13:00:00,1005.99,38.00,1006.45,5.00,5.6,26.0,96,100,32.20,25.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.20,09-04-2019,13:00:00,1009.01,4.10,1009.70,7.00,0.0,25.0,94,000,29.79,24.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.40,09-04-2019,13:00:00,1008.32,2.80,1009.85,8.00,3.7,26.8,86,270,30.18,24.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,37.70,09-04-2019,13:00:00,1009.00,12.10,1009.92,8.00,7.4,25.6,91,190,29.82,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-04-2019,13:00:00,1007.85,0.00,1008.53,10.00,5.6,31.3,67,300,30.65,24.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-04-2019,13:00:00,1008.20,0.00,1008.99,10.00,18.5,31.5,66,300,30.49,24.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-04-2019,13:00:00,1007.04,0.00,1007.66,10.00,9.3,32.9,59,230,29.62,23.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-04-2019,13:00:00,1007.32,0.00,1007.72,10.00,7.4,34.0,61,240,32.53,25.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-04-2019,13:00:00,1007.67,0.00,1011.88,5.00,9.3,28.2,81,230,30.95,24.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-04-2019,13:00:00,1007.21,0.00,1008.80,12.00,7.4,30.5,68,250,29.89,24.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-04-2019,13:00:00,1005.41,0.00,1008.84,12.00,0.0,31.2,70,000,31.60,25.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-04-2019,13:00:00,1006.68,0.00,1008.00,10.00,7.4,33.6,55,290,28.47,23.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-04-2019,13:00:00,1008.98,0.00,1009.86,10.00,11.1,29.7,77,240,32.26,25.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-04-2019,13:00:00,1005.40,0.00,1008.92,10.00,9.3,30.5,68,260,29.89,24.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,7.00,09-04-2019,13:00:00,1008.86,0.00,1009.29,10.00,0.0,32.0,65,000,30.94,24.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,2.00,09-04-2019,13:00:00,1008.18,0.00,1009.16,10.00,9.3,31.2,72,260,32.76,25.6
