WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-10-2019,04:00:00,975.10,000,0.00,24.3,96,1006.17,29.05,6.00,35.60,23.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,09-10-2019,04:00:00,842.18,100,0.00,18.8,95,1002.77,20.60,8.00,0.00,18.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-10-2019,04:00:00,961.31,000,0.00,26.1,88,1004.76,29.68,10.00,0.01,23.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-10-2019,04:00:00,959.23,000,0.00,25.7,93,1004.64,30.81,12.00,0.00,24.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-10-2019,04:00:00,968.06,000,0.00,25.0,99,1005.73,31.39,6.00,8.50,24.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,09-10-2019,04:00:00,959.96,130,0.00,25.2,90,1005.01,28.83,7.00,0.00,23.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-10-2019,04:00:00,978.89,000,0.00,25.7,91,1005.61,30.01,7.00,0.00,24.1
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-10-2019,04:00:00,984.03,000,0.00,24.5,91,1005.89,28.11,12.00,0.00,23.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-10-2019,04:00:00,983.18,000,0.00,24.5,91,1007.43,28.11,6.00,2.10,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-10-2019,04:00:00,971.01,000,0.00,25.4,88,1005.54,28.67,10.00,1.80,23.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-10-2019,04:00:00,979.30,000,0.00,25.0,92,1006.95,29.00,10.00,0.00,23.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-10-2019,04:00:00,971.89,000,0.00,26.4,81,1005.36,27.85,10.00,0.00,22.9
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.6,09-10-2019,04:00:00,986.63,270,0.00,25.3,93,1005.18,30.07,10.00,9.70,24.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-10-2019,04:00:00,982.45,000,0.00,26.0,91,1005.26,30.57,10.00,0.30,24.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-10-2019,04:00:00,975.55,000,0.00,25.0,92,1005.52,29.26,7.00,0.00,23.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-10-2019,04:00:00,969.79,000,0.00,25.0,96,1005.37,30.32,7.00,0.00,24.3
