WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,LandVisibility,RelativeHumidity,WindDirection,VaporPressure,DewPoint,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.50,10-04-2019,10:00:00,1006.80,10.00,72,000,29.30,23.7,2.00,0.0,1011.94,29.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-04-2019,10:00:00,1011.58,8.00,70,160,32.01,25.2,0.00,5.6,1011.98,31.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-04-2019,10:00:00,1009.57,8.00,72,000,32.34,25.4,0.00,0.0,1012.32,31.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-04-2019,10:00:00,1011.49,10.00,67,000,30.77,24.5,0.00,0.0,1012.27,31.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-04-2019,10:00:00,1011.13,8.00,75,240,31.72,25.0,0.00,5.6,1011.59,30.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-04-2019,10:00:00,1011.60,8.00,65,360,30.73,24.5,0.00,5.6,1012.28,31.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-04-2019,10:00:00,1010.92,10.00,66,230,29.48,23.8,2.40,3.7,1012.44,31.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-04-2019,10:00:00,1011.74,10.00,64,220,28.26,23.1,0.00,3.7,1012.65,30.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-04-2019,10:00:00,1011.95,12.00,71,150,31.64,25.0,0.00,5.6,1012.63,30.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-04-2019,10:00:00,1012.30,10.00,79,180,31.81,25.1,0.00,3.7,1013.09,29.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-04-2019,10:00:00,1011.72,10.00,57,000,25.37,21.3,0.00,0.0,1012.35,30.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-04-2019,10:00:00,1011.89,15.00,75,000,33.17,25.8,62.20,0.0,1012.30,30.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-04-2019,10:00:00,1010.41,7.00,80,000,30.87,24.6,63.10,0.0,1014.64,28.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-04-2019,10:00:00,1011.45,10.00,71,000,28.37,23.2,18.20,0.0,1013.06,29.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-04-2019,10:00:00,1009.47,12.00,78,000,31.13,24.7,2.00,0.0,1012.94,29.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-04-2019,10:00:00,1011.24,10.00,70,000,28.97,23.5,0.00,0.0,1012.59,29.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-04-2019,10:00:00,1011.53,10.00,75,240,32.75,25.6,22.00,9.3,1012.41,30.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-04-2019,10:00:00,1009.35,10.00,77,000,31.36,24.8,0.00,0.0,1012.90,29.4
