WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,DewPoint,RelativeHumidity,MeanSeaLevelPressure,WindDirection,VaporPressure,MinimumTemperature,StationPressure,WindSpeed,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.4,07-15-2019,07:00:00,8.00,23.4,94,1004.73,000,28.71,21.8,973.73,0.0,0.00,7.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.0,07-15-2019,07:00:00,8.00,17.3,96,1002.58,270,19.78,17.8,841.63,27.8,0.00,1.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.7,07-15-2019,07:00:00,15.00,21.1,72,1003.01,000,25.04,26.1,959.72,0.0,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.5,07-15-2019,07:00:00,15.00,20.9,76,1003.25,000,24.78,24.0,957.88,0.0,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.5,07-15-2019,07:00:00,10.00,24.2,98,1004.56,000,30.20,24.0,966.87,0.0,0.00,8.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.0,07-15-2019,07:00:00,10.00,23.8,88,1003.30,120,29.50,24.8,958.45,7.4,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.5,07-15-2019,07:00:00,10.00,22.8,80,1004.69,180,27.77,25.7,978.06,5.6,0.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.7,07-15-2019,07:00:00,10.00,21.5,78,1004.45,080,25.61,25.3,982.70,1.9,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.7,07-15-2019,07:00:00,6.00,22.9,90,1005.58,000,27.95,22.5,981.39,0.0,0.00,10.90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.9,07-15-2019,07:00:00,12.00,22.8,88,1004.59,000,27.79,24.5,970.04,0.0,0.00,9.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.5,07-15-2019,07:00:00,10.00,22.0,77,1006.26,000,26.47,26.0,978.77,0.0,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.4,07-15-2019,07:00:00,12.00,21.4,74,1003.93,000,25.54,25.9,970.50,0.0,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.0,07-15-2019,07:00:00,12.00,23.1,84,1004.02,180,28.18,26.0,985.54,1.9,0.00,0.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.0,07-15-2019,07:00:00,10.00,23.5,86,1004.35,000,28.97,25.5,981.56,0.0,0.00,1.90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.2,07-15-2019,07:00:00,8.00,24.2,94,1004.58,000,30.15,24.0,974.66,0.0,0.00,30.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.5,07-15-2019,07:00:00,8.00,22.8,80,1004.17,000,27.77,26.5,968.81,0.0,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,07-15-2019,07:00:00,13.00,22.7,82,1003.27,000,27.66,26.0,973.64,0.0,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.2,07-15-2019,07:00:00,10.00,22.5,75,1004.31,000,27.19,27.1,997.03,0.0,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.5,07-15-2019,07:00:00,14.00,24.9,86,1003.99,050,31.52,27.1,984.20,3.7,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,27.4,07-15-2019,07:00:00,13.00,20.4,66,1003.82,080,23.96,26.8,975.33,3.7,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.6,07-15-2019,07:00:00,12.00,23.7,84,1004.42,000,29.27,26.0,984.29,0.0,0.00,0.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,07-15-2019,07:00:00,12.00,24.1,84,1004.27,000,30.02,26.1,982.62,0.0,0.00,1.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.6,07-15-2019,07:00:00,15.00,24.6,84,1003.96,000,30.89,26.7,984.58,0.0,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.3,07-15-2019,07:00:00,10.00,24.0,82,1004.98,100,29.77,26.5,988.29,3.7,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.3,07-15-2019,07:00:00,10.00,24.4,89,1005.17,000,30.59,25.0,987.77,0.0,0.10,0.10
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.5,07-15-2019,07:00:00,12.00,23.3,88,1003.42,000,28.59,25.2,977.62,0.0,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.6,07-15-2019,07:00:00,10.00,23.2,77,1003.91,270,28.45,25.2,998.16,5.6,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.2,07-15-2019,07:00:00,12.00,22.8,77,1004.53,270,27.72,26.8,998.36,7.4,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.2,07-15-2019,07:00:00,10.00,23.3,84,1005.26,000,28.54,25.4,988.81,0.0,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.2,07-15-2019,07:00:00,10.00,23.0,93,1004.48,160,28.10,23.4,982.01,3.7,0.10,8.30
