WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,VaporPressure,DewPoint,LandVisibility,WindSpeed,Rainfall,StationPressure,MeanSeaLevelPressure,RelativeHumidity
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,250,08-17-2019,10:00:00,30.1,0.00,32.21,25.3,8.00,9.3,0.00,994.66,1009.22,76
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-17-2019,10:00:00,31.2,0.00,27.65,22.7,10.00,0.0,0.00,1003.54,1006.52,61
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-17-2019,10:00:00,31.8,0.00,29.96,24.1,10.00,0.0,0.00,999.69,1007.52,64
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,160,08-17-2019,10:00:00,30.0,5.00,30.87,24.6,8.00,11.1,0.00,1007.39,1008.49,73
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-17-2019,10:00:00,29.8,0.20,29.36,23.7,8.00,0.0,0.00,995.12,1009.71,70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,220,08-17-2019,10:00:00,20.1,25.20,23.28,19.9,.05,9.3,0.20,874.79,1009.91,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,08-17-2019,10:00:00,31.5,0.00,32.52,25.4,7.00,0.0,0.00,1002.09,1007.89,70
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,270,08-17-2019,10:00:00,31.5,27.20,31.06,24.7,8.00,3.7,0.00,1007.96,1008.75,67
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,08-17-2019,10:00:00,30.3,0.00,31.48,24.9,10.00,20.4,0.00,1008.24,1008.68,73
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-17-2019,10:00:00,27.7,19.20,33.62,26.0,4.00,0.0,0.70,997.58,1008.88,91
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,190,08-17-2019,10:00:00,32.0,0.00,32.10,25.2,12.00,3.7,0.00,1006.98,1007.98,68
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,180,08-17-2019,10:00:00,30.8,0.00,30.21,24.2,8.00,13.0,0.00,1006.23,1008.03,68
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,230,08-17-2019,10:00:00,30.0,2.00,30.03,24.1,9.00,7.4,0.00,1007.24,1008.00,71
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,210,08-17-2019,10:00:00,30.7,0.01,30.29,24.3,10.00,16.7,0.00,1008.38,1009.07,69
