WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,DewPoint,WindDirection,WindSpeed,RelativeHumidity,Rainfall24Hr,Rainfall,AirTemperature,StationPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,08-25-2019,01:00:00,1007.31,23.4,000,0.0,93,44.00,9.10,24.6,976.24,28.81
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.00,08-25-2019,01:00:00,1005.56,18.3,000,0.0,98,19.50,0.00,18.6,844.43,20.98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-25-2019,01:00:00,1005.70,23.5,000,0.0,90,4.80,0.00,25.3,962.09,29.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,08-25-2019,01:00:00,1005.75,23.1,000,0.0,93,3.20,0.00,24.3,960.09,28.28
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,4.00,08-25-2019,01:00:00,1006.20,23.5,000,0.0,92,12.50,0.00,25.0,961.07,29.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.00,08-25-2019,01:00:00,1007.12,24.1,000,0.0,95,9.80,0.00,25.0,980.30,30.05
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,08-25-2019,01:00:00,1006.73,24.3,000,0.0,96,4.50,0.00,25.0,984.89,30.32
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-25-2019,01:00:00,1007.21,23.7,000,0.0,94,5.00,0.20,24.7,982.98,29.25
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-25-2019,01:00:00,1007.08,23.6,000,0.0,93,8.50,3.40,24.8,972.43,29.16
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-25-2019,01:00:00,1006.79,24.2,000,0.0,94,2.20,0.00,25.2,979.18,30.15
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-25-2019,01:00:00,1006.79,24.1,000,0.0,96,3.70,3.20,24.8,973.10,29.95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.00,08-25-2019,01:00:00,1005.72,24.7,000,0.0,95,13.40,2.20,25.6,987.19,31.17
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-25-2019,01:00:00,1006.26,24.3,000,0.0,96,3.10,3.10,25.0,983.35,30.32
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.00,08-25-2019,01:00:00,1006.70,23.8,000,0.0,96,22.70,12.20,24.5,976.65,29.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.00,08-25-2019,01:00:00,1006.55,22.3,000,0.0,87,0.40,0.00,24.5,970.87,26.84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.00,08-25-2019,01:00:00,1005.46,23.9,000,0.0,97,0.00,0.00,24.3,975.60,29.57
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,08-25-2019,01:00:00,1006.38,24.6,000,0.0,92,0.40,0.00,26.0,999.06,30.84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10.00,08-25-2019,01:00:00,1005.42,25.2,000,0.0,95,79.00,0.00,26.1,985.51,32.12
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,08-25-2019,01:00:00,1005.66,23.6,000,0.0,91,0.00,0.00,25.2,976.91,29.10
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.00,08-25-2019,01:00:00,1005.43,23.4,120,1.9,97,59.30,43.60,24.0,985.10,28.78
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,08-25-2019,01:00:00,1005.52,23.8,000,0.0,93,36.50,0.00,25.0,983.70,29.52
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-25-2019,01:00:00,1005.13,24.9,140,1.9,99,41.20,0.00,25.1,985.57,31.58
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,08-25-2019,01:00:00,1005.88,23.3,000,0.0,96,56.20,3.50,24.0,989.00,28.53
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-25-2019,01:00:00,1006.33,24.2,000,0.0,97,77.10,1.30,24.8,988.82,30.22
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-25-2019,01:00:00,1005.05,24.6,000,0.0,92,8.60,0.00,26.0,979.26,30.84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,08-25-2019,01:00:00,1007.04,26.1,000,0.0,99,3.30,0.80,26.3,1001.24,33.91
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.00,08-25-2019,01:00:00,1006.20,25.7,000,0.0,98,12.10,1.60,26.0,999.99,33.04
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-25-2019,01:00:00,1006.87,24.5,100,5.6,95,32.60,0.30,25.4,990.36,30.79
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-25-2019,01:00:00,1005.99,23.8,000,0.0,96,15.90,1.60,24.5,983.51,29.41
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,08-25-2019,01:00:00,1007.21,23.1,270,5.6,78,0.00,0.00,27.2,992.83,28.24
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-25-2019,01:00:00,1006.64,24.3,000,0.0,96,1.80,0.00,25.0,990.15,30.32
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-25-2019,01:00:00,1006.82,24.6,000,0.0,97,69.30,0.00,25.0,1001.56,30.85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-25-2019,01:00:00,1005.65,24.1,000,0.0,92,15.60,0.00,25.4,992.40,29.99
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-25-2019,01:00:00,1006.40,24.6,000,0.0,97,28.90,0.00,25.2,997.02,30.96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,08-25-2019,01:00:00,1006.21,24.6,000,0.0,96,7.80,0.00,25.3,984.43,30.87
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-25-2019,01:00:00,1005.95,23.8,000,0.0,88,16.50,0.00,26.0,988.41,29.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-25-2019,01:00:00,1004.81,24.3,000,0.0,96,139.80,0.00,25.0,988.91,30.32
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-25-2019,01:00:00,1004.53,24.6,000,0.0,90,8.60,0.00,26.3,985.65,30.86
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,08-25-2019,01:00:00,1009.19,21.8,000,0.0,93,10.30,0.50,23.0,957.41,26.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.00,08-25-2019,01:00:00,1006.86,23.9,120,5.6,97,18.10,2.00,24.5,1002.87,29.67
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.30,08-25-2019,01:00:00,1007.75,20.4,230,5.6,98,4.80,1.90,20.7,912.35,23.93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.00,08-25-2019,01:00:00,1005.58,24.6,000,0.0,97,35.30,3.90,25.0,989.51,30.85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,6.00,08-25-2019,01:00:00,1006.41,25.4,000,0.0,97,4.00,3.80,25.8,1002.36,32.37
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.00,08-25-2019,01:00:00,1007.62,25.0,000,0.0,96,16.60,10.50,25.7,996.89,31.63
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.00,08-25-2019,01:00:00,1007.01,25.4,000,0.0,93,3.00,1.70,26.5,1005.08,32.35
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-25-2019,01:00:00,1006.58,23.6,240,9.3,93,3.10,0.90,24.8,985.58,29.16
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,8.00,08-25-2019,01:00:00,1005.46,24.1,000,0.0,97,13.30,1.00,24.5,987.68,29.93
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.00,08-25-2019,01:00:00,1005.07,24.4,000,0.0,99,18.80,5.20,24.6,988.81,30.65
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,8.00,08-25-2019,01:00:00,1006.07,25.0,000,0.0,93,14.40,0.40,26.3,992.01,31.68
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,08-25-2019,01:00:00,1006.32,24.7,150,5.6,97,19.70,0.30,25.3,991.41,31.14
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,08-25-2019,01:00:00,1007.08,24.1,000,0.0,97,17.20,10.60,24.5,992.29,29.93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,7.00,08-25-2019,01:00:00,1006.44,25.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,97,3.10,1.50,26.3,1003.41,33.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,08-25-2019,01:00:00,1007.07,24.1,000,0.0,97,169.40,48.40,24.7,999.06,30.03
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,08-25-2019,01:00:00,1007.62,25.8,210,7.4,92,0.60,0.60,27.2,1006.51,33.17
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-25-2019,01:00:00,1006.96,23.5,000,0.0,92,58.60,11.20,25.0,992.18,29.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-25-2019,01:00:00,1007.94,19.4,280,5.6,99,20.20,19.20,19.6,872.87,22.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,08-25-2019,01:00:00,1007.30,24.9,000,0.0,96,24.80,19.60,25.6,1001.39,31.44
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-25-2019,01:00:00,1007.60,24.8,240,7.4,82,0.00,0.00,28.2,1006.80,31.23
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-25-2019,01:00:00,1007.03,23.5,230,7.4,73,0.40,0.00,28.9,1006.59,29.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,08-25-2019,01:00:00,1008.27,23.8,000,0.0,96,7.90,0.50,24.5,996.86,29.41
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-25-2019,01:00:00,1007.37,24.9,190,3.7,87,0.00,0.00,27.3,1006.36,31.41
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.00,08-25-2019,01:00:00,1007.37,25.4,000,0.0,93,1.90,1.50,26.7,1005.55,32.46
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,5.00,08-25-2019,01:00:00,1006.55,23.8,000,0.0,91,4.60,0.10,25.4,1005.78,29.46
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-25-2019,01:00:00,1007.16,22.5,260,11.1,75,0.10,0.00,27.4,1006.46,27.29
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-25-2019,01:00:00,1007.05,25.0,000,0.0,90,11.40,0.00,26.7,1006.35,31.63
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,8.00,08-25-2019,01:00:00,1006.65,24.2,300,3.7,86,0.30,0.10,26.8,985.50,30.18
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.00,08-25-2019,01:00:00,1006.81,24.9,000,0.0,98,23.90,22.10,25.2,990.00,31.49
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.00,08-25-2019,01:00:00,1007.51,23.8,180,3.7,93,11.70,9.50,25.0,990.97,29.52
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-25-2019,01:00:00,1006.37,22.6,000,0.0,77,0.00,0.00,26.9,984.53,27.44
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-25-2019,01:00:00,1008.11,23.6,210,11.1,93,0.40,0.40,24.8,964.52,29.16
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,8.00,08-25-2019,01:00:00,1006.39,23.5,240,5.6,83,11.60,0.00,26.6,985.82,29.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,08-25-2019,01:00:00,1007.62,24.8,190,13.0,100,4.20,0.40,24.8,986.64,31.28
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-25-2019,01:00:00,1008.05,23.6,230,7.4,77,0.00,0.00,28.0,1007.62,29.19
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,08-25-2019,01:00:00,1007.19,24.8,000,0.0,96,12.90,0.50,25.5,1005.77,31.25
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-25-2019,01:00:00,1007.57,24.9,000,0.0,99,41.20,0.20,25.1,1002.61,31.58
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-25-2019,01:00:00,1007.42,23.3,000,0.0,80,0.01,0.00,27.0,1004.13,28.67
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-25-2019,01:00:00,1007.48,24.0,000,0.0,86,0.01,0.00,26.5,1006.37,29.89
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,08-25-2019,01:00:00,1007.52,23.6,280,5.6,77,1.10,0.01,28.0,1007.22,29.19
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-25-2019,01:00:00,1007.63,24.3,260,11.1,82,3.60,0.00,27.6,1006.22,30.34
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-25-2019,01:00:00,1009.03,24.9,000,0.0,95,6.30,0.00,25.8,1000.98,31.55
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-25-2019,01:00:00,1007.43,25.0,000,0.0,82,6.50,0.00,28.3,1007.15,31.70
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-25-2019,01:00:00,1007.37,24.2,000,0.0,78,0.00,0.00,28.4,1004.25,30.23
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-25-2019,01:00:00,1008.00,23.8,210,18.5,79,0.20,0.10,27.7,1001.07,29.44
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,08-25-2019,01:00:00,1007.59,24.9,000,0.0,97,8.50,1.50,25.3,1001.96,31.41
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,08-25-2019,01:00:00,1008.27,24.3,000,0.0,90,0.01,0.00,26.0,1007.00,30.30
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-25-2019,01:00:00,1007.78,22.3,210,5.6,73,0.01,0.00,27.5,1007.35,26.95
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,08-25-2019,01:00:00,1008.31,23.0,000,0.0,91,0.30,0.00,24.5,995.94,28.11
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-25-2019,01:00:00,1008.09,22.8,200,7.4,80,0.00,0.00,26.6,1007.37,27.69
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,08-25-2019,01:00:00,1008.41,23.6,200,5.6,84,3.50,3.20,26.5,1005.97,29.08
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,08-25-2019,01:00:00,1008.17,24.9,310,18.5,84,0.60,0.30,27.8,1007.66,31.56
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,7.00,08-25-2019,01:00:00,1008.14,24.2,000,0.0,91,1.40,1.20,25.8,1002.96,30.19
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.00,08-25-2019,01:00:00,1008.05,25.0,240,9.3,96,27.60,24.70,25.7,1007.63,31.63
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-25-2019,01:00:00,1008.13,24.8,000,0.0,97,5.50,1.40,25.4,1005.34,31.33
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-25-2019,01:00:00,1008.78,21.6,000,0.0,78,0.30,0.00,25.8,1007.99,25.78
48501,TRAD,ตราด,ตราด,11.76667,102.88333,4.00,08-25-2019,01:00:00,1008.30,25.9,260,9.3,92,64.40,1.80,27.3,1007.84,33.38
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-25-2019,01:00:00,1009.44,23.3,000,0.0,88,0.10,0.00,25.5,1008.75,28.59
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-25-2019,01:00:00,1009.40,22.8,280,9.3,87,1.20,0.20,25.2,1007.86,27.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-25-2019,01:00:00,1010.61,22.9,190,7.4,90,39.90,0.30,24.7,1009.68,27.95
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-25-2019,01:00:00,1009.57,23.6,270,5.6,74,0.20,0.00,28.7,1008.88,29.16
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,08-25-2019,01:00:00,1010.76,24.0,260,3.7,92,0.01,0.00,25.5,1009.96,29.91
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-25-2019,01:00:00,1009.16,23.2,000,0.0,84,0.40,0.00,26.1,1008.53,28.36
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-25-2019,01:00:00,1009.69,24.6,000,0.0,93,0.90,0.00,25.8,1009.28,31.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-25-2019,01:00:00,1011.59,22.5,000,0.0,75,0.20,0.00,27.2,1007.37,27.19
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,6.00,08-25-2019,01:00:00,1010.80,24.3,000,0.0,98,0.90,0.00,24.6,1009.18,30.38
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,08-25-2019,01:00:00,1010.55,23.2,000,0.0,90,1.20,0.00,25.0,1007.04,28.48
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,08-25-2019,01:00:00,1010.31,24.2,000,0.0,93,0.20,0.00,25.4,1008.94,30.25
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,8.00,08-25-2019,01:00:00,1011.52,22.9,240,18.5,95,13.60,5.20,23.8,1010.62,27.92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-25-2019,01:00:00,1010.23,23.4,000,0.0,96,5.80,0.00,24.1,1006.63,28.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.00,08-25-2019,01:00:00,1010.49,24.9,280,14.8,87,5.40,2.20,27.2,1010.05,31.49
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.00,08-25-2019,01:00:00,1009.57,24.4,260,7.4,76,10.20,0.00,29.0,1008.58,30.57
