WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,RelativeHumidity,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,MaximumTemperature
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.14,07-24-2019,19:00:00,0.0,53,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.01,1006.11,20.9,0.00,31.6,24.63,10.00,36.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.17,07-24-2019,19:00:00,0.0,84,000,0.20,1006.07,25.4,0.00,28.4,32.47,10.00,33.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.01,07-24-2019,19:00:00,5.6,92,100,14.60,1007.12,24.6,14.60,26.0,30.84,7.00,34.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.51,07-24-2019,19:00:00,5.6,83,100,0.00,1007.01,27.6,0.00,30.9,36.92,9.00,32.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.43,07-24-2019,19:00:00,11.1,99,270,13.40,1009.47,17.6,13.20,17.8,20.15,1.00,23.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.37,07-24-2019,19:00:00,3.7,91,190,7.40,1007.26,25.3,0.00,26.9,32.30,10.00,34.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.95,07-24-2019,19:00:00,1.9,91,200,0.40,1007.74,27.6,0.40,29.3,37.02,4.00,35.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.96,07-24-2019,19:00:00,0.0,88,000,3.30,1007.40,24.9,2.20,27.1,31.58,10.00,32.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.90,07-24-2019,19:00:00,0.0,92,000,18.00,1008.28,24.1,0.50,25.4,29.99,5.00,30.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.72,07-24-2019,19:00:00,0.0,66,000,1.60,1007.72,22.8,0.00,30.0,27.82,10.00,35.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.82,07-24-2019,19:00:00,3.7,81,120,0.20,1007.64,24.1,0.20,27.6,30.07,8.00,34.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.59,07-24-2019,19:00:00,0.0,68,000,2.50,1007.35,22.9,0.00,29.5,27.96,6.00,33.2
