WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,DewPoint,WindSpeed,Rainfall24Hr,WindDirection,MaximumTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.70,08-17-2019,19:00:00,10.00,93,24.6,0.0,12.00,000,31.2,30.92,974.73,1005.61,25.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-17-2019,19:00:00,8.00,90,20.1,0.0,0.00,000,25.3,23.49,842.55,1001.47,21.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-17-2019,19:00:00,15.00,80,24.6,9.3,2.10,180,32.5,30.87,960.32,1003.40,28.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-17-2019,19:00:00,15.00,78,23.7,3.7,4.20,240,32.0,29.28,958.37,1003.39,27.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.01,08-17-2019,19:00:00,7.00,92,24.6,0.0,95.30,000,27.4,30.84,967.81,1005.34,26.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-17-2019,19:00:00,12.00,77,23.1,0.0,0.30,000,30.2,28.26,959.49,1004.17,27.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-17-2019,19:00:00,10.00,84,24.5,0.0,57.80,000,29.0,30.78,978.84,1005.41,27.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.20,08-17-2019,19:00:00,12.00,85,25.1,0.0,1.50,000,31.2,31.95,983.66,1005.26,28.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-17-2019,19:00:00,8.00,92,25.1,0.0,7.50,000,30.5,31.79,982.92,1007.00,26.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,08-17-2019,19:00:00,10.00,85,24.0,0.0,11.80,000,28.5,29.91,971.15,1005.52,26.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.80,08-17-2019,19:00:00,10.00,94,25.8,0.0,30.80,000,28.2,33.22,978.31,1005.76,26.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.10,08-17-2019,19:00:00,10.00,91,25.6,0.0,10.90,000,29.5,32.89,971.80,1005.19,27.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-17-2019,19:00:00,8.00,95,25.2,0.0,19.20,000,27.7,32.12,986.90,1005.40,26.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-17-2019,19:00:00,10.00,86,24.4,0.0,22.30,000,30.0,30.56,982.51,1005.24,27.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-17-2019,19:00:00,12.00,90,24.7,0.0,34.90,000,29.0,31.05,975.32,1005.14,26.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,2.20,08-17-2019,19:00:00,5.00,96,25.3,0.0,26.60,000,27.0,32.20,970.11,1005.58,26.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.40,08-17-2019,19:00:00,8.00,86,24.2,0.0,16.10,000,33.5,30.26,975.37,1004.98,26.7
