WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MinimumTemperature,LandVisibility,WindDirection,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall24Hr,AirTemperature,StationPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-13-2019,07:00:00,23.4,8.00,000,94,1000.47,29.97,24.1,0.00,25.1,969.67,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.4,08-13-2019,07:00:00,17.6,8.00,270,99,1005.60,20.02,17.5,42.80,17.7,844.02,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-13-2019,07:00:00,23.6,10.00,000,92,1006.81,28.37,23.2,44.60,24.5,963.04,0.30
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-13-2019,07:00:00,22.6,10.00,000,95,1006.87,27.92,22.9,20.40,23.8,961.09,0.01
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-13-2019,07:00:00,24.0,6.00,000,100,1007.79,30.54,24.4,46.50,24.4,969.96,4.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-13-2019,07:00:00,24.2,10.00,000,96,1006.63,29.41,23.8,3.70,24.5,961.41,0.60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-13-2019,07:00:00,24.7,6.00,000,95,1007.57,30.23,24.2,9.90,25.1,980.75,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-13-2019,07:00:00,24.7,8.00,000,97,1007.70,30.30,24.3,2.60,24.7,985.81,0.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-13-2019,07:00:00,23.5,6.00,000,91,1008.04,28.11,23.0,5.80,24.5,983.77,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-13-2019,07:00:00,24.0,7.00,000,92,1008.23,28.20,23.1,4.40,24.4,973.50,4.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-13-2019,07:00:00,24.4,10.00,000,92,1008.82,29.00,23.5,0.00,25.0,981.13,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-13-2019,07:00:00,24.5,10.00,000,96,1007.39,29.41,23.8,16.40,24.5,973.64,0.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-13-2019,07:00:00,24.9,7.00,000,95,1007.61,30.42,24.3,6.30,25.2,989.02,1.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-13-2019,07:00:00,25.0,10.00,000,94,1007.44,30.71,24.5,7.10,25.5,984.54,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-13-2019,07:00:00,24.5,7.00,000,93,1007.53,29.52,23.8,10.90,25.0,977.51,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-13-2019,07:00:00,24.2,6.00,000,97,1007.65,29.49,23.8,5.60,24.4,971.92,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-13-2019,07:00:00,24.5,4.00,000,98,1006.99,30.75,24.5,12.60,24.8,977.13,1.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-13-2019,07:00:00,25.6,8.00,000,94,1007.48,31.65,25.0,11.00,26.0,1000.15,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-13-2019,07:00:00,24.8,10.00,240,98,1006.87,31.87,25.1,38.40,25.4,986.89,0.40
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-13-2019,07:00:00,25.0,5.00,000,95,1007.29,30.42,24.3,5.10,25.2,978.50,0.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.9,08-13-2019,07:00:00,25.6,10.00,240,93,1007.09,31.19,24.7,8.10,25.9,986.86,1.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-13-2019,07:00:00,24.9,8.00,000,96,1007.70,31.06,24.7,10.80,25.4,985.87,1.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,08-13-2019,07:00:00,24.6,8.00,000,96,1007.15,31.06,24.7,6.70,25.4,987.57,2.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-13-2019,07:00:00,24.0,9.00,000,95,1008.08,29.33,23.7,15.80,24.6,991.19,1.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-13-2019,07:00:00,23.8,7.00,000,96,1008.52,28.88,23.5,11.20,24.2,990.93,5.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-13-2019,07:00:00,25.0,10.00,000,97,1006.24,31.41,24.9,7.60,25.3,980.35,0.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-13-2019,07:00:00,23.9,8.00,000,100,1007.18,33.60,26.0,6.30,26.0,1001.37,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-13-2019,07:00:00,25.4,7.00,000,99,1007.79,32.53,25.4,9.10,25.6,1001.57,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-13-2019,07:00:00,24.2,10.00,000,96,1008.73,30.32,24.3,3.40,25.0,992.16,3.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-13-2019,07:00:00,23.8,10.00,000,91,1006.17,28.11,23.0,12.70,24.5,983.69,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,08-13-2019,07:00:00,24.8,6.00,000,96,1008.17,31.25,24.8,1.70,25.5,993.70,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-13-2019,07:00:00,24.0,6.00,000,96,1007.79,29.41,23.8,3.40,24.5,991.26,0.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-13-2019,07:00:00,24.0,10.00,000,97,1008.12,30.58,24.4,9.30,25.0,1002.85,6.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-13-2019,07:00:00,24.5,8.00,000,94,1006.92,30.34,24.3,11.20,25.3,993.65,5.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-13-2019,07:00:00,25.4,10.00,000,97,1007.75,32.56,25.5,4.20,25.9,998.38,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,08-13-2019,07:00:00,26.5,6.00,260,95,1007.52,33.10,25.7,0.20,26.6,985.80,0.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-13-2019,07:00:00,26.3,10.00,000,92,1007.97,32.77,25.6,0.10,27.0,990.45,0.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-13-2019,07:00:00,26.1,10.00,000,88,1007.16,30.43,24.3,1.60,26.5,991.30,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-13-2019,07:00:00,26.3,8.00,000,90,1006.62,31.55,24.9,0.10,26.8,987.74,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-13-2019,07:00:00,22.7,6.00,000,98,1012.13,27.57,22.7,11.60,23.0,960.19,1.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,9.3,08-13-2019,07:00:00,25.0,3.00,100,96,1007.55,32.20,25.3,3.10,26.0,1003.57,0.80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,08-13-2019,07:00:00,20.5,5.00,000,95,1008.04,24.44,20.7,6.50,21.5,912.85,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-13-2019,07:00:00,25.8,6.00,000,96,1006.69,33.19,25.8,1.70,26.5,990.68,0.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,08-13-2019,07:00:00,25.7,5.00,000,98,1007.33,33.35,25.9,5.60,26.3,1003.29,0.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-13-2019,07:00:00,25.0,9.00,000,95,1009.35,32.12,25.2,1.20,26.1,998.62,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,08-13-2019,07:00:00,25.0,9.00,000,96,1008.68,32.20,25.3,5.50,26.0,1006.74,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,08-13-2019,07:00:00,24.8,10.00,000,92,1007.99,30.84,24.6,1.60,26.0,987.04,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,08-13-2019,07:00:00,25.5,10.00,000,92,1007.99,30.84,24.6,0.01,26.0,990.26,0.01
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,08-13-2019,07:00:00,26.1,8.00,200,96,1007.32,32.40,25.4,4.40,26.1,991.11,0.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,08-13-2019,07:00:00,26.2,10.00,200,86,1008.16,30.45,24.3,0.00,26.8,994.10,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-13-2019,07:00:00,25.2,9.00,000,92,1008.73,30.84,24.6,0.00,26.0,993.83,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,08-13-2019,07:00:00,25.8,7.00,220,93,1001.64,31.88,25.1,0.00,26.4,987.02,0.00
