WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,MaximumTemperature,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-05-2019,19:00:00,1006.21,1007.31,31.5,28.0,25.1,85,31.95,7.00,000,0.0,0.00,2.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-05-2019,19:00:00,1006.58,1006.89,28.7,26.0,24.1,89,30.03,8.00,000,0.0,0.10,8.50
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-05-2019,19:00:00,1005.97,1006.66,27.4,26.0,25.1,95,31.93,9.00,000,0.0,0.01,9.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-05-2019,19:00:00,1006.04,1006.53,28.2,26.0,24.3,90,30.30,8.00,000,0.0,0.01,12.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-05-2019,19:00:00,1005.69,1007.10,28.4,26.0,24.3,90,30.30,10.00,000,0.0,0.00,26.40
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-05-2019,19:00:00,1005.79,1007.47,28.5,27.0,24.1,84,30.02,8.00,210,14.8,0.00,36.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-05-2019,19:00:00,1001.58,1009.65,28.5,25.5,24.5,94,30.71,10.00,000,0.0,0.01,8.30
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-05-2019,19:00:00,1006.60,1006.88,29.2,26.0,25.3,96,32.20,8.00,000,0.0,0.00,22.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-05-2019,19:00:00,1004.02,1007.18,29.0,25.3,24.1,93,30.07,9.00,000,0.0,0.60,43.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-05-2019,19:00:00,1000.47,1007.44,28.5,26.0,24.6,92,30.84,10.00,000,0.0,0.00,13.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-05-2019,19:00:00,1001.70,1007.30,31.8,26.8,23.1,80,28.31,7.00,000,0.0,0.00,7.40
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-05-2019,19:00:00,997.74,1007.10,29.0,25.5,24.0,92,29.91,10.00,000,0.0,0.00,36.10
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-05-2019,19:00:00,1005.57,1006.83,28.8,27.0,24.8,88,31.38,10.00,140,7.4,0.01,2.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-05-2019,19:00:00,1006.22,1006.66,27.7,26.4,24.4,89,30.51,11.00,000,0.0,0.60,17.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-05-2019,19:00:00,995.16,1007.44,29.2,26.5,25.4,93,32.35,8.00,000,0.0,0.40,5.30
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-05-2019,19:00:00,1006.58,1007.29,29.1,27.9,24.7,83,31.20,10.00,200,3.7,0.00,2.40
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-05-2019,19:00:00,1005.18,1007.63,31.6,26.2,23.7,86,29.33,8.00,000,0.0,0.01,0.70
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-05-2019,19:00:00,1006.95,1007.47,31.0,27.3,23.7,81,29.23,10.00,000,0.0,0.00,9.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-05-2019,19:00:00,1002.32,1007.49,30.3,26.1,24.4,90,30.48,11.00,070,3.7,0.00,0.50
