WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,VaporPressure,WindDirection,WindSpeed,LandVisibility,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,DewPoint
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,82,10-17-2019,01:00:00,0.00,26.0,27.66,000,0.0,10.00,998.76,1012.06,1.40,22.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,94,10-17-2019,01:00:00,0.20,24.4,28.71,000,0.0,11.00,1003.93,1013.40,4.10,23.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,84,10-17-2019,01:00:00,0.00,25.1,26.86,010,9.3,9.00,991.97,1013.94,0.60,22.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,92,10-17-2019,01:00:00,0.00,25.0,29.00,000,0.0,10.00,996.39,1014.13,3.00,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,83,10-17-2019,01:00:00,0.00,25.0,26.43,000,0.0,10.00,995.50,1011.51,0.00,22.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,91,10-17-2019,01:00:00,0.00,24.0,27.25,000,0.0,7.00,993.48,1012.66,2.10,22.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,92,10-17-2019,01:00:00,0.00,22.2,24.57,000,0.0,{'@attributes': {'Unit': 'km'}},961.15,1013.28,0.00,20.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,89,10-17-2019,01:00:00,0.00,26.4,30.78,320,5.6,8.00,1008.53,1012.52,0.40,24.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,94,10-17-2019,01:00:00,13.50,20.3,22.44,050,7.4,4.00,918.48,1014.66,14.30,19.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,88,10-17-2019,01:00:00,0.00,24.8,27.61,000,0.0,8.00,997.19,1013.39,0.01,22.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,87,10-17-2019,01:00:00,0.00,26.2,29.60,000,0.0,9.00,1008.86,1012.93,0.00,23.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,85,10-17-2019,01:00:00,0.00,25.5,27.81,030,3.7,7.00,1002.51,1013.30,0.00,22.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,84,10-17-2019,01:00:00,0.00,26.5,29.08,300,7.4,7.00,1010.69,1012.63,2.10,23.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,81,10-17-2019,01:00:00,0.00,25.9,26.97,000,0.0,10.00,991.72,1012.77,0.00,22.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,87,10-17-2019,01:00:00,0.00,24.7,26.93,040,5.6,10.00,995.20,1013.11,0.00,22.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,84,10-17-2019,01:00:00,0.00,25.5,27.29,050,7.4,10.00,996.59,1012.93,0.00,22.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,80,10-17-2019,01:00:00,0.00,25.8,26.54,020,3.7,10.00,998.01,1012.17,0.00,22.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,86,10-17-2019,01:00:00,0.00,24.7,26.68,000,0.0,7.00,997.33,1012.35,0.00,22.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,85,10-17-2019,01:00:00,0.00,26.1,28.62,030,11.1,10.00,997.56,1012.35,0.00,23.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,85,10-17-2019,01:00:00,0.00,26.8,29.91,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,1009.58,1012.62,0.00,24.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,85,10-17-2019,01:00:00,0.00,26.2,28.80,000,0.0,7.00,1004.00,1012.01,0.00,23.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,92,10-17-2019,01:00:00,0.00,26.0,30.84,000,0.0,7.00,1011.30,1012.42,0.00,24.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,92,10-17-2019,01:00:00,0.00,26.2,31.22,000,0.0,8.00,997.50,1012.30,0.20,24.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,10-17-2019,01:00:00,0.00,19.9,22.99,060,7.4,.05,877.40,1013.03,0.00,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,88,10-17-2019,01:00:00,0.00,25.5,28.59,000,0.0,10.00,1006.72,1012.66,0.00,23.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,80,10-17-2019,01:00:00,0.00,28.2,30.40,010,5.6,10.00,1010.69,1011.49,0.00,24.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,79,10-17-2019,01:00:00,0.00,28.3,30.31,000,0.0,6.00,1010.47,1010.91,0.00,24.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,91,10-17-2019,01:00:00,0.00,24.5,28.11,000,0.0,4.00,1001.51,1012.98,0.00,23.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,84,10-17-2019,01:00:00,0.00,27.5,30.97,000,0.0,6.00,1011.03,1012.04,0.00,24.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,74,10-17-2019,01:00:00,0.00,27.9,27.67,000,0.0,7.00,1010.21,1012.03,0.00,22.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,78,10-17-2019,01:00:00,0.00,27.4,28.61,000,0.0,4.00,1011.13,1011.90,0.00,23.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,82,10-17-2019,01:00:00,0.00,28.0,30.84,360,7.4,10.00,1010.67,1011.37,0.00,24.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,73,10-17-2019,01:00:00,0.00,28.8,28.81,000,0.0,7.00,1009.15,1009.85,0.00,23.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,79,10-17-2019,01:00:00,0.00,26.8,27.78,070,3.7,10.00,991.45,1012.73,0.00,22.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,83,10-17-2019,01:00:00,0.00,25.6,27.21,000,0.0,7.00,995.57,1012.45,0.00,22.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,86,10-17-2019,01:00:00,0.00,25.5,28.07,000,0.0,7.00,996.21,1012.82,0.00,23.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,84,10-17-2019,01:00:00,0.00,26.5,29.08,000,0.0,10.00,990.35,1012.36,0.00,23.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,87,10-17-2019,01:00:00,0.00,24.4,26.42,110,11.1,8.00,968.71,1012.55,0.00,22.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,86,10-17-2019,01:00:00,0.00,26.0,28.97,350,5.6,7.00,991.36,1012.09,0.00,23.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,98,10-17-2019,01:00:00,0.00,24.5,30.20,020,9.3,8.00,993.13,1014.27,0.00,24.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,89,10-17-2019,01:00:00,0.00,26.3,30.59,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,1011.20,1011.63,0.10,24.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,87,10-17-2019,01:00:00,0.00,26.2,29.60,000,0.0,6.00,1009.71,1011.13,0.00,23.9
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,95,10-17-2019,01:00:00,0.00,25.7,31.36,000,0.0,7.00,1005.88,1010.85,0.00,24.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,89,10-17-2019,01:00:00,0.00,26.5,30.97,000,0.0,10.00,1008.80,1012.11,0.00,24.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,96,10-17-2019,01:00:00,0.00,25.9,32.01,000,0.0,10.00,1010.65,1011.76,0.00,25.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,80,10-17-2019,01:00:00,0.00,29.1,32.18,000,0.0,10.00,1011.20,1011.49,0.00,25.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,75,10-17-2019,01:00:00,0.00,28.8,29.63,000,0.0,10.00,1010.63,1011.12,0.00,23.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,81,10-17-2019,01:00:00,0.00,28.1,30.75,020,9.3,10.00,1010.02,1011.43,0.00,24.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,96,10-17-2019,01:00:00,0.00,25.0,30.32,000,0.0,10.00,1004.78,1012.88,0.00,24.3
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,87,10-17-2019,01:00:00,0.00,28.2,33.20,000,0.0,10.00,1010.54,1010.82,0.00,25.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,83,10-17-2019,01:00:00,0.00,27.7,30.81,250,5.6,10.00,1007.04,1010.18,0.00,24.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,88,10-17-2019,01:00:00,0.00,26.5,30.43,000,0.0,8.00,1006.12,1011.76,4.50,24.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,91,10-17-2019,01:00:00,0.00,25.6,29.82,320,3.7,8.00,1011.02,1012.29,1.20,24.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,84,10-17-2019,01:00:00,0.00,27.5,30.97,330,11.1,11.00,1010.51,1010.95,0.00,24.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,10-17-2019,01:00:00,0.00,25.3,29.54,000,0.0,6.00,999.32,1011.70,0.10,23.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,85,10-17-2019,01:00:00,0.00,28.0,31.95,000,0.0,8.00,1010.41,1011.13,0.00,25.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,91,10-17-2019,01:00:00,0.00,25.7,30.01,360,3.7,10.00,1008.52,1010.97,1.00,24.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,90,10-17-2019,01:00:00,0.00,26.7,31.63,000,0.0,10.00,1010.17,1010.69,0.01,25.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,89,10-17-2019,01:00:00,0.00,26.4,30.51,000,0.0,6.00,1005.38,1010.56,0.40,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,79,10-17-2019,01:00:00,0.00,27.7,29.44,000,0.0,7.00,1009.57,1009.98,0.00,23.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,92,10-17-2019,01:00:00,0.00,25.5,29.91,000,0.0,10.00,1007.55,1010.34,0.00,24.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,89,10-17-2019,01:00:00,0.00,25.8,29.66,340,5.6,10.00,1011.31,1012.10,26.40,23.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,92,10-17-2019,01:00:00,0.00,26.0,30.84,070,7.4,7.00,1009.18,1009.64,5.80,24.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,96,10-17-2019,01:00:00,0.00,25.7,31.63,320,3.7,8.00,1009.75,1010.44,17.90,25.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,93,10-17-2019,01:00:00,0.00,25.8,31.00,000,0.0,7.00,1009.11,1010.65,0.80,24.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,93,10-17-2019,01:00:00,0.00,25.0,29.52,000,0.0,10.00,1010.09,1011.01,0.00,23.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,92,10-17-2019,01:00:00,0.00,26.8,32.38,000,0.0,10.00,1010.18,1010.87,0.01,25.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,97,10-17-2019,01:00:00,0.00,24.0,29.04,000,0.0,8.00,1010.37,1011.18,8.30,23.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,97,10-17-2019,01:00:00,5.80,24.9,30.40,000,0.0,10.00,1009.56,1010.20,16.20,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,96,10-17-2019,01:00:00,0.00,25.6,31.44,000,0.0,10.00,1009.95,1010.36,3.30,24.9
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,98,10-17-2019,01:00:00,0.00,24.1,29.48,000,0.0,5.00,1008.01,1012.28,12.20,23.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,10-17-2019,01:00:00,0.00,24.7,30.56,000,0.0,10.00,1009.18,1010.80,0.00,24.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,10-17-2019,01:00:00,0.00,24.6,29.85,000,0.0,7.00,1006.88,1010.39,0.00,24.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,92,10-17-2019,01:00:00,0.00,25.5,29.91,000,0.0,8.00,1008.73,1010.09,29.10,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,98,10-17-2019,01:00:00,0.00,24.2,29.66,000,0.0,12.00,1009.77,1010.66,10.20,23.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,96,10-17-2019,01:00:00,0.00,23.9,28.35,000,0.0,10.00,1006.42,1010.03,2.00,23.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,88,10-17-2019,01:00:00,0.00,26.7,30.81,000,0.0,10.00,1009.78,1010.22,0.40,24.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,92,10-17-2019,01:00:00,0.00,25.0,29.00,000,0.0,10.00,1008.31,1009.31,0.00,23.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,83,10-17-2019,01:00:00,0.00,26.1,28.10,000,0.0,10.00,1009.32,1010.14,0.00,23.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,92,10-17-2019,01:00:00,0.00,26.0,30.84,340,5.6,10.00,1008.02,1009.85,0.00,24.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,81,10-17-2019,01:00:00,0.00,28.4,31.34,060,3.7,10.00,1009.07,1009.82,0.70,24.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,98,10-17-2019,01:00:00,1.00,25.7,32.45,060,5.6,10.00,1005.69,1009.71,3.80,25.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,90,10-17-2019,01:00:00,0.00,26.0,30.30,000,0.0,10.00,1009.01,1009.69,0.00,24.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,10-17-2019,01:00:00,7.80,25.4,31.33,000,0.0,10.00,1009.76,1010.88,8.20,24.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,96,10-17-2019,01:00:00,0.00,25.6,31.44,000,0.0,10.00,1007.21,1010.15,0.00,24.9
