WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,VaporPressure,WindDirection,WindSpeed,LandVisibility,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,91,10-17-2019,01:00:00,0.00,24.3,27.77,000,0.0,8.00,983.36,1014.68,0.01,22.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,10-17-2019,01:00:00,0.00,17.9,20.07,130,11.1,8.00,850.60,1013.33,1.50,17.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,86,10-17-2019,01:00:00,0.00,24.1,25.92,000,0.0,10.00,970.49,1014.66,0.00,21.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,94,10-17-2019,01:00:00,0.00,23.5,27.16,000,0.0,10.00,968.62,1014.81,0.00,22.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,10-17-2019,01:00:00,0.00,22.0,26.42,000,0.0,6.00,976.97,1015.38,2.30,22.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,93,10-17-2019,01:00:00,0.00,23.0,26.09,000,0.0,6.00,968.34,1014.12,0.00,21.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,91,10-17-2019,01:00:00,0.00,24.4,27.94,000,0.0,7.00,988.04,1015.13,0.00,22.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,96,10-17-2019,01:00:00,2.10,24.7,29.77,000,0.0,10.00,992.32,1014.36,2.10,24.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,10-17-2019,01:00:00,0.00,25.0,29.00,000,0.0,6.00,989.44,1013.80,0.00,23.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,86,10-17-2019,01:00:00,0.00,25.2,27.54,000,0.0,10.00,979.88,1014.75,0.00,22.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,96,10-17-2019,01:00:00,0.00,24.0,28.53,000,0.0,10.00,987.75,1015.72,0.00,23.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,97,10-17-2019,01:00:00,0.00,24.0,28.78,000,0.0,8.00,980.86,1014.92,18.20,23.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,10-17-2019,01:00:00,0.00,25.0,30.32,000,0.0,5.00,995.11,1013.83,4.20,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,94,10-17-2019,01:00:00,0.00,24.0,28.01,000,0.0,10.00,991.36,1014.53,1.60,23.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,94,10-17-2019,01:00:00,0.00,23.2,26.66,000,0.0,7.00,984.27,1014.69,2.40,22.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,94,10-17-2019,01:00:00,0.00,23.5,27.16,000,0.0,6.00,978.49,1014.57,3.00,22.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,93,10-17-2019,01:00:00,0.00,23.0,26.09,000,0.0,10.00,983.70,1013.94,0.00,21.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,81,10-17-2019,01:00:00,0.00,26.9,28.76,000,0.0,8.00,1005.38,1012.73,2.70,23.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,82,10-17-2019,01:00:00,0.00,25.2,26.27,000,0.0,10.00,993.40,1013.53,0.00,21.9
48353,LOEI,เลย,เลย,17.45000,101.73333,85,10-17-2019,01:00:00,0.00,24.3,25.76,000,0.0,7.00,985.23,1014.31,0.10,21.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,91,10-17-2019,01:00:00,0.00,23.8,26.92,000,0.0,10.00,993.79,1014.31,8.00,22.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,89,10-17-2019,01:00:00,0.00,23.5,25.68,000,0.0,12.00,992.09,1014.21,0.40,21.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,83,10-17-2019,01:00:00,0.00,25.1,26.35,000,0.0,11.00,994.17,1013.90,2.00,22.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,90,10-17-2019,01:00:00,0.00,23.2,25.68,000,0.0,10.00,996.58,1014.32,0.00,21.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,76,10-17-2019,01:00:00,0.00,26.0,25.61,000,0.0,10.00,987.21,1013.21,0.01,21.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,97,10-17-2019,01:00:00,0.00,25.7,32.18,000,0.0,10.00,1007.52,1013.37,0.00,25.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,97,10-17-2019,01:00:00,0.00,25.5,31.79,000,0.0,7.00,1007.07,1013.33,0.50,25.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,84,10-17-2019,01:00:00,0.00,25.5,27.29,000,0.0,10.00,997.45,1014.08,17.00,22.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,81,10-17-2019,01:00:00,0.00,25.6,26.70,050,3.7,10.00,989.36,1011.89,0.00,22.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,94,10-17-2019,01:00:00,23.40,25.8,31.27,000,0.0,6.00,1000.10,1014.65,26.00,24.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,96,10-17-2019,01:00:00,20.00,23.5,27.66,000,0.0,7.00,997.84,1014.54,20.00,22.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,86,10-17-2019,01:00:00,0.00,26.2,29.33,000,0.0,10.00,1007.90,1013.17,0.00,23.7
