WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure,WindDirection,RelativeHumidity,WindSpeed
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.22,07-27-2019,13:00:00,0.00,0.00,18.5,1008.22,10.00,33.8,21.25,230,40,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.63,07-27-2019,13:00:00,0.00,0.00,23.3,1008.33,10.00,34.2,28.55,310,53,11.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.63,07-27-2019,13:00:00,0.00,1.40,23.0,1009.01,10.00,34.5,28.02,200,51,14.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.18,07-27-2019,13:00:00,0.00,0.00,24.9,1008.69,10.00,32.0,31.52,250,66,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.06,07-27-2019,13:00:00,0.00,0.20,22.4,1008.11,15.00,33.0,27.00,120,54,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.25,07-27-2019,13:00:00,0.00,15.90,24.8,1008.66,8.00,32.3,31.27,000,65,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.56,07-27-2019,13:00:00,0.00,10.40,25.6,1009.30,8.00,30.3,32.92,000,76,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.39,07-27-2019,13:00:00,0.00,0.00,18.9,1008.15,12.00,35.6,21.87,290,38,14.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.54,07-27-2019,13:00:00,0.00,16.40,24.9,1009.00,8.00,31.4,31.43,260,68,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.77,07-27-2019,13:00:00,0.00,0.00,24.2,1009.44,10.00,31.1,30.25,000,67,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.69,07-27-2019,13:00:00,0.00,0.00,24.2,1009.20,10.00,31.5,30.20,240,65,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.58,07-27-2019,13:00:00,0.00,10.30,23.2,1010.49,10.00,29.5,28.50,180,69,11.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.77,07-27-2019,13:00:00,0.00,26.80,25.5,1009.44,10.00,31.3,32.68,270,72,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.37,07-27-2019,13:00:00,0.00,0.40,23.8,1009.15,10.00,34.5,29.46,300,54,13.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.10,07-27-2019,13:00:00,0.00,0.00,22.7,1008.72,10.00,33.3,27.59,220,54,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.69,07-27-2019,13:00:00,0.00,0.00,25.6,1009.09,10.00,33.7,32.78,300,63,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.53,07-27-2019,13:00:00,0.00,2.30,23.3,1011.70,7.00,31.0,28.65,260,64,3.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.40,07-27-2019,13:00:00,0.00,0.00,23.8,1008.98,10.00,32.8,29.42,250,59,5.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.74,07-27-2019,13:00:00,0.00,0.00,25.0,1009.16,10.00,32.5,31.69,000,65,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.09,07-27-2019,13:00:00,0.00,0.00,23.2,1009.43,9.00,31.3,28.40,120,62,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.25,07-27-2019,13:00:00,0.00,0.80,24.8,1010.12,10.00,31.3,31.23,240,68,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.04,07-27-2019,13:00:00,0.00,0.00,23.2,1009.55,10.00,31.9,28.46,290,60,7.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.03,07-27-2019,13:00:00,0.00,0.00,23.2,1009.46,10.00,33.9,28.51,280,54,13.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.62,07-27-2019,13:00:00,0.00,0.00,24.5,1009.60,10.00,31.6,30.69,270,66,7.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.88,07-27-2019,13:00:00,0.00,0.00,24.9,1009.68,10.00,30.9,31.56,280,71,14.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.64,07-27-2019,13:00:00,0.00,0.00,25.4,1009.42,10.00,32.7,32.41,260,66,9.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.49,07-27-2019,13:00:00,0.00,0.00,25.2,1009.23,11.00,31.8,31.97,050,68,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.41,07-27-2019,13:00:00,0.00,41.00,24.9,1009.37,10.00,30.6,31.51,230,72,11.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.90,07-27-2019,13:00:00,1.50,1.80,24.9,1010.58,10.00,28.5,31.54,080,81,7.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.34,07-27-2019,13:00:00,0.00,1.60,24.0,1009.44,12.00,32.7,29.79,000,60,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.96,07-27-2019,13:00:00,0.00,9.70,25.1,1009.86,11.00,29.4,31.93,000,78,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.48,07-27-2019,13:00:00,0.00,1.50,24.2,1009.16,9.00,33.0,30.11,000,60,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.26,07-27-2019,13:00:00,0.00,0.01,23.7,1009.32,10.00,32.5,29.38,210,60,5.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.73,07-27-2019,13:00:00,0.00,0.00,23.5,1009.31,10.00,33.0,28.97,050,58,11.1
