WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,WindSpeed,RelativeHumidity,LandVisibility,DewPoint,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-26-2019,16:00:00,980.80,30.6,1011.39,0.00,000,0.0,67,10.00,23.8,29.53,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-26-2019,16:00:00,850.42,19.9,1011.92,0.00,120,9.3,79,8.00,16.1,18.23,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-26-2019,16:00:00,969.42,29.2,1012.79,0.00,030,13.0,53,10.00,18.7,21.50,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-26-2019,16:00:00,967.59,29.0,1012.87,0.00,000,0.0,55,15.00,19.0,21.91,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-26-2019,16:00:00,975.02,32.1,1012.07,0.00,000,0.0,57,10.00,22.5,27.19,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-26-2019,16:00:00,967.62,31.0,1012.15,0.00,070,5.6,60,10.00,22.2,26.73,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-26-2019,16:00:00,986.43,32.4,1012.76,0.00,270,5.6,58,10.00,23.1,28.33,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-26-2019,16:00:00,990.14,33.0,1011.52,0.00,060,5.6,51,8.00,21.5,25.63,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-26-2019,16:00:00,987.78,26.5,1011.98,0.00,000,0.0,83,8.00,23.3,28.55,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-26-2019,16:00:00,977.59,32.0,1011.59,0.00,150,3.7,50,10.00,20.3,23.77,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-26-2019,16:00:00,984.68,32.5,1011.79,0.00,000,0.0,56,10.00,22.6,27.41,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-26-2019,16:00:00,978.53,31.4,1011.67,0.00,000,0.0,57,10.00,22.0,26.40,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-26-2019,16:00:00,993.21,33.1,1011.39,0.00,000,0.0,52,6.00,22.0,26.37,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-26-2019,16:00:00,989.51,33.5,1011.91,0.00,250,5.6,47,10.00,20.5,24.13,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-26-2019,16:00:00,982.67,32.6,1012.10,0.00,000,0.0,52,12.00,21.4,25.41,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-26-2019,16:00:00,976.63,31.2,1011.72,0.00,000,0.0,61,8.00,22.9,27.93,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-26-2019,16:00:00,982.26,31.2,1011.64,0.00,000,0.0,58,8.00,22.1,26.56,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-26-2019,16:00:00,1004.10,33.5,1011.27,0.00,000,0.0,50,9.00,21.8,26.04,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-26-2019,16:00:00,992.44,33.5,1012.00,0.00,100,7.4,50,7.00,21.8,26.04,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,09-26-2019,16:00:00,983.87,31.3,1012.23,0.00,100,3.7,54,7.00,20.8,24.61,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-26-2019,16:00:00,992.44,32.6,1012.33,0.00,080,5.6,48,8.00,20.1,23.54,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-26-2019,16:00:00,991.75,32.0,1013.24,0.00,110,3.7,57,8.00,22.5,27.27,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-26-2019,16:00:00,992.84,31.7,1012.11,0.00,080,3.7,53,10.00,21.0,24.81,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-26-2019,16:00:00,996.00,33.5,1012.48,0.00,100,5.6,38,11.00,17.3,19.71,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-26-2019,16:00:00,995.52,32.6,1012.69,0.00,000,0.0,51,12.00,21.0,24.87,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-26-2019,16:00:00,984.76,32.5,1010.14,0.00,000,0.0,52,9.00,21.4,25.49,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-26-2019,16:00:00,1005.53,34.0,1011.21,0.00,000,0.0,55,8.00,23.5,29.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-26-2019,16:00:00,1005.68,33.4,1011.77,0.00,000,0.0,56,8.00,23.5,28.92,0.00
