WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,DewPoint,MeanSeaLevelPressure,StationPressure,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,WindDirection
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,08-25-2019,22:00:00,3.7,22.1,1009.52,1007.99,26.6,26.65,0.00,77,8.20,280
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-25-2019,22:00:00,5.6,23.4,1011.10,1010.17,26.2,28.80,0.00,85,70.50,200
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-25-2019,22:00:00,0.0,22.3,1009.96,1009.27,26.5,26.99,0.00,78,4.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-25-2019,22:00:00,3.7,23.8,1010.71,1009.91,25.0,29.52,0.00,93,0.80,210
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-25-2019,22:00:00,0.0,21.7,1009.23,1008.59,26.9,25.89,0.00,73,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-25-2019,22:00:00,7.4,22.3,1009.86,1009.46,26.0,26.88,0.00,80,0.01,200
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,08-25-2019,22:00:00,0.0,21.5,1011.74,1007.52,27.5,25.65,0.00,70,0.10,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-25-2019,22:00:00,0.0,24.5,1011.55,1009.93,25.4,30.79,0.00,95,8.60,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,08-25-2019,22:00:00,0.0,24.0,1010.62,1007.11,24.7,29.77,0.00,96,5.80,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.00,08-25-2019,22:00:00,0.0,24.2,1010.24,1008.88,24.9,30.13,0.00,96,9.70,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-25-2019,22:00:00,0.0,23.7,1011.34,1010.45,24.7,29.25,0.00,94,15.50,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-25-2019,22:00:00,0.0,24.1,1010.83,1007.24,25.0,30.05,0.00,95,14.40,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-25-2019,22:00:00,9.3,23.0,1010.71,1010.27,27.8,28.02,0.00,75,17.00,280
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-25-2019,22:00:00,11.1,22.5,1010.09,1009.10,29.0,27.30,0.00,68,10.60,300
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-25-2019,22:00:00,5.6,22.9,1010.51,1009.69,26.0,27.92,0.00,83,17.00,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-25-2019,22:00:00,0.0,24.5,1010.68,1008.85,25.4,30.79,0.00,95,57.80,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-25-2019,22:00:00,7.4,22.9,1010.53,1009.77,25.9,28.00,0.00,84,2.20,170
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-25-2019,22:00:00,3.7,23.4,1011.09,1007.05,24.4,28.71,0.00,94,2.40,990
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-25-2019,22:00:00,0.0,23.5,1010.85,1010.16,25.0,29.00,0.00,92,87.20,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-25-2019,22:00:00,0.0,23.9,1010.48,1009.36,25.9,29.58,0.00,89,8.60,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-25-2019,22:00:00,0.0,23.9,1011.18,1008.23,24.8,29.69,0.00,95,10.40,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,08-25-2019,22:00:00,0.0,24.2,1010.98,1010.28,25.9,30.11,0.00,90,0.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.00,08-25-2019,22:00:00,0.0,23.6,1011.11,1006.94,24.9,29.08,0.00,92,1.20,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.00,08-25-2019,22:00:00,0.0,22.2,1011.48,1010.89,25.3,26.69,0.00,83,0.90,000
