WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,WindDirection,RelativeHumidity,StationPressure,Rainfall,LandVisibility,DewPoint,AirTemperature,WindSpeed,VaporPressure
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1006.12,09-10-2019,16:00:00,0.00,120,64,1000.98,0.00,10.00,24.2,31.9,5.6,30.16
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1004.45,09-10-2019,16:00:00,0.00,000,61,991.50,0.00,12.00,23.7,32.0,0.0,29.22
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1005.66,09-10-2019,16:00:00,0.00,030,57,996.54,0.00,10.00,23.6,33.2,1.9,29.09
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.58,09-10-2019,16:00:00,0.00,210,70,984.21,0.00,2.00,24.8,30.9,7.4,31.27
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1005.97,09-10-2019,16:00:00,8.90,230,71,988.76,0.00,10.00,25.8,31.8,3.7,33.15
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.60,09-10-2019,16:00:00,7.70,210,75,989.92,0.00,11.00,24.5,29.5,7.4,30.72
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1004.71,09-10-2019,16:00:00,0.01,230,69,986.13,0.00,10.00,24.8,31.2,3.7,31.31
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.95,09-10-2019,16:00:00,5.70,000,89,956.45,5.70,8.00,22.4,24.3,0.0,27.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.58,09-10-2019,16:00:00,0.00,060,66,1001.70,0.00,5.00,24.9,32.0,3.7,31.52
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.05,09-10-2019,16:00:00,1.30,190,95,911.26,0.01,.70,21.4,22.2,7.4,25.53
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1006.05,09-10-2019,16:00:00,1.90,180,80,990.22,0.00,8.00,25.7,29.5,5.6,33.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.28,09-10-2019,16:00:00,0.00,000,54,1001.35,0.00,12.00,24.4,35.0,0.0,30.52
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.26,09-10-2019,16:00:00,0.00,210,58,995.81,0.00,8.00,23.9,33.3,3.7,29.58
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.42,09-10-2019,16:00:00,1.60,270,78,1004.51,1.60,9.00,25.2,29.5,13.0,32.13
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1005.54,09-10-2019,16:00:00,0.00,250,57,985.04,0.00,10.00,22.4,31.9,11.1,27.08
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1005.57,09-10-2019,16:00:00,9.70,220,71,988.12,0.00,10.00,24.2,30.1,11.1,30.22
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1005.63,09-10-2019,16:00:00,5.50,200,66,989.71,0.00,10.00,24.0,31.0,7.4,29.76
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1006.89,09-10-2019,16:00:00,5.20,000,70,992.98,0.00,10.00,23.6,29.7,0.0,29.16
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1007.42,09-10-2019,16:00:00,9.80,000,85,992.66,0.20,8.00,25.7,28.5,0.0,32.96
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1006.94,09-10-2019,16:00:00,10.80,220,83,992.43,0.00,9.00,27.1,30.3,7.4,35.89
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.08,09-10-2019,16:00:00,0.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",62,1003.12,0.00,10.00,24.3,32.6,0.0,30.44
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.68,09-10-2019,16:00:00,2.00,000,94,997.77,2.00,10.00,26.9,28.0,0.0,35.40
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.32,09-10-2019,16:00:00,9.70,210,63,1005.23,0.00,8.00,24.5,32.3,11.1,30.69
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1006.37,09-10-2019,16:00:00,0.00,000,73,991.93,0.00,8.00,26.4,32.0,0.0,34.49
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,{'@attributes': {'Unit': 'hPa'}},09-10-2019,16:00:00,56.80,180,{'@attributes': {'Unit': '%'}},873.56,0.20,.05,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},11.1,{'@attributes': {'Unit': 'mb'}}
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.15,09-10-2019,16:00:00,0.00,000,62,1000.39,0.00,10.00,25.0,33.2,0.0,31.70
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.60,09-10-2019,16:00:00,0.00,090,71,1005.82,0.00,8.00,25.7,31.6,5.6,33.02
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.38,09-10-2019,16:00:00,0.00,210,79,1006.94,0.00,10.00,25.4,29.5,11.1,32.42
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.18,09-10-2019,16:00:00,4.80,000,88,997.84,4.30,6.00,24.3,26.5,0.0,30.43
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.31,09-10-2019,16:00:00,0.00,180,58,1005.32,0.00,12.00,23.7,33.0,16.7,29.25
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.05,09-10-2019,16:00:00,0.01,180,52,1004.27,0.00,8.00,23.0,34.4,11.1,28.10
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.47,09-10-2019,16:00:00,0.00,230,46,1005.72,0.00,9.00,20.1,33.2,14.8,23.58
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.39,09-10-2019,16:00:00,0.20,190,68,1006.69,0.00,10.00,24.2,30.8,25.9,30.21
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.88,09-10-2019,16:00:00,7.10,240,73,1006.19,0.90,8.00,26.8,32.2,5.6,35.23
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1005.95,09-10-2019,16:00:00,0.01,290,56,985.23,0.00,10.00,23.1,32.9,7.4,28.20
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1006.26,09-10-2019,16:00:00,0.01,230,64,989.81,0.00,11.00,24.0,31.6,7.4,29.84
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1006.89,09-10-2019,16:00:00,0.10,230,65,990.76,0.00,12.00,25.2,32.5,7.4,31.98
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1006.70,09-10-2019,16:00:00,0.00,000,65,985.10,0.00,10.00,23.2,30.5,0.0,28.50
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1006.70,09-10-2019,16:00:00,1.20,260,70,963.83,0.00,10.00,23.4,29.5,11.1,28.78
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1006.33,09-10-2019,16:00:00,0.01,170,57,986.14,0.00,8.00,22.7,32.3,3.7,27.58
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1007.84,09-10-2019,16:00:00,4.20,220,73,987.33,0.00,10.00,26.3,31.7,11.1,34.13
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.42,09-10-2019,16:00:00,0.00,240,79,1006.99,0.00,10.00,24.6,28.6,16.7,30.90
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1007.61,09-10-2019,16:00:00,12.40,000,92,1006.19,12.30,10.00,25.1,26.5,0.0,31.79
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.53,09-10-2019,16:00:00,39.30,000,95,1003.56,1.50,7.00,24.2,25.1,0.0,30.23
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1007.12,09-10-2019,16:00:00,0.90,200,54,1003.88,0.00,12.00,21.9,32.3,13.0,26.20
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.93,09-10-2019,16:00:00,0.80,000,85,1005.83,0.80,10.00,25.7,28.5,0.0,32.96
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.33,09-10-2019,16:00:00,0.01,220,67,1007.03,0.00,10.00,24.5,31.3,11.1,30.65
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.73,09-10-2019,16:00:00,0.01,220,70,1007.05,0.00,10.00,25.7,31.7,11.1,32.94
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.89,09-10-2019,16:00:00,0.00,350,69,1006.41,0.00,.00,25.1,31.5,3.7,31.93
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.21,09-10-2019,16:00:00,0.00,210,65,1005.82,0.00,10.00,24.2,31.5,18.5,30.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1007.18,09-10-2019,16:00:00,0.00,180,82,1005.51,0.00,10.00,26.0,29.4,22.2,33.66
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.93,09-10-2019,16:00:00,4.80,000,88,1000.89,4.80,.50,24.3,26.5,0.0,30.43
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.25,09-10-2019,16:00:00,0.00,000,62,1006.97,0.00,10.00,23.8,32.0,0.0,29.51
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.48,09-10-2019,16:00:00,0.00,320,75,1004.38,0.00,10.00,25.0,30.0,7.4,31.72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.94,09-10-2019,16:00:00,0.00,270,72,1001.07,0.00,12.00,24.8,30.5,9.3,31.37
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.13,09-10-2019,16:00:00,3.50,000,90,1003.51,0.80,8.00,24.9,26.8,0.0,31.55
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1008.70,09-10-2019,16:00:00,0.00,230,78,999.43,0.00,10.00,24.5,28.8,22.2,30.73
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.75,09-10-2019,16:00:00,2.40,120,84,1007.49,2.40,14.00,26.6,29.7,3.7,34.88
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.68,09-10-2019,16:00:00,3.80,000,83,1007.25,3.80,11.00,25.5,28.8,0.0,32.71
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.69,09-10-2019,16:00:00,0.00,230,55,995.66,0.00,10.00,22.5,32.7,11.1,27.25
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.69,09-10-2019,16:00:00,0.00,300,49,1006.99,0.00,10.00,21.2,33.3,9.3,25.11
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.74,09-10-2019,16:00:00,0.00,180,66,1006.33,0.00,10.00,23.8,31.0,7.4,29.48
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.48,09-10-2019,16:00:00,0.00,260,79,1007.96,0.00,12.00,25.1,29.1,13.0,31.89
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.05,09-10-2019,16:00:00,0.00,190,71,1002.94,0.00,14.00,24.0,29.9,11.1,29.83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.35,09-10-2019,16:00:00,0.20,000,77,1007.94,0.00,7.00,25.4,29.8,0.0,32.46
