WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,LandVisibility,StationPressure,WindDirection,WindSpeed,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr,RelativeHumidity,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.2,08-15-2019,19:00:00,29.3,12.00,972.40,350,1.9,1002.85,34.03,0.01,2.50,84,32.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.9,08-15-2019,19:00:00,18.4,4.00,842.38,300,46.3,1003.24,20.50,22.50,37.80,97,24.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.1,08-15-2019,19:00:00,25.3,5.00,959.38,180,9.3,1002.86,28.23,5.40,5.40,88,31.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.8,08-15-2019,19:00:00,25.0,12.00,958.05,000,0.0,1003.51,27.70,4.30,8.30,88,32.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.3,08-15-2019,19:00:00,26.5,7.00,968.11,000,0.0,1005.59,30.43,0.00,0.30,88,31.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.5,08-15-2019,19:00:00,30.7,11.00,957.85,180,3.7,1001.97,32.59,0.00,3.30,74,34.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,08-15-2019,19:00:00,26.6,7.00,977.02,000,0.0,1003.61,31.71,12.20,14.80,91,34.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.2,08-15-2019,19:00:00,31.3,15.00,981.38,240,7.4,1002.70,28.40,0.00,0.00,62,34.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.1,08-15-2019,19:00:00,27.0,8.00,981.20,000,0.0,1005.20,31.94,0.10,0.80,90,31.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.9,08-15-2019,19:00:00,29.7,10.00,969.10,000,0.0,1003.07,33.41,0.00,1.00,80,32.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,08-15-2019,19:00:00,30.0,10.00,975.68,000,0.0,1002.76,31.72,0.00,0.60,75,33.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.9,08-15-2019,19:00:00,30.7,12.00,969.28,000,0.0,1002.18,29.73,0.00,0.00,67,34.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.6,08-15-2019,19:00:00,27.8,10.00,984.18,190,3.7,1002.53,31.00,0.40,0.40,83,33.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.9,08-15-2019,19:00:00,28.0,10.00,979.95,000,0.0,1002.55,33.37,0.00,10.70,88,33.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,08-15-2019,19:00:00,27.0,9.00,973.27,000,0.0,1002.96,31.38,0.00,11.40,88,31.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.8,08-15-2019,19:00:00,30.0,6.00,967.63,000,0.0,1002.53,33.17,0.00,0.00,78,32.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.2,08-15-2019,19:00:00,30.9,14.00,972.36,000,0.0,1001.47,32.13,0.00,0.00,72,35.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.9,08-15-2019,19:00:00,31.5,10.00,995.47,000,0.0,1002.64,33.40,0.00,0.00,72,34.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.0,08-15-2019,19:00:00,32.4,12.00,981.68,000,0.0,1001.10,35.68,0.00,8.40,73,34.8
48353,LOEI,เลย,เลย,17.45000,101.73333,22.8,08-15-2019,19:00:00,31.5,15.00,973.86,270,7.4,1001.92,27.68,0.00,0.00,60,34.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.2,08-15-2019,19:00:00,30.0,12.00,982.33,240,11.1,1002.19,32.01,0.00,0.01,75,34.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.2,08-15-2019,19:00:00,28.9,12.00,982.10,000,0.0,1003.60,34.07,0.00,2.60,86,32.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.4,08-15-2019,19:00:00,28.4,10.00,983.05,120,3.7,1002.34,34.48,0.50,4.50,89,32.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.0,08-15-2019,19:00:00,28.1,12.00,987.05,000,0.0,1003.67,33.57,0.00,26.50,88,30.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.4,08-15-2019,19:00:00,28.4,10.00,986.39,000,0.0,1003.65,34.48,0.00,65.70,89,31.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.8,08-15-2019,19:00:00,28.3,12.00,975.94,000,0.0,1001.45,33.12,0.00,0.80,86,34.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.3,08-15-2019,19:00:00,31.2,10.00,997.18,260,7.4,1002.86,32.18,0.00,0.30,71,34.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.4,08-15-2019,19:00:00,31.0,10.00,996.91,230,11.1,1003.00,32.34,0.00,0.20,72,33.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,08-15-2019,19:00:00,31.0,10.00,987.36,000,0.0,1003.53,29.48,0.00,0.00,66,34.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.1,08-15-2019,19:00:00,27.0,10.00,981.95,000,0.0,1004.20,30.02,0.00,0.00,84,31.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.8,08-15-2019,19:00:00,29.8,6.00,990.21,260,11.1,1004.42,27.71,0.00,0.00,66,33.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.5,08-15-2019,19:00:00,30.2,10.00,987.40,260,9.3,1003.55,29.03,0.00,0.01,68,35.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.5,08-15-2019,19:00:00,31.1,10.00,998.39,000,0.0,1003.53,34.63,0.00,0.60,77,34.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.0,08-15-2019,19:00:00,30.5,12.00,989.13,000,0.0,1002.12,31.60,0.00,0.00,72,34.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.7,08-15-2019,19:00:00,31.7,11.00,994.35,000,0.0,1003.49,32.94,0.00,0.01,70,34.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.2,08-15-2019,19:00:00,29.0,10.00,981.31,050,1.9,1002.76,33.99,0.60,24.60,85,35.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,22.4,08-15-2019,19:00:00,30.6,8.00,984.54,220,11.1,1001.74,27.06,0.00,40.60,62,35.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.8,08-15-2019,19:00:00,29.8,10.00,987.01,000,0.0,1002.63,31.32,0.00,17.00,75,34.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.9,08-15-2019,19:00:00,30.4,10.00,982.87,000,0.0,1001.44,31.39,0.00,13.70,72,35.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.9,08-15-2019,19:00:00,26.4,7.00,954.83,000,0.0,1005.88,27.85,5.70,7.60,81,28.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.6,08-15-2019,19:00:00,31.7,10.00,999.45,000,0.0,1003.33,34.73,0.00,0.20,74,34.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.1,08-15-2019,19:00:00,22.5,5.00,911.20,200,5.6,1005.88,25.04,0.00,0.40,92,24.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.2,08-15-2019,19:00:00,28.0,8.00,987.40,000,0.0,1003.28,33.94,1.00,2.60,90,34.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,08-15-2019,19:00:00,28.6,8.00,999.75,000,0.0,1003.75,32.88,0.20,0.70,84,35.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.7,08-15-2019,19:00:00,31.0,8.00,994.30,000,0.0,1004.81,32.93,0.00,2.40,73,35.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.1,08-15-2019,19:00:00,31.0,9.00,1002.52,000,0.0,1004.42,33.81,0.00,0.70,75,34.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.4,08-15-2019,19:00:00,31.2,10.00,983.16,240,9.3,1003.67,28.76,0.00,0.00,63,35.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.2,08-15-2019,19:00:00,26.9,10.00,985.82,240,14.8,1003.42,32.02,14.70,22.40,90,34.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.6,08-15-2019,19:00:00,28.3,10.00,986.72,240,7.4,1002.75,32.84,0.30,4.70,85,34.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.8,08-15-2019,19:00:00,30.5,10.00,989.67,000,0.0,1003.49,31.31,0.00,0.01,72,35.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.2,08-15-2019,19:00:00,29.7,8.00,990.37,000,0.0,1005.03,31.97,0.00,0.00,77,34.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.4,08-15-2019,19:00:00,30.6,10.00,989.44,000,0.0,1003.90,34.44,0.00,3.90,78,34.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.0,08-15-2019,19:00:00,27.3,8.00,1000.95,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,1003.95,31.69,11.90,12.20,87,35.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.8,08-15-2019,19:00:00,29.5,10.00,995.87,000,0.0,1003.73,31.28,0.00,0.20,76,34.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.7,08-15-2019,19:00:00,32.5,8.00,1002.13,210,11.1,1003.21,31.11,0.00,15.50,64,34.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,20.2,08-15-2019,19:00:00,30.0,8.00,990.01,000,0.0,1004.52,23.60,0.00,12.00,56,35.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.1,08-15-2019,19:00:00,21.2,.10,871.85,180,7.4,1005.99,22.15,0.00,46.20,88,25.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.4,08-15-2019,19:00:00,29.2,10.00,998.33,000,0.0,1004.15,34.41,0.00,2.00,85,35.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.6,08-15-2019,19:00:00,32.7,10.00,1003.63,230,7.4,1004.42,30.94,0.00,0.50,63,36.4
