WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility,DewPoint,AirTemperature,WindDirection,Rainfall,MinimumTemperature,RelativeHumidity
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1010.82,10-02-2019,07:00:00,18.87,848.35,14.8,0.00,8.00,16.6,17.6,300,0.00,17.0,94
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1011.29,10-02-2019,07:00:00,27.58,967.19,0.0,0.00,6.00,22.7,23.6,000,0.00,22.6,95
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1011.79,10-02-2019,07:00:00,25.21,965.51,0.0,0.00,15.00,21.2,22.0,000,0.00,20.0,95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1012.27,10-02-2019,07:00:00,26.10,973.95,0.0,0.00,8.00,21.8,21.8,000,0.00,21.3,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1011.17,10-02-2019,07:00:00,28.60,965.61,0.0,0.00,.30,23.3,23.6,000,0.00,23.3,98
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1012.25,10-02-2019,07:00:00,27.66,985.15,0.0,0.00,3.00,22.8,23.5,000,0.00,23.2,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1011.48,10-02-2019,07:00:00,29.13,989.47,0.0,0.00,7.00,23.6,24.2,000,0.00,23.9,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1012.36,10-02-2019,07:00:00,28.53,987.94,0.0,0.00,5.00,23.3,24.0,000,0.00,22.0,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1011.82,10-02-2019,07:00:00,26.75,976.84,0.0,12.20,10.00,22.2,23.4,000,0.00,22.9,93
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1011.77,10-02-2019,07:00:00,28.62,983.92,0.0,0.30,8.00,23.3,24.2,000,0.00,23.6,95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1011.69,10-02-2019,07:00:00,27.66,977.68,0.0,0.00,6.00,22.8,23.5,000,0.00,23.3,96
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1011.03,10-02-2019,07:00:00,29.15,992.32,0.0,0.00,1.00,23.6,24.5,000,0.00,24.1,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,1011.85,10-02-2019,07:00:00,27.83,988.71,0.0,0.00,6.00,22.9,23.6,000,0.00,23.5,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1011.48,10-02-2019,07:00:00,26.01,981.08,0.0,0.00,6.00,21.7,22.5,000,0.00,22.3,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1011.77,10-02-2019,07:00:00,26.25,975.64,0.0,0.80,4.00,21.9,22.2,000,0.00,22.2,98
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1011.32,10-02-2019,07:00:00,26.50,981.13,0.0,0.00,1.00,22.0,22.8,000,0.00,22.0,96
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1010.65,10-02-2019,07:00:00,30.03,1003.29,0.0,0.00,7.00,24.1,26.0,000,0.00,25.9,89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1011.10,10-02-2019,07:00:00,31.16,991.11,5.6,0.00,5.00,24.7,26.6,070,0.00,25.6,90
48353,LOEI,เลย,เลย,17.45000,101.73333,1011.29,10-02-2019,07:00:00,25.51,982.21,0.0,0.00,2.50,21.4,23.4,000,0.00,22.8,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1011.81,10-02-2019,07:00:00,28.21,991.53,1.9,0.00,5.00,23.1,26.6,090,0.00,24.7,81
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1011.59,10-02-2019,07:00:00,29.07,989.61,0.0,0.00,5.00,23.6,24.6,000,0.00,23.4,94
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1011.15,10-02-2019,07:00:00,28.51,991.51,3.7,0.00,6.00,23.2,25.6,190,0.00,24.0,87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1012.09,10-02-2019,07:00:00,25.52,995.19,1.9,0.00,7.00,21.4,25.5,150,0.00,23.6,78
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1012.50,10-02-2019,07:00:00,27.66,994.80,0.0,0.00,5.00,22.8,23.5,000,0.00,21.2,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1009.94,10-02-2019,07:00:00,29.41,983.90,0.0,0.00,7.00,23.8,24.5,000,0.00,24.5,96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1011.29,10-02-2019,07:00:00,31.93,1005.46,3.7,0.00,6.00,25.1,26.0,090,0.00,24.7,95
