WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,RelativeHumidity,Rainfall,DewPoint,AirTemperature,WindSpeed,WindDirection,StationPressure,VaporPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.10,09-16-2019,13:00:00,15.00,63,0.00,24.9,32.8,0.0,000,975.55,31.44,1005.75
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-16-2019,13:00:00,8.00,79,0.00,19.5,23.4,20.4,150,845.99,22.65,1004.64
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-16-2019,13:00:00,12.00,57,0.00,22.8,32.5,1.9,080,963.38,27.69,1006.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-16-2019,13:00:00,15.00,60,0.00,23.2,32.0,0.0,000,961.29,28.38,1005.83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-16-2019,13:00:00,12.00,60,0.00,25.3,34.1,5.6,180,969.08,32.15,1005.66
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-16-2019,13:00:00,12.00,59,0.00,23.4,32.5,5.6,210,962.27,28.81,1006.33
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-16-2019,13:00:00,12.00,55,0.00,23.5,34.0,5.6,160,980.47,29.00,1006.50
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-16-2019,13:00:00,15.00,59,0.00,24.2,33.2,3.7,030,984.99,30.24,1006.25
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-16-2019,13:00:00,10.00,59,0.00,24.8,34.0,0.0,000,982.01,31.34,1005.48
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1.20,09-16-2019,13:00:00,10.00,45,0.00,20.3,33.9,3.7,320,972.95,23.81,1006.57
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-16-2019,13:00:00,10.00,58,0.00,23.7,33.0,0.0,000,979.64,29.25,1006.56
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.20,09-16-2019,13:00:00,15.00,58,0.00,22.7,32.2,0.0,000,973.51,27.66,1006.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,17.80,09-16-2019,13:00:00,10.00,51,0.00,22.1,33.8,3.7,030,988.03,26.62,1006.08
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-16-2019,13:00:00,10.00,54,0.00,23.4,34.0,0.0,000,983.91,28.72,1006.16
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-16-2019,13:00:00,12.00,55,0.00,23.2,33.4,0.0,000,976.78,28.35,1005.95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.60,09-16-2019,13:00:00,8.00,57,0.00,21.9,31.5,0.0,000,971.99,26.32,1006.88
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-16-2019,13:00:00,12.00,57,0.00,23.5,33.3,7.4,140,976.35,29.01,1005.35
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-16-2019,13:00:00,10.00,44,0.00,20.3,34.5,0.0,000,998.75,23.85,1005.87
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-16-2019,13:00:00,18.00,59,0.00,24.8,34.0,11.1,100,986.70,31.34,1006.12
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-16-2019,13:00:00,12.00,48,0.00,21.5,34.0,7.4,120,977.91,25.63,1005.85
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-16-2019,13:00:00,15.00,51,0.00,21.8,33.4,3.7,090,986.69,26.12,1006.42
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-16-2019,13:00:00,15.00,56,0.00,22.9,32.9,11.1,140,985.40,27.92,1006.69
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-16-2019,13:00:00,15.00,53,0.00,21.8,32.5,11.1,130,986.68,26.04,1005.79
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,9.20,09-16-2019,13:00:00,12.00,49,0.00,21.3,33.4,1.9,060,989.34,25.30,1005.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-16-2019,13:00:00,10.00,53,0.00,22.0,33.0,3.7,090,989.13,26.45,1006.18
