WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,Rainfall,StationPressure,LandVisibility,VaporPressure,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,RelativeHumidity
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,10-01-2019,22:00:00,1011.35,0.00,1009.42,6.00,33.70,000,0.40,28.3,0.0,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.8,10-01-2019,22:00:00,1010.76,0.00,989.88,8.00,27.75,200,0.00,27.8,11.1,74
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.9,10-01-2019,22:00:00,1010.31,0.00,992.60,10.00,31.58,200,0.00,27.1,3.7,88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.0,10-01-2019,22:00:00,1010.18,0.00,994.04,10.00,31.70,000,0.00,28.3,0.0,82
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.1,10-01-2019,22:00:00,1011.00,0.00,996.96,3.00,31.95,000,0.00,28.0,0.0,85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.1,10-01-2019,22:00:00,1011.29,0.00,996.37,7.00,30.05,000,0.00,26.3,0.0,88
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.8,10-01-2019,22:00:00,1010.82,0.00,996.12,7.00,35.23,000,0.00,27.5,0.0,96
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.1,10-01-2019,22:00:00,1010.11,0.00,1007.10,7.00,33.86,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,28.8,0.0,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.4,10-01-2019,22:00:00,1010.42,0.00,1002.49,8.00,32.42,000,0.00,28.8,0.0,82
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.7,10-01-2019,22:00:00,1011.00,0.00,1009.90,7.00,32.96,180,0.00,28.5,7.4,85
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.2,10-01-2019,22:00:00,1011.14,0.00,996.46,8.00,33.99,000,0.00,28.3,0.0,88
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.5,10-01-2019,22:00:00,1013.21,0.00,877.52,2.00,22.62,190,0.01,19.8,5.6,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.4,10-01-2019,22:00:00,1010.78,0.00,1004.90,7.00,32.52,000,0.00,28.0,0.0,86
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.6,10-01-2019,22:00:00,1011.00,0.00,1010.20,8.00,32.91,190,0.00,28.9,11.1,83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.4,10-01-2019,22:00:00,1010.89,0.00,1010.45,8.00,32.50,210,60.20,29.4,14.8,79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.9,10-01-2019,22:00:00,1012.11,0.00,1000.73,6.00,29.62,000,0.00,26.5,0.0,86
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.1,10-01-2019,22:00:00,1011.13,0.00,1010.13,6.00,33.83,190,0.00,29.9,3.7,80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.9,10-01-2019,22:00:00,1011.09,0.00,1009.28,7.00,31.49,130,0.00,28.9,3.7,79
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.8,10-01-2019,22:00:00,1011.28,0.00,1010.52,5.00,33.24,000,0.00,28.5,0.0,85
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.4,10-01-2019,22:00:00,1011.31,0.00,1010.61,9.00,32.46,190,0.01,29.1,11.1,81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.8,10-01-2019,22:00:00,1011.08,0.00,1010.38,7.00,31.29,000,0.00,28.8,0.0,79
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,21.7,10-01-2019,22:00:00,1011.34,0.00,990.11,7.00,25.98,000,0.01,27.1,0.0,72
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.5,10-01-2019,22:00:00,1010.87,0.00,994.17,7.00,32.55,000,0.00,28.3,0.0,85
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.0,10-01-2019,22:00:00,1010.99,0.00,994.48,8.00,31.63,000,0.00,26.7,0.0,90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.1,10-01-2019,22:00:00,1011.21,0.01,989.14,6.00,29.99,000,50.50,25.4,0.0,92
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.0,10-01-2019,22:00:00,1011.65,0.00,967.88,3.00,28.03,190,0.00,24.6,3.7,91
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.0,10-01-2019,22:00:00,1010.98,0.00,990.27,6.00,31.65,160,3.60,26.0,5.6,94
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.2,10-01-2019,22:00:00,1012.23,0.00,991.27,5.00,32.07,180,0.00,26.5,9.3,93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.9,10-01-2019,22:00:00,1011.03,0.00,1010.60,10.00,31.45,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,29.3,0.0,77
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.7,10-01-2019,22:00:00,1011.25,0.00,1009.83,8.00,31.11,000,0.00,27.0,0.0,87
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,10-01-2019,22:00:00,1011.34,12.30,1006.37,7.00,32.29,000,12.60,25.9,0.0,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.8,10-01-2019,22:00:00,1011.19,6.50,1007.89,10.00,31.38,000,6.50,27.0,0.0,88
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.5,10-01-2019,22:00:00,1011.17,0.00,1010.07,10.00,34.58,220,0.00,29.0,3.7,86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.3,10-01-2019,22:00:00,1011.14,0.00,1010.84,10.00,34.16,160,1.00,29.5,7.4,83
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.0,10-01-2019,22:00:00,1010.80,0.00,1010.31,7.00,33.70,000,2.10,29.0,0.0,84
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.1,10-01-2019,22:00:00,1011.64,0.00,1010.23,8.00,33.78,180,57.20,28.9,11.1,85
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.1,10-01-2019,22:00:00,1012.35,0.00,1004.27,10.00,31.82,180,0.90,25.8,3.7,96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.5,10-01-2019,22:00:00,1005.76,0.00,1005.48,10.00,32.55,170,0.00,29.0,7.4,81
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.9,10-01-2019,22:00:00,1011.37,0.00,1008.24,10.00,31.54,000,0.00,28.5,0.0,81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.1,10-01-2019,22:00:00,1011.59,0.00,1004.64,10.00,31.95,000,0.00,28.0,0.0,85
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.1,10-01-2019,22:00:00,1011.95,0.00,1006.35,7.00,31.87,000,0.00,28.1,0.0,84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.9,10-01-2019,22:00:00,1011.29,0.00,1010.02,5.00,31.56,320,0.00,27.8,3.7,84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.9,10-01-2019,22:00:00,1011.17,0.00,1010.74,11.00,29.63,000,0.00,27.8,0.0,79
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.7,10-01-2019,22:00:00,1011.73,0.00,999.32,8.00,29.25,000,6.60,24.7,0.0,94
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.1,10-01-2019,22:00:00,1011.40,0.00,1010.68,7.00,29.96,310,0.00,27.4,3.7,82
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.0,10-01-2019,22:00:00,1011.67,0.00,1009.24,7.00,31.62,170,0.00,28.4,7.4,82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.2,10-01-2019,22:00:00,1011.34,0.00,1010.83,8.00,33.99,200,0.00,29.0,9.3,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.2,10-01-2019,22:00:00,1011.46,0.00,1006.31,7.00,32.02,000,0.00,28.6,0.0,82
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,10-01-2019,22:00:00,1011.41,0.00,1010.99,7.00,32.10,160,0.01,28.5,5.6,83
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.1,10-01-2019,22:00:00,1011.99,0.00,1009.20,8.00,31.79,000,0.00,26.5,0.0,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.9,10-01-2019,22:00:00,1010.92,0.00,1010.14,10.00,35.46,000,0.00,29.0,0.0,89
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.9,10-01-2019,22:00:00,1012.31,1.90,1011.85,7.00,31.57,000,3.40,26.1,0.0,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.5,10-01-2019,22:00:00,1012.43,0.00,1011.74,8.00,28.95,000,0.00,25.7,0.0,88
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.2,10-01-2019,22:00:00,1012.33,0.00,1010.79,8.00,31.99,000,0.40,26.6,0.0,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.3,10-01-2019,22:00:00,1012.90,0.00,1011.97,10.00,30.43,020,0.00,26.5,3.7,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.5,10-01-2019,22:00:00,1012.39,0.00,1011.70,10.00,30.81,000,0.00,26.7,0.0,88
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.4,10-01-2019,22:00:00,1011.91,0.00,1011.27,10.00,30.51,000,0.00,26.4,0.0,89
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,10-01-2019,22:00:00,1012.39,0.00,1011.98,10.00,30.94,000,0.00,26.2,0.0,91
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.3,10-01-2019,22:00:00,1014.57,0.00,1010.32,5.00,30.36,000,2.80,25.6,0.0,93
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.6,10-01-2019,22:00:00,1012.85,0.00,1011.22,10.00,29.12,000,9.00,23.9,0.0,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.9,10-01-2019,22:00:00,1012.73,0.00,1009.21,7.00,29.69,000,0.01,24.8,0.0,95
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.2,10-01-2019,22:00:00,1012.72,0.00,1011.35,10.00,30.15,000,0.00,25.2,0.0,94
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.6,10-01-2019,22:00:00,1012.33,0.00,1011.44,10.00,30.84,000,9.60,26.0,0.0,92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.5,10-01-2019,22:00:00,1012.57,0.00,1008.98,10.00,30.70,000,0.00,26.5,0.0,89
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.4,10-01-2019,22:00:00,1012.12,0.00,1011.68,10.00,32.43,000,5.60,28.1,0.0,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.8,10-01-2019,22:00:00,1011.91,0.00,1010.92,10.00,29.49,000,0.20,29.3,0.0,72
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.0,10-01-2019,22:00:00,1012.70,0.00,1011.88,10.00,29.76,080,0.00,26.0,7.4,89
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.6,10-01-2019,22:00:00,1012.64,0.00,1010.81,10.00,31.00,000,0.00,25.8,0.0,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.4,10-01-2019,22:00:00,1012.78,0.01,1012.02,10.00,28.75,130,0.01,25.3,3.7,89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.6,10-01-2019,22:00:00,1013.05,0.00,1009.01,10.00,30.87,120,5.80,25.3,5.6,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.4,10-01-2019,22:00:00,1012.90,0.40,1012.22,10.00,32.38,000,17.80,26.8,0.0,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.7,10-01-2019,22:00:00,1012.75,0.00,1011.62,10.00,29.30,000,44.20,24.0,0.0,98
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.8,10-01-2019,22:00:00,1012.91,0.00,1009.97,10.00,31.24,000,0.00,26.5,0.0,90
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.4,10-01-2019,22:00:00,1011.90,0.00,1011.21,7.00,28.74,240,0.00,25.0,9.3,91
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.4,10-01-2019,22:00:00,1013.63,15.90,1009.44,7.00,27.16,000,43.70,23.5,0.0,94
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,21.7,10-01-2019,22:00:00,1012.22,0.00,1011.63,10.00,26.02,200,0.00,25.5,9.3,80
