WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,LandVisibility,WindDirection,VaporPressure,Rainfall
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.5,07-12-2019,13:00:00,11.1,989.42,0.00,1009.70,35.9,52,10.00,260,30.67,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.5,07-12-2019,13:00:00,18.5,1008.28,0.00,1008.71,31.7,62,10.00,160,28.91,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.0,07-12-2019,13:00:00,0.0,1007.70,0.00,1009.09,33.6,61,11.00,000,31.67,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.1,07-12-2019,13:00:00,0.0,1004.23,0.00,1009.06,34.1,60,10.00,000,31.85,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.6,07-12-2019,13:00:00,7.4,1005.35,0.00,1008.55,36.0,46,12.00,270,27.36,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.5,07-12-2019,13:00:00,0.0,1007.62,0.00,1008.70,34.8,55,10.00,000,30.68,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.6,07-12-2019,13:00:00,14.8,1008.64,0.00,1008.94,35.0,52,10.00,210,29.05,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.1,07-12-2019,13:00:00,9.3,1007.92,0.00,1008.59,35.0,50,10.00,210,28.18,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.1,07-12-2019,13:00:00,5.6,1008.42,0.00,1008.90,34.4,59,10.00,180,31.90,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.8,07-12-2019,13:00:00,13.0,1007.63,0.00,1009.01,33.8,56,10.00,360,29.46,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,23.1,07-12-2019,13:00:00,13.0,1007.94,0.00,1009.60,31.1,63,10.00,190,28.29,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,22.3,07-12-2019,13:00:00,11.1,1002.96,0.00,1010.82,33.5,52,15.00,310,26.87,0.00
