WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,LandVisibility,RelativeHumidity,StationPressure
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.63,08-23-2019,16:00:00,0.01,3.7,25.5,260,1005.57,4.60,32.8,10.00,66,991.20
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.55,08-23-2019,16:00:00,0.01,0.0,25.5,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1005.53,2.60,31.1,8.00,72,1002.56
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.86,08-23-2019,16:00:00,0.00,0.0,25.1,000,1005.24,3.70,32.3,10.00,66,997.44
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.48,08-23-2019,16:00:00,0.00,7.4,25.4,200,1006.11,2.90,31.9,9.00,69,1005.02
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.68,08-23-2019,16:00:00,0.00,0.0,25.0,000,1005.37,5.50,30.4,9.00,73,990.88
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,25.22,08-23-2019,16:00:00,0.00,5.6,21.2,270,1006.93,49.40,21.7,4.00,97,872.87
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.66,08-23-2019,16:00:00,0.00,0.0,26.0,000,1005.49,0.60,33.0,10.00,67,999.74
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,36.36,08-23-2019,16:00:00,0.10,5.6,27.3,060,1006.42,0.70,30.1,8.00,85,1005.63
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.03,08-23-2019,16:00:00,0.00,13.0,24.7,210,1006.29,0.50,30.5,10.00,71,1005.85
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.31,08-23-2019,16:00:00,2.30,0.0,24.3,000,1007.08,10.00,30.0,6.00,71,995.89
