WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,MinimumTemperature
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.00,08-21-2019,07:00:00,23.4,1004.87,7.00,000,988.43,0.00,0.0,25.3,89,28.75,25.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-21-2019,07:00:00,24.2,1005.31,10.00,180,1000.07,0.00,3.7,25.8,91,30.19,24.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,4.50,08-21-2019,07:00:00,24.0,1004.48,10.00,000,991.21,0.00,0.0,24.7,96,29.77,24.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-21-2019,07:00:00,24.3,1005.05,11.00,270,995.69,0.00,3.7,25.2,95,30.42,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-21-2019,07:00:00,23.2,1005.78,10.00,180,984.03,0.00,7.4,25.6,87,28.51,25.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.20,08-21-2019,07:00:00,24.0,1005.17,10.00,000,987.62,35.20,0.0,25.5,92,29.91,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,19.90,08-21-2019,07:00:00,24.3,1006.29,10.00,000,990.36,0.00,0.0,25.0,96,30.32,24.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-21-2019,07:00:00,23.7,1004.87,8.00,210,985.97,0.00,5.6,26.0,87,29.23,25.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.70,08-21-2019,07:00:00,21.9,1005.63,7.00,000,954.00,0.00,0.0,22.8,95,26.25,21.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,08-21-2019,07:00:00,24.2,1005.30,4.00,110,1001.33,0.00,7.4,25.5,93,30.17,24.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,08-21-2019,07:00:00,20.1,1005.84,5.00,230,910.67,0.01,7.4,20.9,95,23.54,20.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,41.70,08-21-2019,07:00:00,24.7,1006.00,8.00,000,989.92,0.00,0.0,25.0,98,31.12,24.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,50.20,08-21-2019,07:00:00,24.3,1005.14,9.00,190,1001.10,0.00,3.7,25.5,93,30.44,25.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.40,08-21-2019,07:00:00,24.2,1006.56,8.00,000,995.83,0.00,0.0,25.1,95,30.23,24.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-21-2019,07:00:00,23.5,1005.90,12.00,000,1003.96,0.00,0.0,25.1,91,28.92,25.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.60,08-21-2019,07:00:00,23.5,1006.00,10.00,240,985.02,0.00,5.6,25.0,92,29.00,23.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.60,08-21-2019,07:00:00,24.2,1005.85,10.00,170,988.12,0.00,11.1,25.4,93,30.25,24.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,2.80,08-21-2019,07:00:00,24.6,1005.62,10.00,000,989.41,0.00,0.0,25.6,94,30.90,24.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.50,08-21-2019,07:00:00,24.6,1007.36,10.00,150,993.25,0.00,5.6,25.3,96,30.87,24.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,37.50,08-21-2019,07:00:00,24.3,1007.95,9.00,160,993.01,0.00,3.7,25.0,96,30.32,24.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.10,08-21-2019,07:00:00,25.3,1007.20,8.00,230,992.48,0.00,3.7,26.0,96,32.20,24.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.20,08-21-2019,07:00:00,24.1,1004.74,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1001.71,0.00,0.0,25.6,92,30.09,24.4
