WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,Rainfall24Hr,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,DewPoint,VaporPressure
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,983.23,08-11-2019,04:00:00,99,13.0,0.40,180,1004.11,25.1,8.00,0.00,24.9,31.58
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1002.47,08-11-2019,04:00:00,81,13.0,1.50,210,1002.91,27.5,10.00,0.10,23.9,29.60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1001.65,08-11-2019,04:00:00,96,0.0,1.10,000,1003.06,25.9,6.00,0.00,25.2,32.01
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,998.86,08-11-2019,04:00:00,96,0.0,0.80,000,1003.80,26.0,7.00,0.00,25.3,32.20
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,999.04,08-11-2019,04:00:00,86,3.7,0.01,190,1002.32,26.3,10.00,0.00,23.8,29.52
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1001.44,08-11-2019,04:00:00,93,0.0,0.01,000,1002.54,26.0,10.00,0.00,24.8,31.38
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1002.31,08-11-2019,04:00:00,82,5.6,0.10,200,1002.61,27.8,10.00,0.00,24.5,30.72
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1002.09,08-11-2019,04:00:00,83,0.0,0.00,000,1002.58,27.6,10.00,0.00,24.4,30.61
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1001.37,08-11-2019,04:00:00,87,7.4,1.60,200,1002.78,27.2,10.00,0.00,24.9,31.49
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,996.29,08-11-2019,04:00:00,93,0.0,0.00,000,1004.30,26.2,10.00,0.00,24.9,31.49
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1002.70,08-11-2019,04:00:00,87,0.0,4.50,000,1002.98,27.6,10.00,0.00,25.3,32.28
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,999.92,08-11-2019,04:00:00,78,0.0,0.00,000,1003.03,28.0,10.00,0.00,23.8,29.46
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,996.56,08-11-2019,04:00:00,77,9.3,0.00,240,1003.45,28.0,10.00,0.00,23.6,29.19
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,998.32,08-11-2019,04:00:00,92,0.0,1.20,000,1003.92,26.0,8.00,0.00,24.6,30.84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1002.56,08-11-2019,04:00:00,97,0.0,2.40,000,1003.82,25.4,6.00,0.00,25.0,31.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1002.23,08-11-2019,04:00:00,82,11.1,0.40,230,1002.66,27.4,11.00,0.00,24.1,29.96
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,991.33,08-11-2019,04:00:00,96,0.0,8.00,000,1003.65,24.5,10.00,0.00,23.8,29.41
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1002.60,08-11-2019,04:00:00,91,0.0,3.00,000,1003.31,26.0,10.00,1.50,24.4,30.57
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1001.09,08-11-2019,04:00:00,77,7.4,0.60,240,1003.51,28.3,10.00,0.00,23.8,29.49
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1003.69,08-11-2019,04:00:00,83,14.8,0.00,220,1004.20,28.8,10.00,0.00,25.5,32.71
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,998.26,08-11-2019,04:00:00,80,0.0,0.50,000,1003.38,27.8,7.00,0.00,24.0,29.90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1003.76,08-11-2019,04:00:00,86,11.1,1.60,230,1004.17,27.9,7.00,0.00,25.3,32.32
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1002.02,08-11-2019,04:00:00,93,0.0,6.20,000,1004.78,26.5,8.00,0.00,25.2,32.07
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1004.49,08-11-2019,04:00:00,92,0.0,8.60,000,1005.28,25.3,10.00,0.00,23.8,29.54
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1004.87,08-11-2019,04:00:00,98,3.7,39.60,240,1005.33,26.3,4.00,5.00,25.9,33.35
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1004.05,08-11-2019,04:00:00,95,0.0,21.50,000,1004.74,24.8,8.00,0.80,23.9,29.69
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1003.15,08-11-2019,04:00:00,92,0.0,12.40,000,1004.68,25.2,7.00,0.00,23.7,29.36
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1004.37,08-11-2019,04:00:00,92,5.6,7.90,210,1005.29,26.2,7.00,1.30,24.8,31.22
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1004.16,08-11-2019,04:00:00,81,5.6,0.00,280,1004.85,27.7,10.00,0.00,24.1,29.98
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1005.12,08-11-2019,04:00:00,97,0.0,1.70,000,1005.93,24.6,7.00,1.30,24.2,30.12
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1004.44,08-11-2019,04:00:00,86,0.0,0.00,000,1005.08,26.2,10.00,0.00,23.7,29.33
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1005.08,08-11-2019,04:00:00,96,0.0,0.30,000,1005.49,24.7,10.00,0.00,24.0,29.77
