WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,DewPoint,StationPressure,AirTemperature,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-18-2019,22:00:00,0.0,1009.94,93,7.10,8.00,23.7,978.82,24.9,29.34,0.60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,08-18-2019,22:00:00,22.2,1006.24,92,0.00,9.00,18.5,845.59,19.8,21.30,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-18-2019,22:00:00,0.0,1007.33,80,2.00,10.00,23.8,963.98,27.6,29.52,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-18-2019,22:00:00,0.0,1007.36,86,0.00,15.00,24.4,962.02,27.0,30.56,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-18-2019,22:00:00,0.0,1009.94,100,35.60,6.00,23.0,971.87,23.0,28.07,28.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,110,08-18-2019,22:00:00,7.4,1008.47,85,0.00,10.00,23.9,963.48,26.7,29.72,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-18-2019,22:00:00,0.0,1010.15,95,69.10,6.00,23.2,983.17,24.1,28.44,42.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,300,08-18-2019,22:00:00,3.7,1009.26,78,1.60,12.00,23.2,987.54,27.4,28.35,0.01
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-18-2019,22:00:00,0.0,1010.91,92,30.20,6.00,24.0,986.65,25.5,29.91,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-18-2019,22:00:00,0.0,1010.09,84,0.01,10.00,23.5,975.52,26.4,28.90,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-18-2019,22:00:00,0.0,1009.78,92,0.40,10.00,24.6,982.15,26.0,30.84,0.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-18-2019,22:00:00,0.0,1009.15,84,0.00,10.00,23.2,975.51,26.1,28.36,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,08-18-2019,22:00:00,0.0,1008.57,90,0.60,12.00,25.7,990.10,27.5,32.93,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-18-2019,22:00:00,0.0,1009.02,84,0.10,10.00,24.6,986.23,27.5,30.97,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-18-2019,22:00:00,0.0,1008.82,88,2.00,10.00,24.8,978.95,27.0,31.38,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-18-2019,22:00:00,0.0,1009.74,94,9.60,6.00,23.5,973.95,24.5,28.89,0.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-18-2019,22:00:00,0.0,1008.77,92,1.00,10.00,24.6,978.97,26.0,30.84,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-18-2019,22:00:00,0.0,1008.91,85,0.00,10.00,25.1,1001.61,28.0,31.95,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,240,08-18-2019,22:00:00,9.3,1007.57,85,3.10,10.00,25.7,987.77,28.5,32.96,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-18-2019,22:00:00,0.0,1008.85,86,0.00,12.00,24.6,980.21,27.2,30.94,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,190,08-18-2019,22:00:00,5.6,1008.22,86,2.40,12.00,25.5,988.12,28.1,32.72,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-18-2019,22:00:00,0.0,1008.36,94,8.30,10.00,24.5,986.51,25.5,30.71,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,180,08-18-2019,22:00:00,3.7,1008.16,92,7.60,12.00,24.6,988.60,26.0,30.84,0.20
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-18-2019,22:00:00,0.0,1008.75,96,8.00,10.00,25.8,991.96,26.5,33.19,0.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-18-2019,22:00:00,0.0,1009.08,92,1.40,10.00,24.0,991.56,25.5,29.91,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-18-2019,22:00:00,0.0,1008.64,87,1.10,9.00,25.8,982.94,28.2,33.20,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-18-2019,22:00:00,0.0,1008.96,82,0.00,10.00,25.0,1003.19,28.4,31.62,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-18-2019,22:00:00,0.0,1009.52,88,0.00,12.00,25.9,1003.34,28.0,33.37,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-18-2019,22:00:00,0.0,1010.33,87,0.80,8.00,25.0,993.85,27.3,31.69,0.10
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-18-2019,22:00:00,0.0,1009.01,92,0.20,10.00,24.0,986.54,25.5,29.91,0.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,08-18-2019,22:00:00,7.4,1010.24,75,0.20,7.00,23.2,995.86,28.0,28.39,0.20
