WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall24Hr,MinimumTemperature,LandVisibility,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,MeanSeaLevelPressure
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,95,10-05-2019,07:00:00,25.8,37.60,25.2,7.00,130,24.9,1010.55,7.4,31.55,0.00,1011.97
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,85,10-05-2019,07:00:00,28.0,0.00,25.7,7.00,030,25.1,1008.36,5.6,31.95,0.00,1010.03
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,98,10-05-2019,07:00:00,23.2,2.90,22.9,10.00,000,22.9,1004.65,0.0,27.91,0.00,1012.81
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,97,10-05-2019,07:00:00,25.7,15.70,24.3,2.00,000,25.1,1010.23,0.0,31.90,0.00,1010.51
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,94,10-05-2019,07:00:00,26.0,0.00,25.1,10.00,000,25.0,1006.95,0.0,31.65,0.00,1010.10
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,92,10-05-2019,07:00:00,26.5,0.00,26.0,8.00,000,25.1,1003.92,0.0,31.79,0.00,1010.90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,10-05-2019,07:00:00,25.0,21.70,24.8,8.00,000,23.5,1005.97,0.0,29.00,0.00,1011.64
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,89,10-05-2019,07:00:00,25.8,0.00,24.8,8.00,000,23.9,1001.35,0.0,29.66,0.00,1010.73
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,96,10-05-2019,07:00:00,25.2,0.00,24.5,6.00,320,24.5,1010.11,7.4,30.69,0.00,1011.38
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,90,10-05-2019,07:00:00,26.1,0.00,25.5,11.00,310,24.4,1009.79,9.3,30.48,0.00,1010.22
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,94,10-05-2019,07:00:00,23.2,0.10,22.2,6.00,000,22.1,998.24,0.0,26.66,0.00,1010.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,87,10-05-2019,07:00:00,25.7,0.00,25.1,8.00,300,23.3,1009.49,3.7,28.69,0.00,1010.21
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,93,10-05-2019,07:00:00,26.0,0.00,25.0,6.00,360,24.8,1008.31,5.6,31.38,0.00,1010.76
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,90,10-05-2019,07:00:00,26.0,0.00,25.3,8.00,120,24.3,1009.99,3.7,30.30,0.00,1010.52
