WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,StationPressure,WindDirection,MinimumTemperature,AirTemperature,DewPoint,Rainfall,Rainfall24Hr,RelativeHumidity,WindSpeed,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.33,09-23-2019,07:00:00,1015.13,983.65,000,22.5,23.0,21.9,0.00,0.00,94,0.0,5.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,14.70,09-23-2019,07:00:00,1014.30,850.82,120,16.6,16.7,12.7,0.00,0.00,77,22.2,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.46,09-23-2019,07:00:00,1015.92,971.47,030,21.5,22.5,19.4,0.00,0.00,82,5.6,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.26,09-23-2019,07:00:00,1015.94,969.43,090,19.8,21.8,19.9,0.00,0.00,89,5.6,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.60,09-23-2019,07:00:00,1016.92,978.36,000,20.3,21.3,20.8,0.00,0.00,97,0.0,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.75,09-23-2019,07:00:00,1015.62,969.91,000,23.2,24.0,22.2,0.00,0.00,90,0.0,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.66,09-23-2019,07:00:00,1016.45,989.24,000,22.8,23.5,22.1,0.00,0.00,92,0.0,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.57,09-23-2019,07:00:00,1014.62,992.45,000,22.8,23.0,22.7,0.00,15.80,98,0.0,7.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.53,09-23-2019,07:00:00,1014.60,990.13,000,22.5,24.0,23.3,0.00,0.50,96,0.0,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.50,09-23-2019,07:00:00,1015.21,980.18,000,23.6,24.0,22.0,0.40,1.20,89,0.0,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.78,09-23-2019,07:00:00,1015.11,987.15,000,23.2,24.0,23.4,0.00,14.00,97,0.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.09,09-23-2019,07:00:00,1014.73,980.63,000,23.4,23.6,23.0,0.00,0.00,96,0.0,8.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.72,09-23-2019,07:00:00,1015.12,996.35,000,24.3,24.7,23.4,0.00,0.00,92,0.0,3.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.52,09-23-2019,07:00:00,1016.06,992.73,000,22.3,22.5,21.4,3.40,3.40,94,0.0,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.03,09-23-2019,07:00:00,1016.04,985.45,000,21.8,22.0,20.5,0.20,0.20,91,0.0,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.78,09-23-2019,07:00:00,1015.02,978.98,000,23.6,24.0,23.4,0.00,0.20,97,0.0,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.18,09-23-2019,07:00:00,1015.68,985.28,000,21.5,22.0,21.8,0.00,0.00,99,0.0,3.00
