WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,LandVisibility,WindDirection,Rainfall,VaporPressure,MeanSeaLevelPressure,WindSpeed,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.20,07-09-2019,04:00:00,94,23.2,24.2,7.00,000,0.00,28.36,1007.35,0.0,976.24
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,2.40,07-09-2019,04:00:00,93,17.3,18.5,7.00,270,0.00,19.79,1004.53,18.5,843.52
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.90,07-09-2019,04:00:00,86,22.2,24.7,10.00,000,0.00,26.68,1006.79,0.0,963.05
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,2.00,07-09-2019,04:00:00,93,22.8,24.0,12.00,000,0.00,27.76,1005.58,0.0,959.88
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,7.40,07-09-2019,04:00:00,99,23.8,24.0,6.00,000,0.00,29.56,1006.51,0.0,968.69
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-09-2019,04:00:00,93,23.6,24.8,10.00,000,0.00,29.16,1006.23,0.0,961.07
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.01,07-09-2019,04:00:00,91,24.2,25.8,8.00,000,0.00,30.19,1006.86,0.0,980.12
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.20,07-09-2019,04:00:00,94,22.9,23.9,10.00,000,0.00,27.84,1007.04,0.0,985.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,57.30,07-09-2019,04:00:00,95,23.1,24.0,5.00,000,0.00,28.27,1008.18,0.0,983.87
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,9.90,07-09-2019,04:00:00,88,23.3,25.5,10.00,000,0.00,28.59,1006.66,0.0,972.11
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.60,07-09-2019,04:00:00,84,22.5,25.5,10.00,000,0.00,27.29,1006.04,0.0,978.47
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-09-2019,04:00:00,80,21.7,25.5,10.00,000,0.00,26.02,1006.46,0.0,972.85
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.60,07-09-2019,04:00:00,96,24.3,25.0,10.00,000,0.00,30.32,1006.41,0.0,987.82
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-09-2019,04:00:00,90,24.1,25.8,10.00,000,0.00,29.93,1006.67,0.0,983.82
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-09-2019,04:00:00,95,23.1,24.0,8.00,000,0.00,28.27,1006.54,0.0,976.44
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.60,07-09-2019,04:00:00,93,23.6,24.8,6.00,000,0.00,29.16,1006.34,0.0,970.70
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-09-2019,04:00:00,83,21.8,25.0,10.00,000,0.00,26.18,1004.94,0.0,975.17
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,4.30,07-09-2019,04:00:00,92,24.0,25.5,8.00,000,0.00,29.91,1006.40,0.0,999.06
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.80,07-09-2019,04:00:00,83,24.5,27.7,10.00,000,0.00,30.81,1005.09,0.0,985.29
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-09-2019,04:00:00,62,20.2,28.3,13.00,330,0.00,23.73,1005.28,11.1,976.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10.10,07-09-2019,04:00:00,80,23.4,27.2,10.00,210,0.00,28.78,1005.31,1.9,985.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.40,07-09-2019,04:00:00,93,24.8,26.0,10.00,000,0.30,31.38,1006.57,0.0,984.80
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.50,07-09-2019,04:00:00,90,25.0,26.7,10.00,000,0.20,31.63,1005.79,0.0,986.32
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.90,07-09-2019,04:00:00,93,24.6,25.9,9.00,000,7.20,30.92,1006.47,0.0,989.68
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,4.10,07-09-2019,04:00:00,93,25.3,26.4,10.00,000,3.60,32.15,1006.64,0.0,989.21
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-09-2019,04:00:00,86,24.4,26.9,10.00,000,0.00,30.64,1005.33,0.0,979.61
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-09-2019,04:00:00,76,22.5,27.1,10.00,240,0.00,27.27,1006.50,3.7,1000.72
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-09-2019,04:00:00,78,22.7,26.8,10.00,000,0.00,27.52,1006.35,0.0,1000.16
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-09-2019,04:00:00,88,23.8,26.0,8.00,000,0.00,29.50,1007.16,0.0,990.67
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.00,07-09-2019,04:00:00,95,22.7,23.6,8.00,090,0.00,27.58,1006.46,5.6,983.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-09-2019,04:00:00,73,21.8,27.0,6.00,260,0.00,26.06,1007.57,9.3,993.18
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.20,07-09-2019,04:00:00,76,21.5,26.0,7.00,000,0.00,25.61,1007.66,0.0,991.22
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,07-09-2019,04:00:00,90,25.3,27.0,10.00,000,0.00,32.21,1006.98,0.0,1001.75
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.50,07-09-2019,04:00:00,92,24.0,25.5,10.00,000,0.00,29.91,1005.90,0.0,992.66
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-09-2019,04:00:00,82,22.9,26.1,10.00,000,0.00,27.83,1007.07,0.0,997.72
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-09-2019,04:00:00,78,22.8,27.1,10.00,220,0.00,27.80,1006.02,7.4,984.37
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-09-2019,04:00:00,83,23.5,26.6,8.00,000,0.00,29.00,1005.08,0.0,987.59
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-09-2019,04:00:00,84,24.1,27.1,10.00,200,0.00,29.93,1005.13,5.6,989.33
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-09-2019,04:00:00,84,24.5,27.4,8.00,220,0.00,30.78,1005.07,5.6,986.25
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,4.20,07-09-2019,04:00:00,89,20.8,22.8,4.00,000,1.60,24.56,1007.97,0.0,956.22
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,8.30,07-09-2019,04:00:00,93,24.6,25.8,5.00,000,0.00,31.00,1006.98,0.0,1003.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.50,07-09-2019,04:00:00,98,19.9,20.2,.20,230,0.00,23.20,1008.10,20.4,912.51
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.50,07-09-2019,04:00:00,88,24.4,26.6,6.00,000,0.00,30.62,1006.06,0.0,990.07
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-09-2019,04:00:00,92,25.0,26.4,10.00,000,0.00,31.60,1006.72,0.0,1002.68
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-09-2019,04:00:00,86,23.5,26.0,7.00,000,0.00,28.97,1008.47,0.0,997.74
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-09-2019,04:00:00,83,23.4,26.5,8.00,180,0.00,28.82,1007.45,9.3,1005.52
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.20,07-09-2019,04:00:00,82,22.6,26.0,10.00,000,0.00,27.40,1007.23,0.0,986.30
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-09-2019,04:00:00,80,23.3,27.0,10.00,200,0.00,28.67,1005.98,5.6,988.33
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-09-2019,04:00:00,82,24.2,27.5,10.00,200,0.00,30.15,1006.09,14.8,989.98
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.80,07-09-2019,04:00:00,92,24.6,26.0,10.00,000,0.00,30.84,1007.40,0.0,993.31
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,7.80,07-09-2019,04:00:00,95,24.6,25.5,9.00,000,0.00,30.98,1008.28,0.0,993.36
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-09-2019,04:00:00,87,23.8,26.1,7.00,230,0.00,29.41,1008.28,13.0,993.55
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-09-2019,04:00:00,85,23.7,26.5,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,29.35,1007.08,0.0,1004.06
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.60,07-09-2019,04:00:00,83,23.3,26.4,7.00,000,0.00,28.64,1007.16,0.0,999.19
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-09-2019,04:00:00,81,23.0,26.5,7.00,190,0.00,28.03,1007.94,3.7,1006.83
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-09-2019,04:00:00,82,24.5,27.8,8.00,000,0.00,30.72,1007.20,0.0,992.55
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},4.00,07-09-2019,04:00:00,99,19.1,19.3,.05,260,0.00,22.15,1008.71,9.3,873.41
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-09-2019,04:00:00,80,22.0,25.7,10.00,000,0.00,26.37,1007.60,0.0,1001.69
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-09-2019,04:00:00,94,26.5,27.6,8.00,240,0.00,34.56,1008.20,3.7,1007.40
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-09-2019,04:00:00,82,24.8,28.2,10.00,000,0.00,31.23,1005.76,0.0,1005.32
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.10,07-09-2019,04:00:00,96,24.3,25.0,3.00,000,0.40,30.32,1008.92,0.0,997.53
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-09-2019,04:00:00,86,24.0,26.6,10.00,230,0.00,29.80,1008.05,3.7,1007.03
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-09-2019,04:00:00,87,24.2,26.5,8.00,000,0.00,30.16,1007.81,0.0,1005.98
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.90,07-09-2019,04:00:00,96,24.4,25.1,7.00,000,0.00,30.50,1007.94,0.0,1007.16
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,6.00,07-09-2019,04:00:00,83,24.0,27.2,10.00,210,0.00,29.85,1008.30,7.4,1007.60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,12.80,07-09-2019,04:00:00,94,26.0,27.0,7.00,000,0.00,33.62,1008.15,0.0,1007.44
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-09-2019,04:00:00,77,22.1,26.6,10.00,270,0.00,26.65,1007.58,5.6,986.38
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.30,07-09-2019,04:00:00,85,23.5,26.3,7.00,000,0.00,28.98,1007.43,0.0,990.67
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-09-2019,04:00:00,86,23.8,26.3,6.00,230,0.00,29.52,1008.20,7.4,991.71
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-09-2019,04:00:00,84,22.2,25.2,10.00,000,0.00,26.78,1007.58,0.0,985.59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-09-2019,04:00:00,76,21.4,26.1,12.00,250,0.00,25.53,1007.77,3.7,964.37
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-09-2019,04:00:00,84,22.5,25.5,10.00,000,0.00,27.29,1007.35,0.0,986.68
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.01,07-09-2019,04:00:00,90,24.2,25.9,8.00,210,0.00,30.11,1008.99,13.0,988.06
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.10,07-09-2019,04:00:00,78,23.7,27.9,10.00,230,0.00,29.28,1008.05,9.3,1007.62
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,22.00,07-09-2019,04:00:00,96,24.4,25.1,6.00,000,0.00,30.50,1007.93,0.0,1006.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,2.90,07-09-2019,04:00:00,99,24.9,25.1,7.00,000,0.00,31.58,1008.67,0.0,1003.70
