WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,DewPoint,StationPressure,MaximumTemperature,Rainfall24Hr,Rainfall,WindSpeed,RelativeHumidity,LandVisibility,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.46,08-20-2019,19:00:00,1001.22,30.5,24.3,970.93,34.5,0.00,0.00,0.0,70,12.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.28,08-20-2019,19:00:00,1000.68,21.5,19.9,841.75,28.1,0.00,0.00,0.0,91,8.00,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.85,08-20-2019,19:00:00,1001.79,28.0,22.9,958.73,33.7,0.00,0.00,14.8,74,10.00,180
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.60,08-20-2019,19:00:00,1001.65,28.5,23.9,956.79,34.0,1.80,0.00,13.0,76,12.00,230
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.66,08-20-2019,19:00:00,1003.33,26.8,25.5,965.97,34.4,0.60,0.60,5.6,93,8.00,330
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.91,08-20-2019,19:00:00,1002.69,25.5,24.0,957.79,32.5,0.00,0.00,0.0,92,8.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,34.75,08-20-2019,19:00:00,1002.18,29.5,26.6,975.88,34.0,0.00,0.00,7.4,84,10.00,150
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.44,08-20-2019,19:00:00,1002.95,27.7,23.8,981.38,35.9,0.00,0.00,14.8,79,17.00,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.38,08-20-2019,19:00:00,1003.31,27.0,24.8,979.35,32.5,40.90,0.00,0.0,88,8.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.14,08-20-2019,19:00:00,1002.49,28.3,24.7,968.39,34.5,0.20,0.20,7.4,81,10.00,130
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.57,08-20-2019,19:00:00,1003.01,29.0,24.4,975.83,35.8,0.00,0.00,0.0,76,10.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.13,08-20-2019,19:00:00,1002.57,26.3,24.7,969.18,35.6,1.60,1.60,9.3,91,10.00,020
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.97,08-20-2019,19:00:00,1002.08,30.4,25.2,983.90,33.9,1.00,0.00,3.7,74,12.00,260
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.85,08-20-2019,19:00:00,1002.21,29.5,25.1,979.73,34.6,0.00,0.00,0.0,77,10.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.39,08-20-2019,19:00:00,1002.38,28.0,24.8,972.80,32.6,0.00,0.00,0.0,83,12.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.13,08-20-2019,19:00:00,1002.03,30.2,25.2,967.16,33.5,0.00,0.00,0.0,75,8.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,27.42,08-20-2019,19:00:00,1003.03,23.8,22.6,973.19,33.5,4.60,4.60,3.7,93,12.00,260
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.10,08-20-2019,19:00:00,1003.02,31.3,25.2,995.85,34.3,0.00,0.00,0.0,70,7.00,000
