WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,DewPoint,VaporPressure,MinimumTemperature,RelativeHumidity,StationPressure,LandVisibility
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-27-2019,07:00:00,0.00,28.1,1006.58,1.10,5.6,25.1,31.87,26.7,84,1006.13,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-27-2019,07:00:00,0.70,24.0,1007.16,32.20,0.0,23.7,29.30,23.8,98,995.75,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,200,08-27-2019,07:00:00,0.00,26.1,1006.66,0.00,5.6,23.2,28.36,25.5,84,1005.65,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,120,08-27-2019,07:00:00,0.00,25.2,1006.45,2.80,3.7,23.4,28.83,25.0,90,1004.61,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,230,08-27-2019,07:00:00,0.00,25.4,1006.24,0.20,3.7,22.6,27.38,24.9,84,1005.47,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,000,08-27-2019,07:00:00,0.00,26.9,1007.00,0.01,0.0,23.5,29.02,25.4,82,1006.29,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-27-2019,07:00:00,0.00,26.2,1006.67,0.30,0.0,24.5,30.67,25.5,90,1005.97,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,08-27-2019,07:00:00,0.01,25.8,1006.19,0.01,0.0,23.3,28.60,25.2,86,984.97,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-27-2019,07:00:00,0.00,25.2,1006.47,0.20,0.0,24.0,29.89,24.0,93,989.67,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-27-2019,07:00:00,0.50,25.0,1006.66,0.70,5.6,23.5,29.00,23.8,92,990.13,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-27-2019,07:00:00,0.00,25.5,1006.31,0.00,0.0,22.5,27.29,24.7,84,984.36,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,08-27-2019,07:00:00,0.00,24.1,1006.78,0.01,14.8,21.2,25.19,23.4,84,963.15,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,160,08-27-2019,07:00:00,0.00,25.0,1006.05,0.00,3.7,23.5,29.00,24.4,92,985.37,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,200,08-27-2019,07:00:00,0.00,25.0,1007.57,0.40,11.1,25.0,31.66,24.5,100,986.60,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,200,08-27-2019,07:00:00,0.00,26.9,1006.80,2.10,3.7,24.4,30.64,26.0,86,1006.37,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-27-2019,07:00:00,0.00,25.4,1006.69,0.00,0.0,24.7,31.06,25.1,96,1005.26,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-27-2019,07:00:00,0.00,25.6,1007.17,0.01,0.0,24.7,31.17,25.4,95,1002.21,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,08-27-2019,07:00:00,0.10,25.3,1006.39,2.90,0.0,23.8,29.54,23.5,92,1003.08,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-27-2019,07:00:00,0.00,25.0,1006.91,0.50,0.0,23.7,29.26,24.0,92,1005.80,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,160,08-27-2019,07:00:00,0.00,27.1,1006.87,2.00,3.7,23.6,29.13,26.2,81,1006.57,9.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,250,08-27-2019,07:00:00,0.01,26.1,1006.65,5.30,5.6,24.5,30.76,25.5,91,1005.96,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,270,08-27-2019,07:00:00,0.00,26.0,1006.38,6.50,1.9,24.6,30.84,25.5,92,1005.89,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,200,08-27-2019,07:00:00,0.00,26.3,1006.98,13.80,7.4,23.2,28.46,25.4,83,1005.57,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-27-2019,07:00:00,0.01,28.3,1006.86,0.10,11.1,25.8,33.12,25.8,86,1005.19,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,08-27-2019,07:00:00,0.00,25.5,1008.11,0.00,0.0,24.0,29.91,25.0,92,1000.05,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-27-2019,07:00:00,0.00,27.7,1006.81,0.20,0.0,22.2,26.78,25.5,72,1006.53,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,08-27-2019,07:00:00,0.00,28.3,1006.63,0.80,0.0,25.0,31.70,27.7,82,1003.51,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,220,08-27-2019,07:00:00,0.10,26.7,1006.85,0.10,9.3,25.3,32.18,26.5,92,999.90,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,08-27-2019,07:00:00,0.00,26.0,1007.50,0.01,0.0,24.6,30.84,25.5,92,1001.88,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,290,08-27-2019,07:00:00,0.00,28.0,1007.79,0.01,13.0,23.2,28.39,27.1,75,998.50,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,08-27-2019,07:00:00,0.00,24.7,1007.64,5.80,0.0,24.4,30.56,24.4,98,1006.36,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,08-27-2019,07:00:00,0.00,26.2,1006.97,4.40,0.0,23.0,28.01,25.5,82,1006.54,11.00
