WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,StationPressure,DewPoint,Rainfall,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,09-22-2019,13:00:00,0.0,980.23,24.6,0.00,000,1011.05,2.10,81,30.95,28.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-22-2019,13:00:00,55.6,849.18,14.7,0.00,120,1010.40,0.00,72,16.71,20.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,15.00,09-22-2019,13:00:00,9.3,968.30,19.4,0.00,070,1011.22,0.00,48,22.56,31.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-22-2019,13:00:00,5.6,966.17,20.5,0.00,090,1011.09,0.00,54,24.07,31.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,09-22-2019,13:00:00,0.0,973.07,24.0,0.00,000,1010.03,0.00,62,29.91,32.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,09-22-2019,13:00:00,5.6,967.58,20.5,0.00,050,1011.88,4.20,49,24.16,32.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,09-22-2019,13:00:00,5.6,984.98,22.3,0.00,080,1011.26,0.50,55,26.86,32.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,09-22-2019,13:00:00,5.6,988.98,22.7,0.00,020,1010.46,16.80,61,27.65,31.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,09-22-2019,13:00:00,0.0,985.69,23.3,0.00,000,1009.40,0.00,60,28.66,32.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-22-2019,13:00:00,0.0,977.20,21.1,0.00,000,1011.44,11.80,60,25.06,29.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-22-2019,13:00:00,0.0,983.79,23.0,0.00,000,1011.00,25.80,63,28.09,31.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-22-2019,13:00:00,0.0,978.19,23.1,0.00,000,1011.75,1.50,76,28.18,27.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.00,09-22-2019,13:00:00,5.6,991.99,23.8,0.00,010,1010.15,0.50,58,29.46,33.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-22-2019,13:00:00,0.0,988.22,21.0,0.00,000,1010.73,15.70,53,24.81,31.7
