WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,StationPressure,DewPoint,Rainfall,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,VaporPressure,AirTemperature
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,09-22-2019,13:00:00,0.0,981.15,24.1,0.00,000,1010.69,0.00,67,30.05,31.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,09-22-2019,13:00:00,0.0,975.87,22.9,0.00,000,1011.13,12.80,68,27.96,29.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,09-22-2019,13:00:00,9.3,980.79,22.2,0.00,100,1010.12,0.00,59,26.75,31.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,09-22-2019,13:00:00,0.0,1002.65,22.9,0.00,000,1009.83,0.00,55,27.84,33.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,9.00,09-22-2019,13:00:00,14.8,990.73,22.7,0.00,030,1010.31,0.00,56,27.52,32.7
48353,LOEI,เลย,เลย,17.45000,101.73333,9.00,09-22-2019,13:00:00,11.1,982.36,21.9,0.00,120,1010.60,0.00,55,26.28,32.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,09-22-2019,13:00:00,7.4,991.18,21.0,0.00,070,1011.05,0.00,51,24.87,32.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,09-22-2019,13:00:00,11.1,990.65,20.6,0.00,050,1012.20,0.00,55,24.24,30.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,09-22-2019,13:00:00,5.6,991.77,20.8,0.00,140,1011.10,0.00,56,24.48,30.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,09-22-2019,13:00:00,5.6,994.89,18.7,0.00,080,1011.47,0.00,48,21.60,31.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,09-22-2019,13:00:00,9.3,994.80,19.6,0.00,090,1012.11,0.00,54,22.84,30.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,09-22-2019,13:00:00,9.3,984.91,21.1,0.00,060,1010.41,0.00,55,25.04,31.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-22-2019,13:00:00,5.6,1004.92,25.6,0.00,220,1010.65,3.40,71,32.81,31.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,09-22-2019,13:00:00,11.1,1005.53,24.7,0.00,340,1011.64,0.00,64,31.11,32.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-22-2019,13:00:00,7.4,994.03,20.9,0.00,180,1010.17,0.00,48,24.75,33.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-22-2019,13:00:00,16.7,985.92,21.5,0.00,060,1007.91,5.60,55,25.61,31.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,09-22-2019,13:00:00,5.6,997.12,24.6,0.00,270,1011.41,7.10,72,30.91,30.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,12.00,09-22-2019,13:00:00,0.0,994.34,23.7,0.00,000,1010.55,17.90,65,29.32,31.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-22-2019,13:00:00,5.6,1005.24,24.4,0.00,240,1010.40,3.30,65,30.61,31.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-22-2019,13:00:00,0.0,995.49,22.6,0.00,000,1008.43,0.00,53,27.43,33.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.00,09-22-2019,13:00:00,3.7,1001.48,23.2,0.00,110,1010.70,14.70,62,28.51,31.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,09-22-2019,13:00:00,11.1,989.08,22.6,0.00,060,1010.52,1.80,59,27.41,31.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,09-22-2019,13:00:00,11.1,993.32,24.2,0.00,020,1010.51,8.70,59,30.28,33.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,09-22-2019,13:00:00,3.7,995.13,21.6,0.00,040,1010.84,0.00,59,25.80,30.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,09-22-2019,13:00:00,9.3,991.33,23.7,0.00,060,1010.01,8.60,65,29.32,31.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,09-22-2019,13:00:00,0.0,958.15,22.6,0.00,000,1009.11,21.60,73,27.40,27.9
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,09-22-2019,13:00:00,3.7,1006.34,24.2,0.00,270,1010.24,8.30,63,30.28,32.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,8.00,09-22-2019,13:00:00,11.1,916.41,20.0,0.00,060,1011.07,3.50,78,23.41,24.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,09-22-2019,13:00:00,11.1,995.10,23.2,0.00,100,1010.96,2.00,65,28.50,30.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,09-22-2019,13:00:00,1.9,1006.71,24.2,0.00,080,1010.71,24.40,67,30.25,31.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,09-22-2019,13:00:00,11.1,1000.23,21.5,0.00,030,1010.78,1.60,55,25.61,31.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,12.00,09-22-2019,13:00:00,0.0,1009.00,22.8,0.00,000,1010.91,13.40,61,27.74,31.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-22-2019,13:00:00,14.8,989.38,21.4,0.00,060,1010.04,2.60,58,25.55,30.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-22-2019,13:00:00,14.8,993.06,21.7,0.00,030,1010.59,0.00,60,25.96,30.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-22-2019,13:00:00,14.8,994.48,22.3,0.00,070,1010.44,0.50,57,26.89,31.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-22-2019,13:00:00,3.7,997.09,22.8,0.00,080,1011.04,4.50,65,27.74,30.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,09-22-2019,13:00:00,0.0,996.34,23.4,0.00,000,1011.15,0.40,74,28.78,28.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,8.00,09-22-2019,13:00:00,5.6,996.70,24.3,0.00,170,1011.36,26.50,78,30.42,28.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-22-2019,13:00:00,0.0,1007.56,22.8,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.54,8.30,60,27.76,31.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,09-22-2019,13:00:00,13.0,1001.89,22.7,0.00,020,1009.72,2.20,56,27.52,32.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,09-22-2019,13:00:00,9.3,1009.09,24.3,0.00,080,1010.19,12.20,68,30.33,31.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,09-22-2019,13:00:00,0.0,996.27,26.5,0.00,000,1010.81,0.00,76,34.54,31.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,09-22-2019,13:00:00,13.0,874.65,19.1,0.00,060,1009.60,37.20,92,22.13,20.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,09-22-2019,13:00:00,14.8,1004.24,23.3,0.00,030,1010.06,0.00,64,28.65,31.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-22-2019,13:00:00,7.4,1009.83,24.7,0.00,150,1010.63,40.90,80,31.18,28.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.00,09-22-2019,13:00:00,14.8,1009.75,22.6,0.01,120,1010.20,5.90,77,27.36,27.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,8.00,09-22-2019,13:00:00,0.0,999.06,24.0,0.00,000,1010.27,48.40,68,29.89,30.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,09-22-2019,13:00:00,5.6,1009.44,24.8,0.00,090,1010.44,36.30,69,31.39,31.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,09-22-2019,13:00:00,7.4,1008.33,22.0,0.00,330,1010.14,65.50,57,26.51,31.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,09-22-2019,13:00:00,0.0,1009.38,22.9,0.00,000,1010.13,37.00,61,27.93,31.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,09-22-2019,13:00:00,9.3,1009.72,22.6,0.00,050,1010.43,2.40,76,27.45,27.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-22-2019,13:00:00,7.4,1008.94,22.6,0.00,090,1009.64,37.50,67,27.42,29.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-22-2019,13:00:00,13.0,989.20,22.4,0.00,070,1010.24,32.30,65,27.07,29.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.00,09-22-2019,13:00:00,7.4,994.14,23.6,0.00,120,1010.81,22.80,73,29.19,29.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,09-22-2019,13:00:00,11.1,994.84,23.9,0.00,040,1011.23,26.20,74,29.74,29.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-22-2019,13:00:00,3.7,988.53,23.2,0.00,150,1010.35,21.70,73,28.51,28.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,6.00,09-22-2019,13:00:00,13.0,966.84,22.2,0.00,080,1010.39,11.20,81,26.79,25.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.00,09-22-2019,13:00:00,9.3,990.05,24.6,1.40,070,1010.75,58.60,92,30.84,26.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,09-22-2019,13:00:00,27.8,991.55,24.0,0.00,060,1012.32,19.60,74,29.85,29.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,7.00,09-22-2019,13:00:00,3.7,1010.40,23.8,62.10,240,1010.84,103.10,97,29.39,24.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-22-2019,13:00:00,5.6,1008.87,23.9,0.30,070,1010.30,96.00,89,29.66,25.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10.00,09-22-2019,13:00:00,0.0,1004.55,24.8,0.01,000,1009.47,19.50,80,31.26,28.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,4.00,09-22-2019,13:00:00,14.8,1007.53,24.3,5.70,150,1010.85,34.00,90,30.30,26.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,8.00,09-22-2019,13:00:00,3.7,1009.78,25.8,1.70,120,1010.89,6.90,97,33.27,26.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,09-22-2019,13:00:00,0.0,1009.98,22.9,0.01,000,1010.28,9.40,75,27.83,27.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,09-22-2019,13:00:00,5.6,1009.81,23.2,0.01,070,1010.50,14.20,79,28.51,27.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-22-2019,13:00:00,5.6,1010.24,23.5,0.00,110,1010.73,10.20,72,28.91,29.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-22-2019,13:00:00,0.0,1009.27,23.7,0.00,000,1010.67,7.20,75,29.33,28.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,5.00,09-22-2019,13:00:00,18.5,1008.67,23.9,25.40,030,1010.36,61.90,85,29.72,26.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,8.00,09-22-2019,13:00:00,3.7,1003.57,24.3,0.01,360,1011.63,7.30,90,30.30,26.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-22-2019,13:00:00,5.6,1009.55,25.0,0.01,270,1009.84,85.20,90,31.63,26.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,8.00,09-22-2019,13:00:00,5.6,1006.99,24.8,3.50,300,1010.13,34.80,88,31.38,27.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-22-2019,13:00:00,11.1,1003.44,24.9,0.00,330,1010.37,5.40,81,31.54,28.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-22-2019,13:00:00,11.1,1004.66,24.4,0.00,040,1010.24,43.60,76,30.57,29.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.00,09-22-2019,13:00:00,7.4,1002.70,25.1,4.80,280,1012.03,32.80,85,31.95,28.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.00,09-22-2019,13:00:00,0.0,1010.79,23.7,65.60,000,1012.07,83.90,99,29.38,23.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,8.00,09-22-2019,13:00:00,11.1,1010.18,24.7,2.70,330,1010.61,18.60,95,31.17,25.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,09-22-2019,13:00:00,3.7,997.88,24.2,0.00,230,1010.11,44.20,78,30.15,28.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-22-2019,13:00:00,5.6,1009.37,24.8,0.00,090,1010.09,37.00,80,31.38,28.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,9.00,09-22-2019,13:00:00,7.4,1008.00,25.0,0.00,290,1010.42,0.01,75,31.72,30.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-22-2019,13:00:00,18.5,1009.71,24.8,0.00,240,1010.23,0.40,72,31.31,30.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.00,09-22-2019,13:00:00,7.4,1004.46,23.8,0.01,220,1009.58,2.20,69,29.47,30.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10.00,09-22-2019,13:00:00,9.3,1009.18,25.4,0.00,170,1009.59,17.70,72,32.34,31.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-22-2019,13:00:00,0.0,1007.18,25.9,0.00,000,1009.92,23.90,76,33.34,30.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,8.00,09-22-2019,13:00:00,0.0,1009.80,25.1,1.50,000,1010.58,9.40,84,31.87,28.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10.00,09-22-2019,13:00:00,5.6,1010.04,25.9,0.00,290,1010.49,8.20,79,33.46,30.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,12.00,09-22-2019,13:00:00,5.6,1008.99,25.4,0.00,100,1009.67,1.20,73,32.42,30.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.00,09-22-2019,13:00:00,7.4,1008.17,24.6,0.00,270,1009.68,0.20,69,30.90,31.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-22-2019,13:00:00,5.6,1008.50,22.8,0.00,240,1009.41,0.00,60,27.68,31.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,8.00,09-22-2019,13:00:00,7.4,1009.98,25.9,0.20,080,1010.67,2.20,91,33.50,27.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,09-22-2019,13:00:00,0.0,1009.54,26.5,0.00,000,1010.33,0.00,82,34.64,30.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.00,09-22-2019,13:00:00,0.0,1007.45,25.0,0.00,000,1008.07,0.20,70,31.68,31.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,6.00,09-22-2019,13:00:00,0.0,1009.19,26.3,0.00,000,1009.59,0.10,75,34.24,31.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,09-22-2019,13:00:00,1.9,1008.08,25.8,0.00,350,1012.28,15.40,83,33.12,29.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,09-22-2019,13:00:00,0.0,1007.34,23.7,0.00,000,1008.93,0.00,64,29.24,31.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,09-22-2019,13:00:00,0.0,1006.64,25.6,0.00,000,1010.09,0.70,75,32.75,30.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,4.00,09-22-2019,13:00:00,5.6,1008.87,27.2,0.00,060,1010.24,0.60,104,36.05,26.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-22-2019,13:00:00,0.0,1008.54,24.3,0.00,000,1009.42,0.00,71,30.31,30.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-22-2019,13:00:00,5.6,1007.03,24.6,0.00,110,1010.55,0.00,68,30.94,31.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.00,09-22-2019,13:00:00,0.0,1010.36,25.2,0.60,000,1010.79,0.60,78,32.13,29.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,7.00,09-22-2019,13:00:00,9.3,1008.67,23.9,0.00,090,1009.65,0.00,63,29.67,31.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,8.00,09-22-2019,13:00:00,0.0,1008.81,25.8,5.40,000,1009.62,5.40,86,33.12,28.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,3.50,09-22-2019,13:00:00,0.0,1007.37,24.7,0.00,000,1009.15,0.00,64,31.11,32.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.00,09-22-2019,13:00:00,9.3,1008.89,25.7,0.00,090,1009.63,1.20,78,33.08,30.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.00,09-22-2019,13:00:00,13.0,1005.46,24.6,0.00,020,1009.41,0.00,67,30.86,31.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,3.00,09-22-2019,13:00:00,7.4,1008.91,24.4,0.00,270,1009.58,0.00,62,30.53,32.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.00,09-22-2019,13:00:00,11.1,1007.99,25.0,0.00,340,1009.09,0.00,70,31.68,31.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,8.00,09-22-2019,13:00:00,7.4,1006.36,25.0,0.00,030,1009.23,3.20,64,31.74,32.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,09-22-2019,13:00:00,0.0,1008.97,27.1,0.00,000,1009.65,0.00,72,35.97,32.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.00,09-22-2019,13:00:00,0.0,1004.72,24.0,0.00,000,1008.76,0.01,60,29.91,32.9
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,8.00,09-22-2019,13:00:00,14.8,1008.12,24.7,0.00,090,1008.69,80.00,67,31.19,31.7
