WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,MeanSeaLevelPressure,AirTemperature,StationPressure,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,WindSpeed
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,31.60,08-06-2019,01:00:00,0.30,1006.69,26.4,1003.39,92,5.00,4.50,000,25.0,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.94,08-06-2019,01:00:00,0.00,1005.59,26.8,1004.48,94,10.00,1.10,000,25.7,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.68,08-06-2019,01:00:00,0.00,1006.33,27.8,1006.03,88,10.00,22.80,000,25.5,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.16,08-06-2019,01:00:00,0.00,1006.21,26.6,1005.72,90,10.00,23.50,000,24.7,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,33.66,08-06-2019,01:00:00,0.00,1006.26,27.3,1004.85,93,10.00,9.20,140,26.0,3.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.50,08-06-2019,01:00:00,0.00,1008.29,26.0,1000.25,88,10.00,20.40,000,23.8,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.94,08-06-2019,01:00:00,0.00,1006.14,28.0,1005.86,90,10.00,6.80,000,26.2,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.37,08-06-2019,01:00:00,0.00,1006.31,29.0,1003.20,71,10.00,0.50,000,23.2,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.31,08-06-2019,01:00:00,0.00,1006.33,28.3,999.43,79,10.00,0.60,240,24.3,13.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.02,08-06-2019,01:00:00,0.01,1006.98,27.0,1001.38,84,7.00,0.01,000,24.1,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.79,08-06-2019,01:00:00,0.01,1007.03,26.3,1005.77,96,8.00,6.30,000,25.6,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.31,08-06-2019,01:00:00,0.00,1006.48,28.3,1006.05,79,11.00,3.30,270,24.3,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.54,08-06-2019,01:00:00,0.00,1006.48,25.3,994.16,92,10.00,15.90,000,23.8,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,32.00,08-06-2019,01:00:00,0.00,1006.59,27.6,1005.88,87,10.00,6.40,220,25.2,3.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.79,08-06-2019,01:00:00,0.00,1006.57,28.6,1004.15,76,10.00,2.60,230,24.0,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.14,08-06-2019,01:00:00,0.00,1006.67,28.8,1006.15,81,10.00,7.40,260,25.2,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.00,08-06-2019,01:00:00,0.00,1006.60,27.8,1001.46,83,10.00,4.80,000,24.6,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.66,08-06-2019,01:00:00,0.00,1007.08,26.8,1006.66,93,7.00,66.10,000,25.5,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.20,08-06-2019,01:00:00,0.00,1007.30,26.0,1004.52,96,8.00,42.10,000,25.3,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.50,08-06-2019,01:00:00,0.00,1005.87,26.0,1005.08,88,10.00,14.60,000,23.8,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.49,08-06-2019,01:00:00,0.00,1007.51,25.2,1007.04,98,6.00,68.20,050,24.9,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.17,08-06-2019,01:00:00,1.40,1007.36,25.6,1006.68,95,7.00,10.60,000,24.7,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.91,08-06-2019,01:00:00,2.00,1007.87,25.5,1006.33,92,7.00,10.00,000,24.0,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.30,08-06-2019,01:00:00,8.60,1008.12,26.0,1007.20,90,10.00,36.10,190,24.3,9.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.26,08-06-2019,01:00:00,0.00,1008.08,27.7,1007.40,81,10.00,12.30,000,24.2,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.49,08-06-2019,01:00:00,0.00,1008.36,25.2,1007.56,98,7.00,17.80,000,24.9,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.53,08-06-2019,01:00:00,0.00,1007.68,26.7,1007.04,87,10.00,2.60,250,24.4,1.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.60,08-06-2019,01:00:00,0.00,1007.84,27.5,1007.44,81,10.00,0.00,000,23.9,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.18,08-06-2019,01:00:00,0.00,1010.21,26.0,1005.98,84,5.00,2.60,000,23.1,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.60,08-06-2019,01:00:00,0.00,1008.64,25.4,1007.02,97,7.00,0.00,000,25.0,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.17,08-06-2019,01:00:00,0.00,1008.85,25.6,1005.35,95,10.00,0.20,000,24.7,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.02,08-06-2019,01:00:00,0.00,1008.14,27.0,1006.78,84,8.00,0.00,000,24.1,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.74,08-06-2019,01:00:00,0.00,1008.60,29.0,1007.72,74,10.00,2.70,240,23.9,18.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.13,08-06-2019,01:00:00,0.00,1008.52,26.2,1004.95,89,10.00,0.00,000,24.2,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,27.71,08-06-2019,01:00:00,0.00,1008.38,29.8,1007.95,66,10.00,0.00,000,22.8,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.40,08-06-2019,01:00:00,0.00,1007.94,29.3,1006.95,70,10.00,0.00,290,23.2,16.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.36,08-06-2019,01:00:00,0.00,1008.55,29.4,1007.75,77,10.00,6.20,250,24.8,24.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.89,08-06-2019,01:00:00,0.00,1008.61,27.2,1006.79,91,10.00,7.00,000,25.6,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.15,08-06-2019,01:00:00,0.00,1008.18,27.5,1007.43,82,8.00,0.00,250,24.2,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.84,08-06-2019,01:00:00,0.00,1008.45,26.0,1004.44,92,10.00,0.00,000,24.6,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.58,08-06-2019,01:00:00,0.00,1008.56,26.9,1007.88,92,10.00,0.00,000,25.5,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.60,08-06-2019,01:00:00,0.00,1008.19,27.5,1007.08,81,10.00,0.00,000,23.9,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.05,08-06-2019,01:00:00,0.00,1008.49,26.4,1005.56,90,10.00,0.00,000,24.7,0.0
