WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,LandVisibility,VaporPressure,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,AirTemperature,StationPressure,MeanSeaLevelPressure
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,09-20-2019,10:00:00,0.00,12.00,32.22,4.10,79,25.3,0.0,29.4,1008.21,1011.67
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,140,09-20-2019,10:00:00,0.00,7.00,33.04,12.30,85,25.7,3.7,28.4,1010.51,1011.86
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,09-20-2019,10:00:00,0.00,10.00,30.29,1.60,76,24.3,0.0,29.0,1010.87,1011.76
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,300,09-20-2019,10:00:00,0.00,10.00,30.87,2.30,80,24.6,5.6,28.3,1008.38,1011.94
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,09-20-2019,10:00:00,0.00,10.00,28.91,0.20,68,23.5,0.0,30.0,1010.98,1011.42
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,310,09-20-2019,10:00:00,0.00,10.00,31.72,0.00,75,25.0,3.7,30.0,1010.44,1011.42
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,09-20-2019,10:00:00,0.00,10.00,34.97,0.00,84,26.7,0.0,29.6,1010.91,1011.72
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,09-20-2019,10:00:00,0.00,6.00,31.39,0.00,72,24.9,0.0,30.4,1010.25,1012.05
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,240,09-20-2019,10:00:00,0.00,4.00,30.22,0.01,71,24.2,7.4,30.1,1011.27,1012.02
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,230,09-20-2019,10:00:00,0.00,8.00,28.91,0.00,72,23.5,18.5,29.0,1008.40,1012.39
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,09-20-2019,10:00:00,0.00,{'@attributes': {'Unit': 'km'}},29.69,0.00,81,23.9,0.0,27.4,1012.12,1012.80
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,180,09-20-2019,10:00:00,0.00,10.00,31.48,0.00,73,24.9,11.1,30.3,1010.92,1012.03
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,220,09-20-2019,10:00:00,0.00,11.00,29.46,0.00,74,23.8,11.1,29.0,1009.39,1012.31
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,09-20-2019,10:00:00,0.00,4.00,32.21,30.90,90,25.3,0.0,27.0,1011.07,1011.76
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,220,09-20-2019,10:00:00,0.00,2.00,30.53,0.40,82,24.4,11.1,27.7,1008.59,1012.73
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,09-20-2019,10:00:00,0.00,10.00,28.37,0.00,71,23.2,0.0,29.0,1011.31,1011.90
