WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-13-2019,19:00:00,31.7,31.89,12.00,000,991.82,1004.87,0.0,25.1,11.00,0.00,29.8,76
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-13-2019,19:00:00,32.2,32.29,10.00,000,997.92,1007.28,0.0,25.3,37.40,8.20,25.9,97
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-13-2019,19:00:00,29.6,32.23,9.00,170,985.18,1006.79,1.9,25.3,1.70,0.50,28.0,85
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-13-2019,19:00:00,31.3,28.95,8.00,240,988.96,1006.37,9.3,23.5,0.30,0.00,28.3,75
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-13-2019,19:00:00,30.0,32.77,10.00,000,990.59,1006.41,0.0,25.6,4.20,0.20,27.0,92
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-13-2019,19:00:00,29.8,33.00,8.00,000,987.16,1005.95,0.0,25.7,1.40,0.30,28.1,87
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-13-2019,19:00:00,29.0,28.64,7.00,000,956.77,1008.20,0.0,23.3,21.00,2.40,24.8,92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-13-2019,19:00:00,32.0,33.34,5.00,250,1003.29,1007.25,3.7,25.9,3.90,0.80,27.0,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-13-2019,19:00:00,25.0,25.06,.90,230,912.93,1007.99,14.8,21.1,4.30,0.30,21.9,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-13-2019,19:00:00,30.1,35.79,8.00,000,990.63,1006.52,0.0,27.1,3.70,0.00,28.6,91
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-13-2019,19:00:00,33.2,31.12,10.00,000,1003.21,1007.21,0.0,24.7,2.20,0.01,29.7,75
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-13-2019,19:00:00,33.8,31.81,8.00,000,997.88,1008.49,0.0,25.1,0.80,0.00,29.2,79
