WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,RelativeHumidity,DewPoint,WindSpeed,LandVisibility,Rainfall24Hr,AirTemperature,StationPressure,WindDirection,MeanSeaLevelPressure
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,33.13,08-17-2019,01:00:00,0.00,90,25.8,0.0,10.00,0.00,27.6,1002.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1005.31
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.97,08-17-2019,01:00:00,0.00,89,24.6,0.0,7.00,0.00,26.5,997.54,000,1005.49
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.91,08-17-2019,01:00:00,0.00,91,25.1,9.3,7.00,3.80,26.7,1005.34,170,1006.45
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.05,08-17-2019,01:00:00,0.00,85,24.7,0.0,8.00,0.20,27.4,991.80,000,1006.46
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,24.77,08-17-2019,01:00:00,9.00,99,20.9,13.0,.05,14.00,21.1,873.06,210,1007.43
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.13,08-17-2019,01:00:00,0.00,88,23.6,3.7,10.00,0.00,25.8,1000.61,190,1006.51
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.64,08-17-2019,01:00:00,1.60,94,26.5,7.4,7.00,27.20,27.5,1005.91,240,1006.71
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.69,08-17-2019,01:00:00,0.00,79,25.0,13.0,10.00,0.00,29.0,1004.75,210,1005.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.23,08-17-2019,01:00:00,0.00,95,24.2,0.0,4.00,18.00,25.1,996.49,000,1007.87
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.41,08-17-2019,01:00:00,0.00,87,25.9,5.6,10.00,0.00,28.3,1005.53,180,1006.54
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,32.49,08-17-2019,01:00:00,0.00,91,25.4,3.7,7.00,0.00,27.0,1004.60,160,1006.42
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,31.92,08-17-2019,01:00:00,0.00,86,25.1,0.0,7.00,2.00,27.7,1005.78,000,1006.54
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.29,08-17-2019,01:00:00,0.01,76,24.3,18.5,10.00,0.01,29.0,1006.08,250,1006.78
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.96,08-17-2019,01:00:00,0.00,85,25.7,3.7,7.00,0.00,28.5,1006.05,140,1006.75
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.19,08-17-2019,01:00:00,0.00,77,23.6,9.3,10.00,0.00,28.0,985.08,210,1006.15
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.43,08-17-2019,01:00:00,0.00,88,24.3,0.0,7.00,0.00,26.5,990.07,000,1006.81
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.00,08-17-2019,01:00:00,0.00,88,24.6,9.3,7.00,0.00,26.8,990.74,180,1007.18
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.00,08-17-2019,01:00:00,0.00,76,22.9,0.0,10.00,0.00,27.5,984.36,000,1006.16
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.78,08-17-2019,01:00:00,0.70,90,22.8,5.6,8.00,7.50,24.6,963.74,210,1007.33
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.26,08-17-2019,01:00:00,0.00,77,23.1,5.6,10.00,0.00,27.5,985.86,180,1006.37
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.27,08-17-2019,01:00:00,0.00,89,24.8,16.7,8.00,0.00,26.8,986.83,190,1007.67
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.76,08-17-2019,01:00:00,0.00,77,24.0,9.3,10.00,0.01,28.3,1006.71,260,1007.14
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.77,08-17-2019,01:00:00,0.00,92,25.6,0.0,6.00,0.00,27.0,1005.50,000,1006.92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.86,08-17-2019,01:00:00,0.00,93,25.6,0.0,7.00,15.20,26.9,1002.17,000,1007.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.31,08-17-2019,01:00:00,0.00,79,24.3,5.6,10.00,0.00,28.3,1003.80,230,1007.08
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.78,08-17-2019,01:00:00,0.00,92,26.1,0.0,10.00,0.00,27.5,1005.61,000,1006.72
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.46,08-17-2019,01:00:00,0.00,70,24.3,11.1,10.00,0.00,30.5,1006.50,190,1006.79
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.98,08-17-2019,01:00:00,0.00,80,25.2,0.0,10.00,0.00,29.0,1006.25,000,1006.74
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.84,08-17-2019,01:00:00,12.00,85,25.6,13.0,10.00,12.60,28.3,1005.48,220,1006.88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.84,08-17-2019,01:00:00,0.00,92,24.6,7.4,10.00,0.60,26.0,1000.38,180,1008.42
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.71,08-17-2019,01:00:00,0.60,83,25.5,5.6,10.00,0.60,28.8,1006.54,310,1006.82
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.98,08-17-2019,01:00:00,0.00,80,25.2,9.3,10.00,0.00,29.0,1003.45,310,1006.56
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.96,08-17-2019,01:00:00,0.00,85,25.7,13.0,10.00,0.00,28.5,1000.49,210,1007.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.70,08-17-2019,01:00:00,0.00,79,24.5,0.0,8.00,0.00,28.5,1001.99,000,1007.56
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.24,08-17-2019,01:00:00,0.00,88,24.2,3.7,10.00,3.30,26.4,1006.56,180,1007.83
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.42,08-17-2019,01:00:00,0.00,83,24.3,5.6,11.00,12.20,27.5,1006.85,240,1007.28
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.33,08-17-2019,01:00:00,0.00,86,23.7,0.0,8.00,0.00,26.2,995.56,000,1007.86
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.20,08-17-2019,01:00:00,0.00,84,24.2,7.4,10.00,1.00,27.1,1006.97,210,1007.68
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.62,08-17-2019,01:00:00,0.01,78,24.4,18.5,10.00,0.01,28.6,1005.15,180,1007.58
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.99,08-17-2019,01:00:00,0.00,85,26.2,22.2,10.00,0.00,29.0,1007.05,240,1007.56
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.66,08-17-2019,01:00:00,0.00,80,25.0,3.7,9.00,0.00,28.7,1002.45,210,1007.58
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.41,08-17-2019,01:00:00,0.20,87,25.9,11.1,5.00,1.40,28.3,1007.46,230,1007.87
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.80,08-17-2019,01:00:00,0.00,87,25.6,9.3,8.00,0.00,28.0,1005.47,200,1008.23
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.23,08-17-2019,01:00:00,0.00,80,23.1,5.6,10.00,0.00,26.9,1006.76,270,1007.54
