WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-19-2019,04:00:00,993.87,30.71,1005.20,94,0.00,25.5,5.00,24.5,10.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,180,07-19-2019,04:00:00,1002.13,29.58,1003.14,82,0.00,27.2,10.00,23.9,0.01,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,200,07-19-2019,04:00:00,1001.46,30.97,1003.28,84,0.00,27.5,7.00,24.6,0.00,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,230,07-19-2019,04:00:00,1002.49,26.95,1003.25,73,0.00,27.5,3.00,22.3,0.00,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,250,07-19-2019,04:00:00,1002.67,28.84,1003.37,82,0.00,26.8,10.00,23.4,15.00,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-19-2019,04:00:00,1002.79,33.04,1003.49,85,0.00,28.4,7.00,25.7,0.00,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,07-19-2019,04:00:00,981.89,32.08,1002.92,87,0.00,27.5,10.00,25.2,1.90,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,07-19-2019,04:00:00,986.54,28.46,1003.22,83,0.00,26.3,7.00,23.2,0.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,07-19-2019,04:00:00,986.95,31.00,1003.33,88,0.00,26.8,7.00,24.6,0.00,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,07-19-2019,04:00:00,981.20,29.85,1002.95,83,0.00,27.2,10.00,24.0,0.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,000,07-19-2019,04:00:00,960.75,27.74,1004.01,83,0.00,25.9,10.00,22.8,0.00,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,07-19-2019,04:00:00,982.24,30.43,1002.75,88,0.00,26.5,10.00,24.3,7.60,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,190,07-19-2019,04:00:00,983.53,32.79,1004.33,96,0.00,26.3,8.00,25.6,0.00,13.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,270,07-19-2019,04:00:00,1003.23,29.52,1003.66,80,0.00,27.6,10.00,23.8,0.00,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-19-2019,04:00:00,1002.19,31.79,1003.60,92,0.00,26.5,6.00,25.1,0.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-19-2019,04:00:00,998.76,32.20,1003.70,96,0.00,26.0,7.00,25.3,32.30,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,07-19-2019,04:00:00,1000.54,28.26,1003.81,77,0.00,27.5,10.00,23.1,0.00,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,07-19-2019,04:00:00,1002.55,30.03,1003.66,89,0.00,26.0,10.00,24.1,0.10,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,07-19-2019,04:00:00,1003.31,29.49,1003.61,77,0.00,28.3,10.00,23.8,0.00,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,07-19-2019,04:00:00,1004.35,31.95,1004.84,85,0.00,28.0,10.00,25.1,0.00,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,250,07-19-2019,04:00:00,1002.37,28.84,1003.77,76,0.00,28.1,10.00,23.4,0.00,9.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,07-19-2019,04:00:00,997.27,31.17,1005.30,95,0.00,25.6,10.00,24.7,0.40,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,07-19-2019,04:00:00,1003.32,32.55,1003.60,81,0.00,29.0,10.00,25.5,0.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,07-19-2019,04:00:00,999.85,34.58,1002.95,86,0.00,29.0,10.00,26.5,0.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,07-19-2019,04:00:00,997.19,29.41,1004.07,76,0.00,28.4,10.00,23.8,0.00,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,260,07-19-2019,04:00:00,998.06,32.33,1003.64,90,0.00,27.2,9.00,25.3,0.00,5.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-19-2019,04:00:00,1003.45,28.42,1004.72,86,0.00,25.7,10.00,23.2,0.00,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,210,07-19-2019,04:00:00,1003.41,27.36,1003.84,77,0.00,27.0,11.00,22.6,0.90,14.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,07-19-2019,04:00:00,992.11,26.75,1004.46,90,0.00,24.0,10.00,22.2,0.00,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,07-19-2019,04:00:00,1003.57,28.67,1004.28,80,0.00,27.0,10.00,23.3,0.00,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,000,07-19-2019,04:00:00,1002.24,30.02,1004.67,84,0.00,27.0,10.00,24.1,0.01,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,290,07-19-2019,04:00:00,1003.68,31.13,1004.19,78,0.00,29.0,10.00,24.7,0.00,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,07-19-2019,04:00:00,998.66,31.11,1003.79,87,0.00,27.0,8.00,24.7,0.00,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,07-19-2019,04:00:00,1003.79,33.50,1004.20,95,0.30,26.8,7.00,25.9,107.90,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,040,07-19-2019,04:00:00,1001.54,31.79,1004.32,97,5.50,25.5,8.00,25.1,145.90,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,07-19-2019,04:00:00,1003.00,28.14,1003.78,79,0.00,27.0,10.00,23.0,0.00,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,100,07-19-2019,04:00:00,1004.15,31.98,1004.61,97,9.80,25.6,4.00,25.2,63.60,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,07-19-2019,04:00:00,1005.09,29.22,1005.78,97,0.00,24.1,8.00,23.7,33.00,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,07-19-2019,04:00:00,1004.29,29.89,1005.82,93,0.00,25.2,7.00,24.0,20.20,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,190,07-19-2019,04:00:00,1005.45,29.79,1006.37,94,1.40,25.0,7.00,24.0,59.10,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,300,07-19-2019,04:00:00,1005.42,29.50,1006.11,88,0.00,26.0,10.00,23.8,33.80,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,07-19-2019,04:00:00,1005.29,29.66,1006.09,98,0.00,24.2,6.00,23.9,8.00,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,060,07-19-2019,04:00:00,1004.79,30.85,1005.43,97,0.00,25.0,10.00,24.6,19.60,1.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,07-19-2019,04:00:00,1006.91,29.39,1007.32,97,0.00,24.2,{'@attributes': {'Unit': 'km'}},23.8,26.20,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,07-19-2019,04:00:00,1004.89,30.32,1009.13,96,0.00,25.0,5.00,24.3,3.00,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-19-2019,04:00:00,1004.85,29.30,1006.48,98,1.20,24.0,10.00,23.7,23.80,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-19-2019,04:00:00,1004.25,28.88,1007.76,96,0.00,24.2,10.00,23.5,14.00,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,270,07-19-2019,04:00:00,1004.51,29.08,1005.86,84,0.00,26.5,10.00,23.6,2.70,9.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-19-2019,04:00:00,1005.85,29.82,1006.74,100,29.20,24.0,8.00,24.0,260.00,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,280,07-19-2019,04:00:00,1003.34,29.56,1006.94,99,1.00,24.0,10.00,23.8,18.30,5.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-19-2019,04:00:00,1005.69,30.94,1006.13,91,0.20,26.2,10.00,24.6,61.60,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,240,07-19-2019,04:00:00,1004.93,28.91,1005.91,72,2.60,29.0,8.00,23.5,99.80,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,270,07-19-2019,04:00:00,1005.76,31.63,1006.58,96,5.00,25.7,9.00,25.0,52.20,31.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-19-2019,04:00:00,1004.56,29.41,1006.39,96,0.00,24.5,10.00,23.8,10.40,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,200,07-19-2019,04:00:00,1005.44,29.33,1006.20,95,0.00,24.6,10.00,23.7,69.10,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,180,07-19-2019,04:00:00,1002.35,29.97,1006.37,94,0.00,25.1,10.00,24.1,0.60,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-19-2019,04:00:00,1006.00,29.91,1006.69,92,0.00,25.5,10.00,24.0,0.00,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-19-2019,04:00:00,1005.45,31.49,1006.57,93,0.00,26.2,10.00,24.9,1.60,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,07-19-2019,04:00:00,1003.65,28.97,1006.59,95,0.00,24.4,10.00,23.5,0.00,0.0
