WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall,StationPressure,Rainfall24Hr,LandVisibility,AirTemperature,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-29-2019,01:00:00,89,1006.83,30.51,24.4,0.00,975.96,2.00,7.00,26.4,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-29-2019,01:00:00,99,1006.07,21.73,18.8,2.40,845.05,7.90,7.00,19.0,130,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-29-2019,01:00:00,90,1006.59,29.93,24.1,0.00,963.01,14.40,10.00,25.8,000,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-29-2019,01:00:00,93,1006.66,30.44,24.3,0.00,961.14,32.40,12.00,25.5,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-29-2019,01:00:00,98,1007.01,30.75,24.5,0.00,969.27,0.50,6.00,24.8,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-29-2019,01:00:00,97,1006.69,31.04,24.7,0.00,961.55,7.80,6.00,25.1,000,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-29-2019,01:00:00,95,1007.15,31.93,25.1,0.00,980.41,1.10,6.00,26.0,000,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-29-2019,01:00:00,91,1006.33,30.76,24.5,0.00,984.57,0.00,12.00,26.1,000,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-29-2019,01:00:00,84,1007.13,28.18,23.1,0.00,983.01,0.00,6.00,26.0,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-29-2019,01:00:00,86,1006.80,30.94,24.6,0.00,972.43,2.60,10.00,27.2,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-29-2019,01:00:00,94,1008.02,32.04,25.2,0.00,980.46,23.30,10.00,26.2,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-29-2019,01:00:00,86,1006.48,30.26,24.2,0.00,973.00,4.90,10.00,26.7,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-29-2019,01:00:00,96,1006.01,33.19,25.8,0.00,987.53,3.50,10.00,26.5,000,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-29-2019,01:00:00,95,1006.59,31.36,24.8,0.00,983.73,3.60,10.00,25.7,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-29-2019,01:00:00,93,1006.85,29.52,23.8,0.00,976.84,3.50,7.00,25.0,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-29-2019,01:00:00,96,1006.64,32.20,25.3,0.00,971.13,6.40,7.00,26.0,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-29-2019,01:00:00,98,1005.56,29.66,23.9,0.00,975.68,0.00,10.00,24.2,000,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-29-2019,01:00:00,90,1005.51,33.21,25.8,0.00,998.23,41.00,9.00,27.5,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-29-2019,01:00:00,94,1005.46,34.98,26.7,0.00,985.66,0.00,11.00,27.8,000,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,08-29-2019,01:00:00,92,1005.73,29.54,23.8,0.00,976.99,0.00,13.00,25.3,350,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-29-2019,01:00:00,90,1005.33,32.61,25.5,0.00,985.23,0.00,12.00,27.2,270,9.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-29-2019,01:00:00,91,1005.14,31.33,24.8,0.00,983.43,0.40,12.00,26.4,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-29-2019,01:00:00,91,1004.64,32.69,25.5,0.00,985.22,0.00,10.00,27.1,000,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-29-2019,01:00:00,92,1005.57,32.77,25.6,0.00,988.86,0.00,10.00,27.0,000,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-29-2019,01:00:00,94,1005.48,33.14,25.8,0.00,988.10,0.00,10.00,26.9,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-29-2019,01:00:00,94,1005.32,33.02,25.7,0.00,979.58,0.00,10.00,26.7,100,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-29-2019,01:00:00,82,1005.99,30.45,24.3,0.00,1000.23,0.00,10.00,27.8,270,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-29-2019,01:00:00,87,1005.24,32.80,25.6,0.00,999.08,1.60,10.00,28.0,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-29-2019,01:00:00,90,1006.02,31.24,24.8,0.00,989.57,0.60,8.00,26.5,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-29-2019,01:00:00,92,1005.64,29.00,23.5,0.00,983.21,1.90,10.00,25.0,260,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-29-2019,01:00:00,70,1006.78,26.54,22.1,0.00,992.45,0.00,7.00,28.0,260,9.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-29-2019,01:00:00,77,1006.04,29.19,23.6,0.00,989.73,0.00,7.00,28.0,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-29-2019,01:00:00,89,1005.11,33.66,26.0,0.00,999.91,0.00,10.00,28.0,000,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-29-2019,01:00:00,93,1004.26,31.96,25.1,0.00,991.07,0.00,10.00,26.3,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-29-2019,01:00:00,86,1006.26,30.26,24.2,0.00,996.94,0.00,10.00,26.7,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-29-2019,01:00:00,97,1004.99,31.33,24.8,2.00,983.23,2.00,9.00,25.4,300,7.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-29-2019,01:00:00,84,1004.33,28.18,23.1,4.50,986.82,6.40,4.00,26.0,230,9.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-29-2019,01:00:00,92,1003.91,31.99,25.2,0.00,988.10,1.60,10.00,26.6,000,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-29-2019,01:00:00,93,1003.41,32.46,25.4,0.00,984.58,0.30,8.00,26.7,000,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-29-2019,01:00:00,93,1008.74,27.42,22.6,0.00,957.12,0.00,7.00,23.8,000,0.0
