WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall,StationPressure,Rainfall24Hr,LandVisibility,AirTemperature,WindDirection,WindSpeed
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-29-2019,01:00:00,88,1005.04,34.11,26.2,0.00,1001.11,0.00,6.00,28.5,000,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-29-2019,01:00:00,99,1007.51,24.77,20.9,0.00,912.25,0.40,.30,21.1,230,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-29-2019,01:00:00,96,1004.82,35.23,26.8,0.00,988.89,0.00,6.00,27.5,000,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-29-2019,01:00:00,90,1005.52,31.55,24.9,0.00,1001.49,0.00,10.00,26.8,000,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-29-2019,01:00:00,89,1006.68,30.59,24.4,0.00,995.98,0.00,7.00,26.3,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-29-2019,01:00:00,96,1005.63,30.13,24.2,4.00,1003.69,50.60,5.00,24.9,000,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-29-2019,01:00:00,90,1005.44,29.93,24.1,0.00,984.53,0.00,10.00,25.8,000,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-29-2019,01:00:00,89,1004.41,34.48,26.4,0.00,986.87,0.00,10.00,28.4,190,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-29-2019,01:00:00,92,1004.25,35.87,27.1,0.10,988.22,0.20,9.00,28.5,000,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-29-2019,01:00:00,90,1004.70,31.74,25.0,0.00,990.69,3.20,10.00,26.9,000,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-29-2019,01:00:00,96,1005.23,32.20,25.3,0.00,990.38,0.60,8.00,26.0,000,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-29-2019,01:00:00,92,1006.08,31.79,25.1,0.00,991.40,0.01,7.00,26.5,230,5.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-29-2019,01:00:00,93,1005.55,30.92,24.6,0.40,1002.52,0.80,10.00,25.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-29-2019,01:00:00,83,1004.92,30.81,24.5,0.00,997.01,0.00,7.00,27.7,100,7.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-29-2019,01:00:00,90,1005.86,30.48,24.4,0.00,1004.74,0.00,7.00,26.1,000,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-29-2019,01:00:00,86,1006.23,30.56,24.4,0.00,991.56,3.30,8.00,27.0,100,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-29-2019,01:00:00,99,1007.06,22.01,19.0,0.40,871.94,0.90,.05,19.2,000,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-29-2019,01:00:00,97,1006.01,31.22,24.8,56.20,1000.10,56.20,8.00,25.2,000,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-29-2019,01:00:00,96,1007.54,33.19,25.8,6.40,1006.73,7.40,7.00,26.5,240,7.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-29-2019,01:00:00,85,1005.29,31.95,25.1,6.40,1004.84,11.90,10.00,28.0,210,9.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-29-2019,01:00:00,96,1006.62,29.41,23.8,0.00,995.23,18.40,4.00,24.5,000,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-29-2019,01:00:00,94,1005.82,31.85,25.1,0.00,1004.81,2.10,10.00,26.1,000,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-29-2019,01:00:00,87,1005.91,29.05,23.6,0.00,1004.08,0.00,7.00,25.9,230,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-29-2019,01:00:00,89,1005.82,29.76,24.0,0.00,1005.05,0.70,7.00,26.0,000,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-29-2019,01:00:00,73,1006.27,26.16,21.8,0.00,1005.56,0.00,10.00,27.2,270,11.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-29-2019,01:00:00,93,1005.95,32.46,25.4,33.00,1005.24,33.00,7.00,26.7,000,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-29-2019,01:00:00,96,1005.87,31.63,25.0,4.80,984.66,5.00,8.00,25.7,350,3.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-29-2019,01:00:00,96,1005.85,30.69,24.5,6.50,989.05,6.60,5.00,25.2,000,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-29-2019,01:00:00,92,1006.71,29.91,24.0,2.20,990.20,2.40,5.00,25.5,330,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-29-2019,01:00:00,88,1005.59,29.03,23.5,0.10,983.67,1.60,10.00,25.6,000,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-29-2019,01:00:00,87,1006.25,27.62,22.7,0.00,962.78,0.10,10.00,25.1,250,18.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-29-2019,01:00:00,99,1005.10,30.65,24.4,12.20,984.42,39.40,7.00,24.6,000,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-29-2019,01:00:00,100,1006.76,29.82,24.0,14.60,985.74,15.20,7.00,24.0,240,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-29-2019,01:00:00,93,1006.55,31.11,24.7,0.60,1006.11,13.50,10.00,26.0,320,5.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-29-2019,01:00:00,97,1006.03,30.48,24.4,13.10,1004.60,13.10,6.00,24.8,000,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-29-2019,01:00:00,95,1006.16,31.55,24.9,4.50,1001.21,4.50,7.00,25.8,000,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-29-2019,01:00:00,76,1006.23,27.55,22.7,0.00,1002.95,0.01,10.00,27.4,000,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-29-2019,01:00:00,83,1005.91,28.10,23.0,0.00,1004.80,0.01,10.00,26.1,000,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-29-2019,01:00:00,80,1006.16,28.67,23.3,0.00,1005.86,0.00,10.00,27.0,000,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-29-2019,01:00:00,84,1006.83,30.02,24.1,0.00,1006.34,6.00,10.00,27.0,000,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-29-2019,01:00:00,83,1005.96,29.00,23.5,0.80,1004.55,0.80,10.00,26.6,210,9.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-29-2019,01:00:00,93,1008.36,29.16,23.6,0.90,1000.28,1.00,.50,24.8,000,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-29-2019,01:00:00,91,1006.26,30.76,24.5,3.50,1005.98,3.50,8.00,26.1,000,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-29-2019,01:00:00,93,1006.33,30.36,24.3,17.30,1003.19,18.90,8.00,25.6,000,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-29-2019,01:00:00,80,1006.55,28.67,23.3,0.00,999.61,0.00,10.00,27.0,240,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-29-2019,01:00:00,91,1006.10,32.69,25.5,0.20,1000.51,0.20,7.00,27.1,000,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-29-2019,01:00:00,93,1007.14,29.89,24.0,0.50,1005.87,21.70,10.00,25.2,270,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-29-2019,01:00:00,86,1005.77,30.56,24.4,0.90,1005.33,1.60,11.00,27.0,000,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-29-2019,01:00:00,88,1006.68,28.59,23.3,0.00,994.36,0.00,8.00,25.5,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-29-2019,01:00:00,78,1006.35,28.35,23.2,0.00,1005.64,0.00,10.00,27.4,000,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-29-2019,01:00:00,75,1006.47,28.86,23.5,0.00,1004.05,0.00,10.00,28.4,270,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-29-2019,01:00:00,80,1006.68,30.98,24.6,0.00,1006.17,0.00,10.00,28.5,330,9.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-29-2019,01:00:00,82,1006.22,30.53,24.4,0.00,1001.08,0.00,8.00,27.7,300,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-29-2019,01:00:00,89,1006.17,31.46,24.9,9.00,1005.75,9.00,7.00,26.9,000,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-29-2019,01:00:00,90,1006.40,32.61,25.5,0.00,1003.63,0.00,8.00,27.2,260,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-29-2019,01:00:00,81,1007.33,27.49,22.6,0.00,1006.54,1.80,10.00,26.2,260,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-29-2019,01:00:00,89,1006.54,33.25,25.8,0.60,1006.08,0.60,6.00,27.8,220,9.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-29-2019,01:00:00,89,1007.88,29.66,23.9,0.00,1007.19,0.90,8.00,25.8,000,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-29-2019,01:00:00,90,1008.26,31.05,24.7,0.00,1006.73,1.60,8.00,26.4,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-29-2019,01:00:00,92,1009.54,29.91,24.0,0.00,1008.62,10.50,10.00,25.5,000,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-29-2019,01:00:00,84,1008.20,29.45,23.8,0.00,1007.51,0.60,10.00,26.7,000,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-29-2019,01:00:00,97,1009.19,29.49,23.8,0.00,1008.39,0.30,8.00,24.4,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-29-2019,01:00:00,88,1008.61,28.59,23.3,0.00,1007.97,6.30,10.00,25.5,220,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-29-2019,01:00:00,97,1008.50,29.13,23.6,0.00,1008.09,12.90,10.00,24.2,000,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-29-2019,01:00:00,94,1010.64,28.89,23.5,0.10,1006.38,0.50,5.00,24.5,000,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-29-2019,01:00:00,98,1009.45,28.77,23.4,0.00,1007.81,8.40,10.00,23.7,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-29-2019,01:00:00,96,1009.70,28.53,23.3,0.20,1006.18,17.40,6.00,24.0,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-29-2019,01:00:00,91,1009.20,27.51,22.7,0.20,1007.83,10.80,6.00,24.3,000,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-29-2019,01:00:00,98,1009.37,29.84,24.0,0.80,1008.48,29.80,10.00,24.3,000,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-29-2019,01:00:00,97,1009.25,28.34,23.2,0.20,1005.64,26.90,10.00,23.6,000,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-29-2019,01:00:00,94,1009.11,31.46,24.9,0.00,1008.67,14.20,10.00,25.9,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-29-2019,01:00:00,98,1008.97,30.56,24.4,0.30,1007.97,9.00,10.00,24.7,000,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-29-2019,01:00:00,93,1009.32,29.70,23.9,0.00,1008.50,3.80,10.00,25.1,000,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-29-2019,01:00:00,96,1009.37,29.41,23.8,0.60,1007.54,4.40,10.00,24.5,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-29-2019,01:00:00,84,1009.19,29.45,23.8,0.00,1008.44,0.00,10.00,26.7,250,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-29-2019,01:00:00,83,1009.35,29.75,24.0,0.00,1005.35,0.80,10.00,27.0,240,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-29-2019,01:00:00,93,1009.87,30.25,24.2,0.00,1009.18,27.40,10.00,25.4,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-29-2019,01:00:00,84,1009.01,29.93,24.1,0.00,1007.90,0.00,10.00,27.1,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-29-2019,01:00:00,87,1009.54,29.97,24.1,0.00,1006.61,0.01,10.00,26.4,000,0.0
