WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,981.62,10-13-2019,10:00:00,0.00,73,1012.41,000,0.0,10.00,0.00,23.5,28.9,29.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,852.51,10-13-2019,10:00:00,0.00,85,1013.01,190,9.3,8.00,0.00,19.6,22.3,22.85
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,968.52,10-13-2019,10:00:00,0.00,67,1011.71,070,7.4,10.00,0.00,23.3,30.1,28.56
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,966.99,10-13-2019,10:00:00,0.00,68,1012.10,000,0.0,15.00,0.00,23.5,30.0,28.91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,975.27,10-13-2019,10:00:00,0.00,65,1012.57,130,3.7,12.00,0.00,22.9,30.2,27.93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,967.12,10-13-2019,10:00:00,0.00,75,1011.86,000,0.0,10.00,0.00,24.5,29.4,30.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,986.47,10-13-2019,10:00:00,0.00,74,1013.10,160,7.4,10.00,0.00,23.9,29.0,29.74
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,990.53,10-13-2019,10:00:00,0.00,77,1012.15,090,3.7,12.00,12.30,25.4,29.9,32.38
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,988.44,10-13-2019,10:00:00,0.00,80,1012.62,000,0.0,8.00,0.00,23.3,27.0,28.67
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,978.28,10-13-2019,10:00:00,0.00,69,1012.61,320,3.7,12.00,1.30,23.0,29.3,28.12
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,985.20,10-13-2019,10:00:00,0.00,80,1012.67,000,0.0,10.00,0.00,24.7,28.6,31.18
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,978.92,10-13-2019,10:00:00,0.00,75,1012.29,000,0.0,10.00,0.00,24.5,29.5,30.72
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,993.68,10-13-2019,10:00:00,0.00,68,1012.00,000,0.0,8.00,0.00,24.4,31.0,30.61
48331,NAN,น่าน,น่าน,18.77972,100.77778,990.07,10-13-2019,10:00:00,0.00,76,1012.89,000,0.0,10.00,2.00,23.5,28.2,29.03
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,982.97,10-13-2019,10:00:00,0.00,72,1012.76,000,0.0,12.00,0.00,23.5,29.0,28.91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,977.06,10-13-2019,10:00:00,0.00,70,1012.28,000,0.0,8.00,0.00,24.2,30.2,30.14
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,982.28,10-13-2019,10:00:00,0.00,66,1011.68,300,5.6,15.00,0.00,23.8,31.0,29.48
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.03,10-13-2019,10:00:00,0.00,68,1012.29,000,0.0,9.00,0.00,24.0,30.5,29.89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,992.89,10-13-2019,10:00:00,0.00,64,1012.61,100,7.4,8.00,0.00,23.7,31.3,29.24
48353,LOEI,เลย,เลย,17.45000,101.73333,983.69,10-13-2019,10:00:00,0.00,65,1012.13,260,3.7,9.00,0.00,23.1,30.5,28.23
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,992.93,10-13-2019,10:00:00,0.00,57,1012.94,070,7.4,12.00,0.00,21.3,31.0,25.39
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,991.26,10-13-2019,10:00:00,0.00,59,1012.89,040,3.7,12.00,0.00,21.0,30.0,24.89
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,993.30,10-13-2019,10:00:00,0.00,53,1012.66,100,9.3,15.00,0.00,19.7,30.5,22.94
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,996.40,10-13-2019,10:00:00,0.00,54,1013.02,050,3.7,10.00,0.00,20.5,31.0,24.07
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,995.89,10-13-2019,10:00:00,0.00,56,1013.22,050,5.6,10.00,0.00,20.2,30.0,23.60
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,986.00,10-13-2019,10:00:00,0.00,63,1011.54,090,5.6,15.00,0.00,23.0,31.0,28.09
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.88,10-13-2019,10:00:00,0.00,78,1011.62,200,3.7,8.00,0.00,26.8,31.1,35.23
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.76,10-13-2019,10:00:00,0.00,77,1011.91,000,0.0,8.00,0.00,26.0,30.5,33.63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,996.12,10-13-2019,10:00:00,0.00,65,1012.46,000,0.0,12.00,0.00,23.2,30.5,28.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,988.62,10-13-2019,10:00:00,0.00,86,1011.10,000,0.0,10.00,0.00,23.5,26.0,28.97
48376,TAK,ตาก,ตาก,16.87833,99.14333,999.12,10-13-2019,10:00:00,13.50,94,1013.71,000,0.0,5.00,14.70,23.8,24.8,29.42
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,996.76,10-13-2019,10:00:00,0.50,96,1013.30,000,0.0,4.00,0.50,25.3,26.0,32.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.06,10-13-2019,10:00:00,0.00,71,1012.25,000,0.0,10.00,0.00,24.9,30.7,31.43
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,997.78,10-13-2019,10:00:00,0.00,70,1010.85,000,0.0,12.00,22.10,24.9,31.0,31.47
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.90,10-13-2019,10:00:00,0.40,81,1012.19,280,1.9,10.00,0.80,26.0,29.5,33.58
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,990.63,10-13-2019,10:00:00,0.00,57,1012.09,090,9.3,8.00,0.00,22.0,31.7,26.42
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,994.08,10-13-2019,10:00:00,0.00,60,1011.40,020,11.1,12.00,0.00,22.8,31.5,27.68
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,996.28,10-13-2019,10:00:00,0.00,59,1012.01,060,9.3,12.00,0.00,21.6,30.5,25.80
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,992.88,10-13-2019,10:00:00,0.00,63,1011.64,040,1.9,8.00,0.00,22.5,30.3,27.30
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,961.91,10-13-2019,10:00:00,0.00,87,1013.55,000,0.0,9.00,15.00,22.8,25.2,27.80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.29,10-13-2019,10:00:00,0.00,74,1012.22,000,0.0,5.00,0.20,25.3,30.5,32.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,917.72,10-13-2019,10:00:00,1.40,95,1013.28,100,9.3,4.00,1.60,21.1,21.9,25.06
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,996.14,10-13-2019,10:00:00,0.00,70,1012.14,100,9.3,10.00,0.00,22.4,28.3,27.08
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.01,10-13-2019,10:00:00,0.00,71,1012.00,180,5.6,9.00,0.01,25.9,31.8,33.45
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1001.97,10-13-2019,10:00:00,0.00,67,1012.57,030,3.7,9.00,0.00,23.9,30.8,29.65
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.49,10-13-2019,10:00:00,0.00,75,1012.41,000,0.0,14.00,0.00,25.6,30.5,32.75
