WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,VaporPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,991.30,10-13-2019,10:00:00,0.00,60,1011.96,310,5.6,10.00,11.40,22.6,31.4,27.49
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,994.34,10-13-2019,10:00:00,0.00,65,1011.93,090,13.0,10.00,0.00,22.5,29.7,27.26
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,995.63,10-13-2019,10:00:00,0.00,63,1011.67,080,11.1,10.00,0.00,22.7,30.6,27.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,998.05,10-13-2019,10:00:00,0.00,58,1011.95,140,7.4,10.00,0.00,22.1,31.4,26.67
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,997.41,10-13-2019,10:00:00,0.00,68,1012.16,000,0.0,10.00,0.00,23.5,30.2,29.03
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,997.45,10-13-2019,10:00:00,0.00,77,1012.07,090,3.7,10.00,0.20,25.2,29.6,32.05
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.04,10-13-2019,10:00:00,0.00,72,1012.03,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,7.00,0.00,25.9,31.6,33.32
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.53,10-13-2019,10:00:00,0.00,71,1011.46,000,0.0,10.00,4.60,23.2,29.0,28.37
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.58,10-13-2019,10:00:00,0.00,67,1011.68,000,0.0,9.00,0.00,24.7,31.7,31.19
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,997.58,10-13-2019,10:00:00,0.00,71,1012.25,000,0.0,8.00,0.00,23.2,29.0,28.37
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.91,10-13-2019,10:00:00,0.00,66,1009.50,080,3.7,9.00,26.60,19.3,26.1,22.34
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.30,10-13-2019,10:00:00,0.00,75,1012.14,000,0.0,10.00,15.00,25.6,30.5,32.75
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.72,10-13-2019,10:00:00,0.00,67,1011.51,060,5.6,8.00,0.00,26.1,32.9,33.74
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.81,10-13-2019,10:00:00,0.00,70,1011.26,210,3.7,10.00,0.00,25.3,31.4,32.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1000.54,10-13-2019,10:00:00,0.00,68,1011.72,000,0.0,10.00,0.00,25.0,31.7,31.77
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.87,10-13-2019,10:00:00,0.00,77,1011.87,000,0.0,8.00,2.80,26.2,30.8,33.98
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.19,10-13-2019,10:00:00,0.00,67,1012.00,000,0.0,7.00,0.40,24.6,31.4,30.86
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.97,10-13-2019,10:00:00,0.00,78,1011.73,000,0.0,9.00,0.00,26.3,30.5,34.22
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.95,10-13-2019,10:00:00,0.00,73,1011.64,160,3.7,10.00,1.80,25.1,30.5,31.88
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.63,10-13-2019,10:00:00,0.00,70,1011.33,000,0.0,11.00,0.40,25.2,31.4,32.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,990.69,10-13-2019,10:00:00,0.00,66,1011.68,000,0.0,9.00,0.01,23.6,30.8,29.09
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,995.36,10-13-2019,10:00:00,0.00,74,1012.03,040,5.6,9.00,3.20,24.1,29.3,30.04
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,996.09,10-13-2019,10:00:00,0.00,79,1012.53,000,0.0,10.00,2.20,24.5,28.5,30.70
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,990.31,10-13-2019,10:00:00,0.00,76,1012.12,000,0.0,10.00,0.01,24.6,29.2,30.96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,968.61,10-13-2019,10:00:00,0.00,65,1011.70,050,14.8,14.00,4.30,22.3,29.5,26.89
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,991.53,10-13-2019,10:00:00,0.00,81,1012.12,010,7.4,8.00,0.01,24.4,28.0,30.56
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,993.00,10-13-2019,10:00:00,0.00,80,1013.74,050,7.4,10.00,29.80,26.3,30.1,34.26
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.87,10-13-2019,10:00:00,18.10,74,1011.30,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,18.20,25.3,30.5,32.17
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.68,10-13-2019,10:00:00,0.00,75,1011.08,320,3.7,11.00,0.00,26.1,31.1,33.73
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.25,10-13-2019,10:00:00,0.00,75,1011.14,000,0.0,10.00,0.90,26.1,31.0,33.81
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.46,10-13-2019,10:00:00,0.00,79,1011.74,000,0.0,4.00,0.00,25.9,30.0,33.46
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.49,10-13-2019,10:00:00,0.00,76,1011.59,130,3.7,10.00,0.00,26.1,30.9,33.89
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.30,10-13-2019,10:00:00,0.00,72,1011.60,140,3.7,10.00,0.01,25.6,31.4,32.89
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.72,10-13-2019,10:00:00,0.00,70,1011.40,000,0.0,10.00,0.00,25.7,31.9,33.07
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.64,10-13-2019,10:00:00,0.00,72,1011.12,200,3.7,10.00,0.00,25.9,31.5,33.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.27,10-13-2019,10:00:00,0.00,74,1011.67,270,3.7,10.00,0.01,25.0,30.3,31.76
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1009.90,10-13-2019,10:00:00,0.00,79,1011.57,000,0.0,8.00,0.00,25.6,29.6,32.91
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1005.04,10-13-2019,10:00:00,0.00,74,1013.01,000,0.0,12.00,0.90,25.1,30.2,31.84
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.85,10-13-2019,10:00:00,0.00,77,1011.13,000,0.0,8.00,0.00,26.2,30.7,34.06
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.07,10-13-2019,10:00:00,0.00,78,1011.18,340,5.6,12.00,0.00,26.3,30.5,34.22
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1004.21,10-13-2019,10:00:00,0.00,78,1011.11,000,0.0,10.00,0.50,25.8,30.0,33.17
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.12,10-13-2019,10:00:00,0.00,72,1011.67,040,9.3,8.00,0.00,25.4,31.0,32.34
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1002.99,10-13-2019,10:00:00,0.00,75,1012.20,240,5.6,8.00,0.00,27.1,32.1,35.93
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.79,10-13-2019,10:00:00,0.01,73,1012.05,360,3.7,14.00,0.01,25.1,30.5,31.88
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.84,10-13-2019,10:00:00,0.00,74,1011.27,150,14.8,11.00,0.60,26.9,32.0,35.40
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,999.50,10-13-2019,10:00:00,0.00,70,1011.66,040,3.7,8.00,0.00,24.7,30.8,31.06
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.55,10-13-2019,10:00:00,0.00,77,1011.26,120,3.7,10.00,0.00,26.8,31.2,35.15
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.82,10-13-2019,10:00:00,0.20,69,1011.24,240,7.4,8.00,1.30,23.4,29.8,28.80
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.59,10-13-2019,10:00:00,0.00,78,1011.10,240,5.6,8.00,0.20,26.2,30.5,33.93
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.95,10-13-2019,10:00:00,0.00,78,1011.07,290,5.6,10.00,1.50,25.8,30.0,33.17
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.83,10-13-2019,10:00:00,0.00,67,1011.24,000,0.0,9.00,0.00,25.0,31.8,31.68
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.43,10-13-2019,10:00:00,0.00,84,1011.18,000,0.0,8.00,0.00,27.1,30.2,35.97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.95,10-13-2019,10:00:00,0.00,68,1011.73,150,7.4,10.00,0.00,26.3,33.0,34.27
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.73,10-13-2019,10:00:00,0.00,72,1011.18,240,5.6,10.00,0.00,26.1,31.7,33.83
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.45,10-13-2019,10:00:00,0.00,65,1011.12,120,3.7,12.00,0.00,24.6,32.0,30.94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.75,10-13-2019,10:00:00,0.00,60,1011.26,070,3.7,10.00,0.00,23.3,32.0,28.66
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.80,10-13-2019,10:00:00,0.00,67,1011.71,000,0.0,10.00,10.30,23.7,30.6,29.25
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.50,10-13-2019,10:00:00,0.00,76,1011.19,090,5.6,10.00,0.00,25.9,30.7,33.47
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.60,10-13-2019,10:00:00,0.00,75,1011.39,000,0.0,10.00,0.00,25.6,30.5,32.75
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.32,10-13-2019,10:00:00,0.00,72,1010.95,250,3.7,10.00,0.00,24.6,30.2,30.99
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.79,10-13-2019,10:00:00,0.00,77,1011.19,000,0.0,10.00,0.30,26.1,30.6,33.85
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.59,10-13-2019,10:00:00,0.00,73,1012.77,000,0.0,9.00,0.00,25.1,30.5,31.88
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.99,10-13-2019,10:00:00,0.00,76,1011.60,000,0.0,10.00,0.00,24.1,28.9,30.10
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.33,10-13-2019,10:00:00,0.00,72,1010.77,000,0.0,12.00,1.40,25.4,31.0,32.34
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.78,10-13-2019,10:00:00,0.00,73,1011.13,000,0.0,10.00,0.01,24.9,30.3,31.48
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.25,10-13-2019,10:00:00,0.00,75,1011.13,000,0.0,15.00,7.10,25.3,30.3,32.34
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.48,10-13-2019,10:00:00,0.00,72,1011.01,000,0.0,10.00,0.00,24.8,30.5,31.31
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.65,10-13-2019,10:00:00,0.00,69,1011.08,080,7.4,10.00,0.00,24.5,30.8,30.78
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.43,10-13-2019,10:00:00,0.00,78,1010.42,280,5.6,10.00,0.00,25.6,30.0,32.88
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.30,10-13-2019,10:00:00,0.00,88,1011.11,000,0.0,10.00,11.40,28.4,30.6,38.72
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.39,10-13-2019,10:00:00,0.00,73,1011.19,000,0.0,11.00,4.10,24.9,30.3,31.48
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.16,10-13-2019,10:00:00,0.00,69,1010.91,070,11.1,12.00,0.00,24.6,31.0,30.90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.14,10-13-2019,10:00:00,0.00,68,1011.10,990,5.6,10.00,1.60,24.3,30.9,30.41
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.96,10-13-2019,10:00:00,0.00,68,1010.63,000,0.0,10.00,0.00,24.4,31.0,30.61
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.83,10-13-2019,10:00:00,0.00,73,1010.94,000,0.0,10.00,3.40,24.7,30.0,31.15
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.19,10-13-2019,10:00:00,0.00,63,1011.08,000,0.0,12.00,13.30,23.6,31.5,29.07
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.08,10-13-2019,10:00:00,0.00,68,1010.77,000,0.0,12.00,0.00,24.8,31.3,31.23
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.48,10-13-2019,10:00:00,0.00,68,1011.58,000,0.0,10.00,0.00,24.0,30.5,29.89
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.47,10-13-2019,10:00:00,0.00,66,1011.05,080,5.6,12.00,0.00,23.8,31.0,29.48
