WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,DewPoint,WindDirection,Rainfall,VaporPressure,LandVisibility,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.3,07-23-2019,13:00:00,975.41,1.9,1005.96,78,25.0,260,0.30,31.73,12.00,0.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.2,07-23-2019,13:00:00,843.75,14.8,1003.81,93,19.1,300,0.00,22.07,6.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.1,07-23-2019,13:00:00,960.25,9.3,1003.08,73,24.7,150,0.20,31.07,12.00,2.30
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.7,07-23-2019,13:00:00,958.58,3.7,1003.04,59,22.7,200,0.00,27.52,15.00,0.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.0,07-23-2019,13:00:00,968.59,0.0,1006.15,86,23.5,000,0.30,28.97,10.00,0.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.1,07-23-2019,13:00:00,959.91,11.1,1004.07,65,23.8,190,0.01,29.40,9.00,0.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.3,07-23-2019,13:00:00,980.32,11.1,1007.11,93,24.1,130,6.60,30.07,9.00,6.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,34.0,07-23-2019,13:00:00,983.81,18.5,1004.99,45,20.4,250,0.00,23.99,12.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.5,07-23-2019,13:00:00,982.78,0.0,1006.70,80,24.6,000,0.00,30.98,8.00,8.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.0,07-23-2019,13:00:00,971.23,0.0,1005.23,66,23.0,000,0.00,28.09,10.00,2.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.0,07-23-2019,13:00:00,978.44,0.0,1005.42,59,23.0,000,0.00,28.10,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.2,07-23-2019,13:00:00,972.04,0.0,1005.09,70,24.2,000,1.00,30.14,12.00,1.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.2,07-23-2019,13:00:00,986.62,9.3,1004.75,58,22.7,300,0.01,27.66,10.00,0.01
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.6,07-23-2019,13:00:00,983.45,0.0,1006.24,86,24.1,000,3.80,30.07,10.00,5.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.0,07-23-2019,13:00:00,976.41,0.0,1006.30,88,23.8,000,6.90,29.50,8.00,7.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.0,07-23-2019,13:00:00,970.00,0.0,1004.76,57,22.5,000,0.00,27.27,8.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.3,07-23-2019,13:00:00,974.55,9.3,1003.59,65,24.8,140,0.00,31.27,15.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.6,07-23-2019,13:00:00,998.03,0.0,1005.14,53,23.6,000,0.00,29.09,10.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.3,07-23-2019,13:00:00,984.92,3.7,1004.48,67,24.5,290,0.00,30.65,12.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,32.5,07-23-2019,13:00:00,976.16,7.4,1004.19,60,23.7,170,0.00,29.38,15.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,34.0,07-23-2019,13:00:00,984.87,11.1,1004.52,57,24.2,300,0.00,30.16,15.00,0.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.9,07-23-2019,13:00:00,983.29,3.7,1004.54,64,25.3,240,0.00,32.25,12.00,19.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.5,07-23-2019,13:00:00,985.20,7.4,1004.40,78,26.3,020,0.00,34.22,15.00,20.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.5,07-23-2019,13:00:00,989.46,0.0,1006.04,81,26.0,000,0.00,33.58,12.00,43.40
